id,depart,timeloss,espera,paradas,co2
p1_S2_N2.0,0.0,5.96,0.0,0,148.58
p1_N1_S1.0,0.0,5.2,0.0,0,151.35
p1_N2_S2.0,0.0,6.63,0.0,0,156.34
p1_N2_S2.1,10.0,5.42,0.0,0,150.75
p1_S2_N2.1,10.0,5.37,0.0,0,150.45
p1_S1_N1.0,0.0,6.4,0.0,0,156.1
p1_N2_W.0,3.0,8.9,0.0,0,214.3
p1_N2_S2.2,20.0,21.7,11.0,1,192.85
p1_N1_S1.1,10.0,31.96,21.0,1,200.38
p1_N1_S1.2,20.0,24.11,12.0,1,190.59
p1_N2_S2.3,30.0,12.38,0.0,0,174.67
p1_S2_N2.2,20.0,18.18,8.0,1,184.87
p1_S1_N1.1,10.0,29.36,18.0,1,198.75
p1_S2_N2.3,30.0,17.35,2.0,1,174.26
p1_S1_N1.2,20.0,27.01,12.0,1,203.34
p1_N1_S1.3,30.0,13.86,3.0,1,175.01
p1_S1_N1.3,30.0,18.75,3.0,1,192.72
p1_S2_N2.4,40.0,9.13,0.0,0,171.15
p1_N1_S1.4,40.0,9.92,0.0,0,165.8
p1_S1_N1.4,40.0,11.26,0.0,0,180.23
p1_S1_E.0,3.0,26.0,7.0,1,252.03
p1_W_S2.0,3.0,33.75,6.0,2,261.16
p1_W_E.0,0.0,26.97,8.0,2,247.74
p1_W_E.1,6.0,36.53,4.0,2,279.69
p1_W_E.2,9.0,34.92,3.0,2,288.36
p1_E_W.0,0.0,29.72,13.0,2,263.39
p1_E_N1.0,3.0,30.78,11.0,2,254.97
p1_W_E.3,12.0,32.75,1.0,1,287.78
p1_E_W.1,8.0,39.16,9.0,2,266.79
p1_W_E.4,15.0,32.32,1.0,1,286.92
p1_E_W.2,15.0,29.41,2.0,2,258.44
p1_W_E.5,18.0,31.57,0.0,0,297.48
p1_W_E.6,21.0,30.32,0.0,0,303.99
p1_N1_S1.5,50.0,23.77,14.0,1,198.88
p1_W_E.7,24.0,29.06,0.0,0,284.0
p1_W_E.8,27.0,19.2,0.0,0,226.26
p1_S1_N1.5,50.0,17.89,6.0,1,185.78
p1_S1_E.1,33.0,21.79,2.0,1,255.56
p1_S1_N1.6,60.0,21.12,3.0,1,206.1
p1_N1_S1.6,60.0,8.14,0.0,0,162.24
p1_S1_N1.7,70.0,12.88,0.0,0,201.32
p1_N1_S1.7,70.0,15.24,0.0,0,177.63
p1_E_W.3,22.0,43.21,14.0,2,298.75
p1_W_E.9,30.0,30.04,16.0,1,248.91
p1_E_W.4,29.0,37.93,13.0,2,264.81
p1_W_E.10,33.0,34.91,16.0,1,267.41
p1_W_S2.1,36.0,32.3,15.0,1,268.2
p1_E_N1.1,32.0,31.72,10.0,2,265.99
p1_W_E.11,39.0,26.41,12.0,1,242.73
p1_E_W.5,36.0,26.48,8.0,2,254.89
p1_N2_S2.4,40.0,60.32,40.0,1,247.26
p1_E_W.6,44.0,35.2,6.0,2,273.98
