id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,13.98,4.0,1,180.97
p1_N2_S2.0,0.0,20.01,9.0,1,194.05
p1_S1_N1.0,0.0,8.95,0.0,0,178.56
p1_S2_N2.0,0.0,20.19,7.0,1,190.24
p1_N2_S2.1,20.0,5.76,0.0,0,151.59
p1_S2_N2.1,20.0,5.54,0.0,0,151.9
p1_W_E.0,0.0,7.22,0.0,0,193.14
p1_E_W.0,0.0,7.89,0.0,0,202.9
p1_S1_E.0,3.0,14.01,0.0,0,230.43
p1_E_N1.0,3.0,10.5,0.0,0,223.72
p1_N1_S1.1,20.0,26.77,15.0,1,199.89
p1_N1_S1.2,40.0,8.88,0.0,0,171.84
p1_S1_N1.1,20.0,24.47,12.0,1,192.28
p1_W_S2.0,3.0,28.09,11.0,1,253.52
p1_S1_N1.2,40.0,12.07,0.0,0,176.21
p1_W_E.1,6.0,27.27,11.0,1,261.12
p1_W_E.2,12.0,22.78,9.0,1,244.8
p1_W_E.3,18.0,18.27,4.0,1,239.65
p1_N2_W.0,3.0,35.58,16.0,2,270.72
p1_W_E.4,24.0,14.95,1.0,1,240.65
p1_E_W.1,15.0,25.99,7.0,1,258.82
p1_E_W.2,29.0,13.88,0.0,0,229.32
p1_N2_S2.2,40.0,27.7,17.0,1,204.35
p1_N2_S2.3,60.0,8.31,0.0,0,164.1
p1_S2_N2.2,40.0,23.62,12.0,1,194.02
p1_E_W.3,44.0,6.3,0.0,0,200.02
p1_S2_N2.3,60.0,12.72,0.0,0,179.88
p1_S1_N1.3,60.0,17.78,7.0,1,185.61
p1_N1_S1.3,60.0,16.23,5.0,1,182.26
p1_W_E.5,30.0,26.12,13.0,1,247.61
p1_W_E.6,36.0,26.33,12.0,1,251.38
p1_W_E.7,42.0,22.07,6.0,1,237.82
p1_N1_S1.4,80.0,6.1,0.0,0,151.91
p1_S1_N1.4,80.0,5.83,0.0,0,153.89
p1_W_E.8,48.0,12.54,0.0,0,218.17
p1_W_E.9,54.0,12.69,0.0,0,229.18
p1_W_E.10,60.0,14.53,0.0,0,225.24
p1_S2_N2.4,80.0,18.35,8.0,1,189.97
p1_N2_S2.4,80.0,20.69,9.0,1,194.39
p1_E_W.4,58.0,23.32,11.0,1,233.36
p1_W_S2.1,63.0,26.25,12.0,1,259.62
p1_E_N1.1,61.0,20.51,7.0,1,242.11
p1_S1_E.1,63.0,26.57,9.0,2,264.96
p1_N1_S1.5,100.0,14.31,5.0,1,182.89
p1_S1_N1.5,100.0,7.04,0.0,0,160.21
p1_W_E.11,66.0,23.68,11.0,1,240.6
p1_W_E.12,72.0,23.39,9.0,1,240.03
p1_W_E.13,78.0,21.18,6.0,1,251.39
p1_W_E.14,84.0,18.98,2.0,1,243.42
p1_E_W.5,72.0,24.73,11.0,1,238.51
p1_W_E.15,90.0,7.68,0.0,0,198.16
p1_E_W.6,87.0,26.51,7.0,1,247.1
p1_N2_S2.5,100.0,30.13,19.0,1,206.02
p1_S2_N2.5,100.0,30.61,20.0,1,202.7
p1_S2_N2.6,120.0,20.58,5.0,1,193.79
p1_N2_S2.6,120.0,21.13,5.0,1,195.82
p1_N2_W.1,63.0,27.01,13.0,1,245.38
p1_E_W.7,101.0,15.44,0.0,0,212.57
p1_S1_N1.6,120.0,25.52,14.0,1,196.91
p1_W_E.16,96.0,29.91,13.0,1,236.74
p1_W_E.17,102.0,25.89,12.0,1,240.94
p1_S1_N1.7,140.0,9.42,0.0,0,170.97
p1_W_E.18,108.0,21.77,8.0,1,235.55
p1_N1_S1.6,120.0,17.61,7.0,1,181.32
p1_N1_S1.7,140.0,14.55,0.0,0,172.7
p1_E_W.8,116.0,21.38,8.0,1,238.05
p1_W_S2.2,123.0,15.94,0.0,0,245.28
p1_W_E.19,114.0,13.05,0.0,0,226.71
p1_N2_W.2,123.0,17.46,3.0,1,233.5
p1_W_E.20,120.0,19.23,0.0,0,236.23
p1_E_N1.2,120.0,14.81,2.0,1,216.26
p1_W_E.21,126.0,17.23,0.0,0,254.57
p1_W_E.22,132.0,13.04,0.0,0,236.85
p1_E_W.9,130.0,17.94,7.0,1,232.18
p1_N2_S2.7,140.0,30.27,20.0,1,203.93
p1_S2_N2.7,140.0,30.85,19.0,1,208.8
p1_N2_S2.8,160.0,12.06,0.0,0,181.9
p1_S2_N2.8,160.0,11.61,0.0,0,180.91
p1_N1_S1.8,160.0,16.42,6.0,1,183.73
p1_S1_N1.8,160.0,16.89,3.0,1,186.31
p1_S1_E.2,123.0,39.45,21.0,2,281.41
p1_W_E.23,138.0,26.13,9.0,1,254.61
p1_E_W.10,144.0,23.52,11.0,1,235.48
p1_W_E.24,144.0,17.63,3.0,1,239.26
p1_E_W.11,159.0,10.47,0.0,0,217.13
p1_W_E.25,150.0,20.64,0.0,0,249.88
p1_W_E.26,156.0,16.32,0.0,0,231.83
p1_W_E.27,162.0,9.63,0.0,0,206.29
p1_S1_N1.9,180.0,22.44,12.0,1,191.52
p1_N2_S2.9,180.0,21.95,12.0,1,196.96
p1_S2_N2.9,180.0,21.81,11.0,1,193.41
p1_N1_S1.9,180.0,21.74,11.0,1,190.87
p1_N1_S1.10,200.0,5.65,0.0,0,146.86
p1_N2_S2.10,200.0,5.7,0.0,0,152.51
p1_S1_N1.10,200.0,5.39,0.0,0,152.38
p1_S2_N2.10,200.0,5.85,0.0,0,156.48
p1_W_E.28,168.0,21.71,9.0,1,240.23
p1_E_W.12,173.0,20.87,4.0,1,255.53
p1_W_E.29,174.0,21.02,7.0,1,247.19
p1_E_N1.3,180.0,13.01,0.0,0,221.25
p1_E_W.13,188.0,10.47,0.0,0,211.66
p1_W_E.30,180.0,10.22,0.0,0,210.72
p1_N2_W.3,183.0,21.19,9.0,1,239.17
p1_W_S2.3,183.0,14.13,0.0,0,229.34
p1_S1_E.3,183.0,22.51,9.0,1,238.76
p1_N1_S1.11,220.0,13.1,2.0,1,181.97
p1_N2_S2.11,220.0,17.26,6.0,1,183.2
p1_S2_N2.11,220.0,17.65,7.0,1,190.8
p1_S1_N1.11,220.0,6.63,0.0,0,151.71
p1_E_W.14,202.0,23.04,5.0,2,256.68
p1_E_W.15,216.0,11.19,0.0,0,222.24
p1_W_E.31,186.0,29.02,13.0,2,264.71
p1_N1_S1.12,240.0,19.01,8.0,1,189.56
p1_W_E.32,192.0,47.09,9.0,1,286.19
p1_S1_N1.12,240.0,19.91,8.0,1,198.0
p1_W_E.33,198.0,28.48,5.0,1,278.53
p1_W_E.34,204.0,38.66,4.0,1,290.45
p1_S1_N1.13,260.0,5.72,0.0,0,152.5
p1_W_E.35,210.0,25.39,0.0,0,277.25
p1_N1_S1.13,260.0,5.96,0.0,0,156.36
p1_W_E.36,216.0,30.18,0.0,0,284.99
p1_W_E.37,222.0,24.82,13.0,1,242.92
p1_W_E.38,228.0,24.17,9.0,1,251.79
p1_E_W.16,231.0,20.72,8.0,1,242.02
p1_W_E.39,234.0,15.08,2.0,1,220.14
p1_W_E.40,240.0,15.89,0.0,0,230.18
p1_S2_N2.12,240.0,43.7,31.0,1,224.3
p1_E_W.17,245.0,14.55,0.0,0,235.23
p1_E_N1.4,240.0,12.51,0.0,0,225.02
p1_N2_S2.12,240.0,41.41,32.0,1,214.02
p1_S2_N2.13,260.0,24.27,14.0,1,195.18
p1_N2_S2.13,260.0,28.18,15.0,1,199.23
p1_N1_S1.14,280.0,9.08,0.0,0,169.82
p1_S1_N1.14,280.0,9.14,0.0,0,175.97
p1_S2_N2.14,280.0,6.38,0.0,0,150.54
p1_W_S2.4,243.0,32.02,12.0,1,264.65
p1_S1_E.4,243.0,31.84,13.0,2,268.49
p1_W_E.41,246.0,29.3,11.0,1,252.16
p1_E_W.18,260.0,22.01,10.0,1,246.06
p1_W_E.42,252.0,23.89,7.0,1,242.29
p1_W_E.43,258.0,26.26,5.0,1,265.43
p1_W_E.44,264.0,17.81,0.0,0,247.19
p1_W_E.45,270.0,20.3,0.0,0,275.73
p1_N2_W.4,243.0,40.94,28.0,1,270.72
p1_S2_N2.15,300.0,12.2,0.0,0,181.19
p1_N2_S2.14,280.0,28.19,16.0,1,200.92
p1_S1_N1.15,300.0,20.26,10.0,1,193.17
p1_N2_S2.15,300.0,18.81,2.0,1,194.59
p1_N1_S1.15,300.0,17.18,7.0,1,180.95
p1_S1_N1.16,320.0,5.72,0.0,0,150.45
p1_W_E.46,276.0,30.06,13.0,1,266.1
p1_N1_S1.16,320.0,7.14,0.0,0,151.53
p1_W_E.47,282.0,26.03,10.0,1,256.1
p1_E_W.19,274.0,38.38,20.0,2,282.62
p1_W_E.48,288.0,16.77,4.0,1,226.01
p1_W_E.49,294.0,21.36,2.0,1,238.07
p1_W_E.50,300.0,15.42,0.0,0,236.53
p1_W_S2.5,303.0,13.41,0.0,0,232.44
p1_W_E.51,306.0,12.87,0.0,0,244.55
p1_E_W.20,288.0,17.77,5.0,1,233.81
p1_E_N1.5,300.0,13.04,0.0,0,220.37
p1_N2_W.5,303.0,18.56,2.0,1,232.7
p1_N2_S2.16,320.0,25.04,14.0,1,198.02
p1_N2_S2.17,340.0,7.14,0.0,0,160.84
p1_E_W.21,303.0,25.98,12.0,1,238.36
p1_S2_N2.16,320.0,21.39,10.0,1,192.13
p1_S2_N2.17,340.0,11.95,0.0,0,170.76
p1_E_W.22,317.0,12.72,0.0,0,228.54
p1_S1_E.5,302.0,34.61,16.0,2,277.89
p1_S1_N1.17,340.0,22.66,12.0,1,190.19
p1_W_E.52,312.0,21.67,8.0,1,230.64
p1_W_E.53,318.0,24.06,6.0,1,241.79
p1_N1_S1.17,340.0,20.57,10.0,1,185.76
p1_W_E.54,324.0,20.99,2.0,1,242.03
p1_S1_N1.18,360.0,5.89,0.0,0,149.18
p1_W_E.55,330.0,13.82,0.0,0,248.83
p1_W_E.56,336.0,10.76,0.0,0,239.75
p1_W_E.57,342.0,8.18,0.0,0,212.02
p1_N1_S1.18,360.0,6.14,0.0,0,148.78
p1_S2_N2.18,360.0,16.65,4.0,1,183.63
p1_N2_S2.18,360.0,17.03,4.0,1,183.82
p1_E_W.23,332.0,18.44,6.0,1,228.13
p1_E_W.24,346.0,13.59,0.0,0,216.87
p1_W_E.58,348.0,15.93,4.0,1,225.96
p1_E_W.25,360.0,7.17,0.0,0,193.09
p1_S1_N1.19,380.0,20.1,8.0,1,195.97
p1_W_E.59,354.0,20.48,9.0,1,242.02
p1_N1_S1.19,380.0,14.3,3.0,1,171.56
p1_S1_N1.20,400.0,5.31,0.0,0,149.06
p1_N1_S1.20,400.0,6.05,0.0,0,145.24
p1_W_S2.6,363.0,22.23,0.0,0,233.58
p1_W_E.60,360.0,12.0,0.0,0,217.85
p1_E_N1.6,363.0,21.77,10.0,1,234.56
p1_N2_W.6,363.0,25.59,6.0,2,251.15
