id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,7.82,0.0,0,171.27
p1_S1_N1.0,0.0,6.28,0.0,0,157.12
p1_N2_S2.0,0.0,25.08,14.0,1,201.48
p1_S2_N2.0,0.0,25.08,12.0,1,198.92
p1_S2_N2.1,20.0,9.56,0.0,0,162.19
p1_N2_S2.1,20.0,9.95,0.0,0,175.27
p1_S1_E.0,3.0,12.59,0.0,0,212.0
p1_E_W.0,0.0,7.99,0.0,0,200.44
p1_E_N1.0,3.0,10.49,0.0,0,213.37
p1_N1_S1.1,20.0,27.29,16.0,1,198.65
p1_N1_S1.2,40.0,9.13,0.0,0,171.87
p1_S1_N1.1,20.0,23.89,13.0,1,196.21
p1_S1_N1.2,40.0,11.52,0.0,0,191.43
p1_W_S2.0,3.0,28.92,8.0,1,247.37
p1_W_E.0,0.0,20.27,8.0,1,238.5
p1_W_E.1,6.0,29.91,6.0,1,262.52
p1_W_E.2,12.0,25.29,5.0,1,270.27
p1_E_W.1,15.0,23.69,11.0,1,244.67
p1_N2_W.0,3.0,37.74,19.0,2,274.96
p1_N2_S2.2,40.0,22.69,11.0,1,191.86
p1_E_W.2,29.0,13.68,0.0,0,234.97
p1_S2_N2.2,40.0,18.91,7.0,1,188.97
p1_N2_S2.3,60.0,5.79,0.0,0,155.41
p1_S2_N2.3,60.0,8.1,0.0,0,157.25
p1_E_W.3,44.0,6.16,0.0,0,197.68
p1_W_E.3,18.0,35.2,14.0,2,271.22
p1_W_E.4,24.0,32.06,11.0,1,268.6
p1_W_E.5,30.0,25.93,10.0,1,233.07
p1_W_E.6,36.0,26.09,9.0,1,238.68
p1_S1_N1.3,60.0,22.88,11.0,1,191.78
p1_W_E.7,42.0,21.87,7.0,1,245.85
p1_N1_S1.3,60.0,21.46,9.0,1,186.33
p1_N1_S1.4,80.0,7.4,0.0,0,151.41
p1_S1_N1.4,80.0,7.04,0.0,0,161.1
p1_W_E.8,48.0,12.78,0.0,0,222.73
p1_W_E.9,54.0,12.92,0.0,0,213.87
p1_W_E.10,60.0,14.75,0.0,0,221.09
p1_E_W.4,58.0,18.07,6.0,1,232.43
p1_S2_N2.4,80.0,18.66,8.0,1,185.24
p1_N2_S2.4,80.0,20.71,8.0,1,196.59
p1_E_N1.1,61.0,15.04,1.0,1,226.04
p1_W_S2.1,63.0,26.1,12.0,1,236.92
p1_W_E.11,66.0,20.83,8.0,1,228.51
p1_E_W.5,72.0,8.16,0.0,0,199.15
p1_S1_E.1,63.0,29.88,10.0,1,278.94
p1_N1_S1.5,100.0,19.86,9.0,1,192.12
p1_W_E.12,72.0,24.29,12.0,1,237.45
p1_W_E.13,78.0,22.22,8.0,1,231.66
p1_W_E.14,84.0,19.91,4.0,1,248.78
p1_S1_N1.5,100.0,13.87,3.0,1,178.18
p1_S1_N1.6,120.0,7.05,0.0,0,154.53
p1_E_W.6,87.0,24.53,11.0,1,243.3
p1_N2_S2.5,100.0,30.46,18.0,1,201.7
p1_S2_N2.5,100.0,30.83,19.0,1,205.81
p1_S2_N2.6,120.0,20.68,4.0,1,197.31
p1_N2_S2.6,120.0,21.26,5.0,1,196.19
p1_N2_W.1,63.0,29.85,13.0,1,254.71
p1_E_W.7,101.0,18.28,0.0,0,227.37
p1_E_W.8,116.0,12.78,0.0,0,212.52
p1_W_E.15,90.0,26.37,14.0,1,249.35
p1_W_E.16,96.0,37.03,13.0,1,257.26
p1_W_E.17,102.0,32.66,12.0,1,260.38
p1_S1_N1.7,140.0,17.24,6.0,1,186.62
p1_W_E.18,108.0,28.5,10.0,1,257.09
p1_N1_S1.6,120.0,28.25,17.0,1,200.37
p1_W_E.19,114.0,15.74,3.0,1,233.25
p1_W_S2.2,123.0,19.2,1.0,1,251.34
p1_W_E.20,120.0,21.72,2.0,1,244.15
p1_N1_S1.7,140.0,25.11,5.0,1,199.96
p1_N2_W.2,123.0,24.91,4.0,2,265.28
p1_N2_S2.7,140.0,30.38,19.0,1,208.34
p1_S2_N2.7,140.0,30.61,19.0,1,211.55
p1_E_N1.2,120.0,22.1,10.0,1,235.06
p1_E_W.9,130.0,20.08,6.0,1,240.7
p1_E_W.10,144.0,7.86,0.0,0,210.57
p1_N2_S2.8,160.0,12.15,0.0,0,181.19
p1_S2_N2.8,160.0,11.49,0.0,0,180.96
p1_W_E.21,126.0,35.6,13.0,1,282.88
p1_W_E.22,132.0,31.7,12.0,1,267.71
p1_W_E.23,138.0,27.64,12.0,1,240.49
p1_S1_E.2,123.0,44.76,25.0,2,288.73
p1_N1_S1.8,160.0,31.07,21.0,1,208.46
p1_S1_N1.8,160.0,31.73,21.0,1,210.05
p1_N1_S1.9,180.0,12.37,2.0,1,169.27
p1_S1_N1.9,180.0,13.57,2.0,1,177.05
p1_W_E.24,144.0,23.65,10.0,1,232.73
p1_W_E.25,150.0,26.69,8.0,1,246.74
p1_W_E.26,156.0,22.51,3.0,1,246.98
p1_W_E.27,162.0,15.5,0.0,0,242.26
p1_W_E.28,168.0,10.41,0.0,0,232.93
