id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,13.98,4.0,1,180.97
p1_N2_S2.0,0.0,15.58,4.0,1,185.46
p1_S2_N2.0,0.0,15.29,2.0,1,178.78
p1_S1_N1.0,0.0,9.2,0.0,0,175.28
p1_W_E.0,0.0,7.2,0.0,0,192.96
p1_E_W.0,0.0,7.47,0.0,0,197.05
p1_S1_E.0,3.0,14.04,0.0,0,228.08
p1_N2_W.0,3.0,21.5,3.0,1,232.43
p1_N1_S1.1,20.0,26.77,15.0,1,199.89
p1_N1_S1.2,40.0,8.88,0.0,0,171.84
p1_S1_N1.1,20.0,24.17,12.0,1,191.63
p1_W_S2.0,3.0,28.04,11.0,1,253.39
p1_S1_N1.2,40.0,11.79,0.0,0,173.66
p1_W_E.1,6.0,26.87,11.0,1,254.65
p1_W_E.2,12.0,23.15,9.0,1,247.56
p1_E_W.1,15.0,25.46,5.0,1,256.01
p1_N2_S2.1,20.0,43.2,31.0,1,228.6
p1_S2_N2.1,20.0,42.9,31.0,1,222.68
p1_E_N1.0,3.0,27.89,12.0,1,259.95
p1_E_W.2,29.0,13.26,0.0,0,226.57
p1_N2_S2.2,40.0,24.93,13.0,1,197.22
p1_S2_N2.2,40.0,20.71,10.0,1,191.34
p1_N2_S2.3,60.0,5.92,0.0,0,148.03
p1_S2_N2.3,60.0,9.93,0.0,0,154.07
p1_E_W.3,44.0,6.79,0.0,0,191.63
p1_W_E.3,18.0,35.55,16.0,2,277.26
p1_W_E.4,24.0,32.03,12.0,2,278.5
p1_W_E.5,30.0,24.96,10.0,1,241.81
p1_W_E.6,36.0,25.1,7.0,1,253.23
p1_S1_N1.3,60.0,22.62,12.0,1,197.58
p1_W_E.7,42.0,20.9,6.0,1,235.35
p1_N1_S1.3,60.0,21.43,10.0,1,189.7
p1_N1_S1.4,80.0,7.38,0.0,0,158.18
p1_S1_N1.4,80.0,7.08,0.0,0,159.66
p1_W_E.8,48.0,12.73,0.0,0,223.24
p1_W_E.9,54.0,12.87,0.0,0,224.39
p1_W_S2.1,63.0,10.17,0.0,0,241.07
p1_W_E.10,60.0,14.67,0.0,0,221.84
p1_E_W.4,58.0,18.41,6.0,1,225.56
p1_S2_N2.4,80.0,23.82,14.0,1,198.7
