id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,6.38,0.0,0,153.14
p1_S2_N2.0,0.0,5.84,0.0,0,148.93
p1_N1_S1.0,0.0,5.26,0.0,0,150.64
p1_S1_N1.0,0.0,6.38,0.0,0,156.78
p1_N2_W.0,3.0,8.82,0.0,0,212.25
p1_N1_S1.1,20.0,21.97,11.0,1,191.53
p1_N1_S1.2,40.0,5.15,0.0,0,153.17
p1_W_S2.0,3.0,23.91,3.0,1,242.84
p1_S1_N1.1,20.0,21.26,10.0,1,195.19
p1_S1_N1.2,40.0,8.86,0.0,0,174.41
p1_W_E.0,0.0,16.08,3.0,1,222.11
p1_W_E.1,6.0,25.57,1.0,1,262.64
p1_W_E.2,12.0,21.01,0.0,0,269.26
p1_N2_S2.1,20.0,37.52,26.0,1,216.59
p1_S2_N2.1,20.0,37.78,27.0,1,219.86
p1_N2_S2.2,40.0,19.38,8.0,1,186.6
p1_E_W.0,0.0,23.9,7.0,2,248.92
p1_E_N1.0,3.0,25.57,6.0,2,257.1
p1_E_W.1,15.0,26.29,3.0,1,267.17
p1_S2_N2.2,40.0,16.07,5.0,1,179.85
p1_E_W.2,29.0,14.08,0.0,0,229.75
p1_S2_N2.3,60.0,5.2,0.0,0,155.41
p1_W_E.3,18.0,30.19,11.0,1,268.94
p1_E_W.3,44.0,6.14,0.0,0,196.25
p1_W_E.4,24.0,26.7,10.0,1,251.18
p1_W_E.5,30.0,20.18,6.0,1,235.62
p1_S1_N1.3,60.0,17.8,7.0,1,192.24
p1_S1_E.0,3.0,49.11,27.0,2,294.82
p1_W_E.6,36.0,23.93,8.0,1,243.89
p1_N1_S1.3,60.0,16.83,4.0,1,182.69
p1_W_E.7,42.0,19.6,5.0,1,242.36
p1_N1_S1.4,80.0,5.74,0.0,0,150.29
p1_S1_N1.4,80.0,5.24,0.0,0,151.9
p1_W_E.8,48.0,9.97,0.0,0,209.76
p1_W_E.9,54.0,10.16,0.0,0,211.1
p1_W_S2.1,63.0,7.74,0.0,0,205.43
p1_E_W.4,58.0,13.98,0.0,0,220.04
p1_W_E.10,60.0,11.95,0.0,0,223.99
p1_S2_N2.4,80.0,18.38,7.0,1,186.38
p1_N2_S2.3,60.0,37.21,27.0,1,216.41
p1_E_N1.1,61.0,10.41,0.0,0,224.88
p1_N2_S2.4,80.0,24.02,9.0,1,195.47
p1_S1_E.1,63.0,24.36,8.0,2,254.36
p1_E_W.5,72.0,7.98,0.0,0,196.89
p1_W_E.11,66.0,23.98,13.0,1,239.73
p1_N1_S1.5,100.0,19.67,8.0,1,186.91
p1_W_E.12,72.0,23.5,9.0,1,248.54
p1_W_E.13,78.0,21.37,4.0,1,252.14
p1_W_E.14,84.0,19.18,2.0,1,249.15
p1_S1_N1.5,100.0,14.01,4.0,1,183.74
p1_S1_N1.6,120.0,7.14,0.0,0,148.55
p1_E_W.6,87.0,23.91,13.0,1,242.6
p1_W_E.15,90.0,8.86,0.0,0,198.71
p1_W_E.16,96.0,19.54,0.0,0,221.45
p1_W_E.17,102.0,15.29,0.0,0,228.89
p1_N2_S2.5,100.0,35.1,24.0,1,211.31
p1_S2_N2.5,100.0,35.75,24.0,1,213.64
p1_S2_N2.6,120.0,25.62,9.0,1,196.17
p1_N2_S2.6,120.0,26.01,10.0,1,206.32
p1_N2_W.1,63.0,30.09,14.0,1,250.0
p1_N2_S2.7,140.0,7.66,0.0,0,161.92
p1_S2_N2.7,140.0,7.44,0.0,0,161.35
p1_E_W.7,101.0,18.9,0.0,0,233.35
p1_E_W.8,116.0,13.29,0.0,0,220.37
p1_W_E.18,108.0,23.14,11.0,1,231.19
p1_E_N1.2,120.0,9.44,0.0,0,214.6
p1_S1_N1.7,140.0,22.31,9.0,1,191.72
p1_W_E.19,114.0,15.73,3.0,1,218.17
p1_W_S2.2,123.0,19.31,1.0,1,253.86
p1_W_E.20,120.0,21.78,2.0,1,245.77
p1_S1_N1.8,160.0,6.03,0.0,0,155.03
p1_N1_S1.6,120.0,32.5,23.0,1,209.91
p1_W_E.21,126.0,19.71,0.0,0,254.76
p1_W_E.22,132.0,15.38,0.0,0,237.55
p1_N1_S1.7,140.0,29.48,11.0,1,205.14
p1_W_E.23,138.0,11.12,0.0,0,219.19
p1_N1_S1.8,160.0,11.2,0.0,0,161.77
p1_N2_W.2,123.0,28.39,9.0,2,261.64
p1_E_W.9,130.0,23.74,11.0,1,240.5
p1_E_W.10,144.0,11.82,0.0,0,221.22
p1_N2_S2.8,160.0,19.96,8.0,1,187.22
p1_S2_N2.8,160.0,19.48,9.0,1,197.03
p1_N2_S2.9,180.0,5.53,0.0,0,149.31
p1_S2_N2.9,180.0,6.05,0.0,0,152.61
p1_E_W.11,159.0,6.38,0.0,0,198.37
p1_W_E.24,144.0,23.87,12.0,1,232.52
p1_S1_E.2,123.0,53.64,34.0,2,308.56
p1_W_E.25,150.0,28.47,12.0,1,263.25
p1_S1_N1.9,180.0,21.49,11.0,1,193.11
p1_W_E.26,156.0,24.23,9.0,1,261.55
p1_N1_S1.9,180.0,20.84,11.0,1,193.27
p1_W_E.27,162.0,17.52,3.0,1,232.2
p1_W_E.28,168.0,12.33,0.0,0,220.14
p1_N1_S1.10,200.0,6.2,0.0,0,153.3
p1_W_E.29,174.0,11.76,0.0,0,223.42
p1_S1_N1.10,200.0,5.92,0.0,0,147.68
p1_E_W.12,173.0,21.25,9.0,1,229.45
p1_E_W.13,188.0,13.09,0.0,0,234.64
p1_E_N1.3,180.0,16.4,3.0,1,240.92
p1_N2_S2.10,200.0,23.22,12.0,1,189.8
p1_S2_N2.10,200.0,18.94,9.0,1,189.47
p1_S2_N2.11,220.0,5.62,0.0,0,149.11
p1_N2_S2.11,220.0,6.8,0.0,0,157.34
p1_E_W.14,202.0,7.34,0.0,0,193.1
p1_W_E.30,180.0,23.68,10.0,1,243.75
p1_W_S2.3,183.0,26.36,9.0,1,247.36
p1_S1_E.3,183.0,35.46,15.0,2,278.78
p1_N1_S1.11,220.0,22.42,12.0,1,189.59
p1_N1_S1.12,240.0,6.0,0.0,0,156.3
p1_S1_N1.11,220.0,16.06,5.0,1,175.43
p1_S1_N1.12,240.0,10.58,0.0,0,165.97
p1_W_E.31,186.0,22.63,8.0,1,236.06
p1_W_E.32,192.0,40.54,8.0,1,264.62
p1_N2_W.3,183.0,50.87,34.0,2,298.71
p1_W_E.33,198.0,22.29,3.0,1,257.46
p1_E_W.15,216.0,19.93,7.0,1,240.6
p1_W_E.34,204.0,32.29,2.0,1,279.52
p1_W_E.35,210.0,19.05,0.0,0,263.54
p1_E_W.16,231.0,6.98,0.0,0,207.2
p1_W_E.36,216.0,23.87,0.0,0,271.55
p1_S2_N2.12,240.0,22.65,11.0,1,198.27
p1_W_E.37,222.0,16.15,0.0,0,247.82
p1_N2_S2.12,240.0,21.17,11.0,1,191.32
p1_W_E.38,228.0,15.42,0.0,0,243.39
p1_N2_S2.13,260.0,6.76,0.0,0,158.21
p1_S2_N2.13,260.0,5.59,0.0,0,153.75
p1_S1_E.4,243.0,9.15,0.0,0,209.08
p1_E_N1.4,240.0,9.24,0.0,0,214.1
p1_N1_S1.13,260.0,23.2,12.0,1,193.67
