id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,6.38,0.0,0,153.14
p1_S2_N2.0,0.0,5.84,0.0,0,148.93
p1_N1_S1.0,0.0,18.86,9.0,1,182.67
p1_N1_S1.1,20.0,6.12,0.0,0,144.31
p1_S1_N1.0,0.0,14.95,3.0,1,183.1
p1_S1_N1.1,20.0,5.51,0.0,0,149.77
p1_N2_W.0,3.0,8.87,0.0,0,205.98
p1_N2_S2.1,20.0,22.29,11.0,1,192.6
p1_S2_N2.1,20.0,22.49,12.0,1,193.26
p1_W_E.0,0.0,7.52,0.0,0,199.52
p1_N2_S2.2,40.0,5.97,0.0,0,149.47
p1_E_W.0,0.0,9.66,0.0,0,215.21
p1_E_N1.0,3.0,12.2,0.0,0,222.62
p1_E_W.1,15.0,12.04,0.0,0,213.47
p1_S2_N2.2,40.0,5.71,0.0,0,156.26
p1_W_S2.0,3.0,29.91,12.0,1,251.64
p1_W_E.1,6.0,29.56,11.0,1,244.76
p1_E_W.2,29.0,6.67,0.0,0,193.51
p1_S1_E.0,3.0,30.63,7.0,2,271.37
p1_N1_S1.2,40.0,22.19,11.0,1,196.19
p1_S1_N1.2,40.0,21.66,11.0,1,191.7
p1_W_E.2,12.0,29.72,11.0,1,269.7
p1_W_E.3,18.0,24.54,7.0,1,250.65
p1_S1_N1.3,60.0,5.35,0.0,0,153.5
p1_W_E.4,24.0,21.0,2.0,1,258.97
p1_W_E.5,30.0,12.82,0.0,0,218.79
p1_W_E.6,36.0,12.99,0.0,0,232.6
p1_N1_S1.3,60.0,5.76,0.0,0,147.85
p1_W_E.7,42.0,8.63,0.0,0,211.9
p1_E_W.3,44.0,11.6,0.0,0,226.69
p1_S2_N2.3,60.0,18.3,7.0,1,186.83
p1_N2_S2.3,60.0,17.18,6.0,1,188.31
p1_N2_S2.4,80.0,5.41,0.0,0,150.46
p1_S2_N2.4,80.0,5.48,0.0,0,151.01
p1_E_W.4,58.0,6.8,0.0,0,196.79
p1_S1_E.1,63.0,8.91,0.0,0,204.28
p1_E_N1.1,61.0,9.04,0.0,0,209.18
p1_N1_S1.4,80.0,23.39,11.0,1,198.83
p1_S1_N1.4,80.0,23.55,12.0,1,192.07
p1_W_E.8,48.0,25.13,13.0,1,244.41
p1_N1_S1.5,100.0,5.58,0.0,0,151.63
p1_W_E.9,54.0,25.43,10.0,1,250.74
p1_W_E.10,60.0,27.16,7.0,1,259.3
p1_W_S2.1,63.0,23.16,6.0,1,249.6
p1_W_E.11,66.0,16.51,3.0,1,234.25
p1_W_E.12,72.0,16.04,0.0,0,234.18
p1_W_E.13,78.0,13.89,0.0,0,244.83
p1_S1_N1.5,100.0,5.5,0.0,0,150.19
p1_N2_S2.5,100.0,14.95,4.0,1,178.38
p1_S2_N2.5,100.0,15.94,4.0,1,181.86
p1_N2_S2.6,120.0,5.93,0.0,0,159.35
p1_S2_N2.6,120.0,6.05,0.0,0,155.17
p1_N2_W.1,63.0,11.56,0.0,0,210.21
p1_E_W.5,72.0,21.28,4.0,1,240.92
p1_E_W.6,87.0,23.05,0.0,0,235.4
p1_W_E.14,84.0,26.67,14.0,1,248.24
p1_E_W.7,101.0,7.01,0.0,0,193.35
p1_S1_N1.6,120.0,19.6,7.0,1,187.28
p1_S1_N1.7,140.0,5.73,0.0,0,146.92
p1_N1_S1.6,120.0,11.88,0.0,0,175.82
p1_W_E.15,90.0,22.88,9.0,1,231.56
p1_N1_S1.7,140.0,9.07,0.0,0,157.77
p1_W_E.16,96.0,33.46,9.0,1,254.21
p1_W_E.17,102.0,29.17,7.0,1,256.33
p1_W_E.18,108.0,24.93,1.0,1,271.03
p1_E_W.8,116.0,17.69,4.0,1,233.45
p1_W_E.19,114.0,8.7,0.0,0,205.13
p1_W_E.20,120.0,14.74,0.0,0,211.87
p1_S2_N2.7,140.0,20.2,9.0,1,192.71
p1_N2_S2.7,140.0,22.46,11.0,1,192.74
p1_E_W.9,130.0,11.48,0.0,0,220.24
p1_E_N1.2,120.0,15.21,2.0,1,229.3
p1_N2_S2.8,160.0,5.34,0.0,0,147.08
p1_S2_N2.8,160.0,5.55,0.0,0,144.2
p1_W_S2.2,123.0,28.04,14.0,1,252.11
p1_E_W.10,144.0,6.9,0.0,0,193.75
p1_W_E.21,126.0,28.06,14.0,1,255.95
p1_S1_E.2,123.0,32.53,12.0,2,265.68
p1_W_E.22,132.0,25.62,10.0,1,273.65
p1_N1_S1.8,160.0,20.77,8.0,1,189.39
p1_W_E.23,138.0,21.39,4.0,1,250.88
p1_S1_N1.8,160.0,20.92,8.0,1,189.63
p1_W_E.24,144.0,12.64,0.0,0,222.48
p1_S1_N1.9,180.0,6.0,0.0,0,149.51
p1_W_E.25,150.0,15.65,0.0,0,227.27
p1_N1_S1.9,180.0,5.96,0.0,0,152.93
p1_W_E.26,156.0,11.33,0.0,0,221.56
p1_N2_W.2,123.0,48.49,30.0,2,298.26
p1_W_E.27,162.0,7.2,0.0,0,194.73
p1_E_W.11,159.0,16.01,3.0,1,226.37
p1_E_W.12,173.0,6.76,0.0,0,197.68
p1_N2_S2.9,180.0,21.39,10.0,1,195.84
p1_S2_N2.9,180.0,21.81,11.0,1,200.18
p1_N2_S2.10,200.0,5.38,0.0,0,152.44
p1_S2_N2.10,200.0,6.68,0.0,0,149.38
p1_W_E.28,168.0,22.54,10.0,1,238.01
p1_E_N1.3,180.0,8.59,0.0,0,223.12
p1_E_W.13,188.0,6.82,0.0,0,191.88
p1_W_E.29,174.0,21.81,8.0,1,248.85
p1_N1_S1.10,200.0,21.19,10.0,1,191.35
p1_S1_N1.10,200.0,21.79,10.0,1,194.3
p1_N1_S1.11,220.0,5.55,0.0,0,155.65
p1_W_E.30,180.0,12.17,0.0,0,223.2
p1_W_S2.3,183.0,15.83,0.0,0,237.43
p1_N2_W.3,183.0,29.96,11.0,2,265.26
p1_E_W.14,202.0,13.14,2.0,1,224.52
p1_W_E.31,186.0,8.81,0.0,0,204.21
p1_W_E.32,192.0,26.65,0.0,0,234.08
p1_W_E.33,198.0,8.3,0.0,0,208.11
p1_S2_N2.11,220.0,22.78,12.0,1,194.0
p1_N2_S2.11,220.0,22.5,10.0,1,195.09
p1_E_W.15,216.0,7.0,0.0,0,188.24
p1_S2_N2.12,240.0,6.23,0.0,0,151.07
p1_N2_S2.12,240.0,6.37,0.0,0,150.92
p1_W_E.34,204.0,29.56,12.0,1,257.46
p1_S1_E.3,183.0,51.82,36.0,2,299.97
p1_N1_S1.12,240.0,22.15,12.0,1,193.35
p1_W_E.35,210.0,22.43,10.0,1,234.09
p1_W_E.36,216.0,27.37,9.0,1,251.2
p1_W_E.37,222.0,19.4,3.0,1,242.92
p1_N1_S1.13,260.0,5.82,0.0,0,161.04
p1_W_E.38,228.0,18.68,0.0,0,250.61
p1_S1_N1.11,220.0,36.76,25.0,1,206.58
p1_S1_N1.12,240.0,31.22,13.0,1,206.44
p1_W_E.39,234.0,7.99,0.0,0,203.36
p1_S1_N1.13,260.0,12.77,0.0,0,179.95
p1_W_E.40,240.0,8.72,0.0,0,192.85
p1_E_W.16,231.0,22.72,10.0,1,239.91
p1_W_S2.4,243.0,9.93,0.0,0,214.91
