id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,6.38,0.0,0,153.14
p1_S2_N2.0,0.0,5.84,0.0,0,148.93
p1_N1_S1.0,0.0,5.29,0.0,0,147.67
p1_N1_S1.1,20.0,12.12,1.0,1,172.52
p1_S1_N1.0,0.0,25.36,14.0,1,198.63
p1_S1_N1.1,20.0,14.44,2.0,1,177.55
p1_W_S2.0,3.0,18.94,0.0,0,241.2
p1_N2_W.0,3.0,20.78,6.0,1,246.41
p1_W_E.0,0.0,11.05,0.0,0,216.47
p1_W_E.1,6.0,20.52,0.0,0,257.17
p1_W_E.2,12.0,15.96,0.0,0,248.22
p1_N2_S2.1,20.0,32.26,21.0,1,209.25
p1_S2_N2.1,20.0,32.64,22.0,1,210.44
p1_E_W.0,0.0,15.87,3.0,1,244.94
p1_E_N1.0,3.0,18.38,2.0,1,240.98
p1_N2_S2.2,40.0,14.14,3.0,1,178.98
p1_E_W.1,15.0,18.41,1.0,1,228.96
p1_E_W.2,29.0,6.8,0.0,0,193.77
p1_S2_N2.2,40.0,10.82,0.0,0,172.43
p1_W_E.3,18.0,25.23,12.0,1,240.61
p1_N1_S1.2,40.0,28.32,17.0,1,202.4
p1_S1_N1.2,40.0,27.41,16.0,1,200.48
p1_S1_E.0,3.0,38.24,16.0,2,280.86
p1_S1_N1.3,60.0,9.82,0.0,0,172.04
p1_W_E.4,24.0,25.23,10.0,1,251.55
p1_N1_S1.3,60.0,7.91,0.0,0,158.97
p1_W_E.5,30.0,17.42,3.0,1,221.04
p1_W_E.6,36.0,17.49,0.0,0,235.68
p1_W_E.7,42.0,13.31,0.0,0,230.39
p1_E_W.3,44.0,22.5,10.0,1,241.65
p1_W_E.8,48.0,7.87,0.0,0,191.7
p1_W_E.9,54.0,8.0,0.0,0,200.29
p1_E_W.4,58.0,10.62,0.0,0,223.25
p1_S2_N2.3,60.0,33.42,23.0,1,213.82
p1_N2_S2.3,60.0,31.98,21.0,1,205.35
p1_S2_N2.4,80.0,15.15,4.0,1,182.35
p1_N2_S2.4,80.0,19.26,5.0,1,193.97
p1_E_N1.1,61.0,9.15,0.0,0,208.66
p1_S1_E.1,63.0,19.04,5.0,1,245.97
p1_W_E.10,60.0,27.38,10.0,1,272.31
p1_W_S2.1,63.0,25.38,9.0,1,262.98
p1_N1_S1.4,80.0,34.64,24.0,1,214.09
p1_S1_N1.4,80.0,34.5,24.0,1,216.45
p1_W_E.11,66.0,19.84,5.0,1,241.01
p1_N1_S1.5,100.0,16.57,4.0,1,188.17
p1_W_E.12,72.0,19.42,2.0,1,242.42
p1_W_E.13,78.0,17.22,0.0,0,256.36
p1_W_E.14,84.0,15.04,0.0,0,244.8
p1_S1_N1.5,100.0,10.86,0.0,0,171.82
p1_E_W.5,72.0,24.18,13.0,1,241.46
p1_W_E.15,90.0,7.83,0.0,0,199.61
p1_N2_S2.5,100.0,30.11,18.0,1,198.75
p1_S2_N2.5,100.0,30.94,19.0,1,205.44
p1_N2_W.1,63.0,24.63,10.0,1,244.81
p1_N2_S2.6,120.0,20.92,6.0,1,199.75
p1_S2_N2.6,120.0,20.85,5.0,1,199.08
p1_E_W.6,87.0,34.7,9.0,1,270.39
p1_E_W.7,101.0,15.1,0.0,0,229.77
p1_W_E.16,96.0,29.59,12.0,1,241.04
p1_E_W.8,116.0,9.27,0.0,0,210.57
p1_W_E.17,102.0,25.82,11.0,1,243.41
p1_W_E.18,108.0,21.68,8.0,1,244.16
p1_S1_N1.6,120.0,35.64,24.0,1,209.77
p1_S1_N1.7,140.0,19.06,8.0,1,194.98
p1_W_S2.2,123.0,16.09,0.0,0,238.7
p1_W_E.19,114.0,12.96,0.0,0,216.12
p1_W_E.20,120.0,19.06,0.0,0,239.15
p1_N1_S1.6,120.0,27.9,17.0,1,199.06
p1_W_E.21,126.0,17.09,0.0,0,243.95
p1_N1_S1.7,140.0,24.87,6.0,1,205.37
p1_W_E.22,132.0,12.77,0.0,0,240.58
p1_W_E.23,138.0,8.55,0.0,0,211.36
p1_N2_W.2,123.0,25.95,5.0,2,256.86
p1_E_N1.2,120.0,22.2,10.0,1,229.76
p1_E_W.9,130.0,20.81,7.0,1,240.05
p1_E_W.10,144.0,8.75,0.0,0,210.14
p1_N2_S2.7,140.0,35.52,24.0,1,215.53
p1_S2_N2.7,140.0,36.01,24.0,1,213.74
p1_N2_S2.8,160.0,16.81,5.0,1,188.93
p1_S2_N2.8,160.0,16.51,5.0,1,188.06
p1_E_W.11,159.0,6.54,0.0,0,192.43
p1_S1_E.2,123.0,44.34,25.0,2,288.12
p1_W_E.24,144.0,23.4,10.0,1,234.27
p1_N1_S1.8,160.0,36.51,25.0,1,219.73
p1_S1_N1.8,160.0,36.13,25.0,1,215.62
p1_W_E.25,150.0,26.37,8.0,1,249.15
p1_S1_N1.9,180.0,18.6,7.0,1,194.62
p1_W_E.26,156.0,22.12,5.0,1,260.1
p1_N1_S1.9,180.0,17.96,8.0,1,181.69
p1_W_E.27,162.0,15.21,0.0,0,251.24
p1_W_E.28,168.0,10.1,0.0,0,236.58
p1_W_E.29,174.0,9.47,0.0,0,221.31
p1_E_W.12,173.0,16.5,5.0,1,225.0
p1_N2_S2.9,180.0,36.73,26.0,1,215.16
p1_S2_N2.9,180.0,36.78,25.0,1,221.68
p1_E_N1.3,180.0,11.7,0.0,0,225.59
p1_E_W.13,188.0,8.38,0.0,0,203.63
p1_N2_S2.10,200.0,20.69,8.0,1,195.0
p1_S2_N2.10,200.0,16.12,5.0,1,179.75
p1_E_W.14,202.0,6.77,0.0,0,191.25
p1_W_E.30,180.0,18.93,6.0,1,234.69
p1_S1_E.3,183.0,31.06,6.0,2,271.12
p1_N1_S1.10,200.0,38.23,25.0,1,217.47
p1_S1_N1.10,200.0,35.98,24.0,1,206.89
p1_W_S2.3,183.0,26.18,11.0,1,249.71
p1_N1_S1.11,220.0,19.9,8.0,1,192.54
p1_S1_N1.11,220.0,13.78,2.0,1,174.32
p1_S1_N1.12,240.0,8.27,0.0,0,154.41
p1_W_E.31,186.0,19.41,7.0,1,242.94
p1_N2_W.3,183.0,46.01,27.0,2,295.31
p1_W_E.32,192.0,37.31,6.0,1,264.98
p1_W_E.33,198.0,18.78,0.0,0,246.64
p1_E_W.15,216.0,14.94,4.0,1,228.95
p1_W_E.34,204.0,28.92,0.0,0,265.96
p1_W_E.35,210.0,15.7,0.0,0,248.18
p1_N2_S2.11,220.0,36.96,25.0,1,219.47
p1_S2_N2.11,220.0,37.66,25.0,1,213.03
p1_W_E.36,216.0,20.52,0.0,0,239.71
p1_E_W.16,231.0,6.8,0.0,0,198.23
p1_S2_N2.12,240.0,19.77,8.0,1,191.3
p1_W_E.37,222.0,12.66,0.0,0,225.06
p1_N2_S2.12,240.0,17.4,7.0,1,183.97
p1_W_E.38,228.0,23.81,12.0,1,240.36
p1_N1_S1.12,240.0,33.2,22.0,1,211.7
p1_N1_S1.13,260.0,15.28,3.0,1,185.89
p1_S1_N1.13,260.0,15.1,4.0,1,183.86
p1_W_E.39,234.0,16.3,4.0,1,221.55
p1_W_E.40,240.0,17.15,1.0,1,231.94
p1_W_S2.4,243.0,17.87,0.0,0,245.42
