id,depart,timeloss,espera,paradas,co2
p1_S3_E3.0,3.0,6.89,0.0,0,158.49
p1_E1_N3.0,3.0,12.08,0.0,0,175.51
p1_S2_N2.0,0.0,12.16,0.0,0,268.76
p1_N2_S2.0,0.0,13.4,1.0,1,269.7
p1_N2_W2.0,3.0,10.28,0.0,0,242.4
p1_S3_N3.0,0.0,14.21,2.0,1,264.51
p1_N1_W3.0,3.0,9.23,0.0,0,256.29
p1_N3_S3.0,0.0,14.67,1.0,1,276.18
p1_N1_S1.0,0.0,8.57,0.0,0,240.89
p1_E2_N2.0,3.0,15.51,2.0,1,277.92
p1_W1_S1.0,3.0,17.69,0.0,0,272.07
p1_W2_S2.0,3.0,18.58,2.0,1,298.19
p1_S1_N1.0,0.0,8.68,0.0,0,249.28
p1_S3_E3.1,63.0,6.98,0.0,0,163.7
p1_S2_E2.0,3.0,24.45,9.0,1,297.54
p1_W_E.0,0.0,22.94,6.0,2,306.23
p1_W1_E1.1,6.0,24.66,3.0,1,312.93
p1_W1_E1.2,12.0,18.97,4.0,1,285.64
p1_W_E.3,18.0,9.51,0.0,0,245.85
p1_W_E.1,6.0,13.62,0.0,0,267.18
p1_W3_E3.1,6.0,27.66,7.0,2,325.45
p1_E1_W1.1,15.0,18.74,5.0,1,272.32
p1_W1_E1.3,18.0,14.3,0.0,0,273.13
p1_E1_N3.1,61.0,13.61,2.0,1,175.03
p1_E3_W3.0,0.0,29.98,11.0,2,320.5
p1_W_E.2,12.0,9.31,0.0,0,255.8
p1_W3_E3.2,12.0,15.51,1.0,1,272.64
p1_E3_W3.1,15.0,13.29,0.0,0,271.46
p1_W3_S3.0,3.0,28.05,9.0,2,313.52
p1_E_W.1,15.0,22.35,8.0,1,289.7
p1_W3_E3.3,18.0,18.65,1.0,1,291.29
p1_W1_E1.0,0.0,20.1,0.0,0,295.85
p1_W3_E3.0,0.0,34.16,8.0,2,332.99
p1_E1_W1.0,0.0,20.12,4.0,1,292.29
p1_E_W.0,0.0,20.24,6.0,1,276.34
p1_S3_N3.1,20.0,19.78,1.0,1,306.84
p1_N2_S2.1,20.0,26.55,5.0,2,313.68
p1_N1_S1.1,20.0,25.48,7.0,2,312.34
p1_N3_S3.1,20.0,19.34,3.0,1,288.69
p1_E_W.2,29.0,20.44,2.0,1,306.27
p1_E_W.3,44.0,8.09,0.0,0,244.1
p1_S1_N1.1,20.0,21.25,9.0,1,277.78
p1_W_E.4,24.0,27.63,13.0,1,300.88
p1_W_E.5,30.0,24.99,8.0,1,309.17
p1_W1_E1.6,36.0,18.92,0.0,0,306.66
p1_W_E.6,36.0,20.04,2.0,1,279.0
p1_W1_E1.8,48.0,8.53,0.0,0,251.12
p1_W1_E1.7,42.0,14.82,0.0,0,284.0
p1_W3_E3.4,24.0,33.91,13.0,2,332.35
p1_W1_E1.5,30.0,28.4,4.0,1,327.41
p1_W_E.7,42.0,12.82,0.0,0,272.24
p1_E1_W1.2,29.0,33.5,9.0,3,345.09
p1_E1_W1.3,44.0,18.49,4.0,1,278.88
p1_E3_W3.3,44.0,19.51,3.0,1,290.24
p1_E3_W3.2,29.0,34.97,12.0,3,333.44
p1_W1_E1.4,24.0,21.89,4.0,1,289.03
p1_W3_E3.5,30.0,17.16,3.0,1,281.89
p1_N3_W1.0,3.0,53.38,30.0,3,348.46
p1_S2_N2.3,60.0,7.65,0.0,0,239.29
p1_W3_E3.6,36.0,13.21,0.0,0,263.61
p1_S3_N3.3,60.0,8.62,0.0,0,239.52
p1_S2_N2.2,40.0,30.27,10.0,2,327.56
p1_N3_S3.3,60.0,11.99,0.0,0,262.7
p1_N3_S3.2,40.0,32.76,10.0,2,336.06
p1_S3_N3.2,40.0,16.71,1.0,1,280.26
p1_N2_S2.3,60.0,15.9,3.0,1,270.9
p1_N2_S2.2,40.0,28.85,8.0,2,317.2
p1_E_W.4,58.0,20.9,2.0,2,293.54
p1_W1_E1.10,60.0,20.53,4.0,1,285.66
p1_E_W.5,72.0,8.19,0.0,0,243.97
p1_W1_E1.11,66.0,14.89,1.0,1,265.15
p1_S1_E1.0,3.0,34.72,11.0,2,410.34
p1_W1_E1.9,54.0,30.45,11.0,1,329.74
p1_W_E.9,54.0,30.46,12.0,2,315.17
p1_W3_E3.10,60.0,24.25,7.0,1,302.11
p1_S1_N1.3,60.0,23.93,12.0,1,278.1
p1_S2_E2.1,63.0,21.44,6.0,1,291.66
p1_W1_E1.12,72.0,12.28,0.0,0,279.85
p1_E1_N3.2,120.0,8.15,0.0,0,157.88
p1_S2_N2.1,20.0,24.53,8.0,1,288.37
p1_N1_W3.1,63.0,23.0,8.0,1,295.25
p1_E3_N1.0,3.0,40.48,10.0,2,447.21
p1_W3_E3.8,48.0,37.62,16.0,1,336.98
p1_W_E.10,60.0,26.25,10.0,1,295.86
p1_W1_S1.1,63.0,23.21,5.0,1,298.04
p1_W3_E3.9,54.0,33.54,12.0,1,308.86
p1_W_E.12,72.0,16.11,0.0,0,287.26
p1_W_E.8,48.0,31.45,12.0,1,310.79
p1_W2_S2.1,63.0,22.89,7.0,1,288.67
p1_W_E.11,66.0,18.69,2.0,1,283.63
p1_W_E.13,78.0,12.0,0.0,0,281.3
p1_S1_N1.2,40.0,37.46,20.0,2,321.6
p1_N1_S1.3,60.0,22.37,8.0,1,276.33
p1_W3_E3.11,66.0,14.54,0.0,0,265.68
p1_N1_S1.2,40.0,36.71,18.0,2,315.68
p1_S3_N3.4,80.0,13.09,0.0,0,297.13
p1_W3_S3.1,63.0,30.02,4.0,1,320.27
p1_W3_E3.13,78.0,8.81,0.0,0,251.55
p1_E1_W1.4,58.0,38.23,17.0,2,347.92
p1_E3_W3.4,58.0,38.0,16.0,2,332.47
p1_E3_W3.5,72.0,24.86,10.0,1,306.78
p1_W3_E3.7,42.0,30.52,16.0,1,295.86
p1_W3_E3.12,72.0,10.8,0.0,0,254.82
p1_S2_N2.4,80.0,21.51,1.0,1,318.66
p1_E2_N2.1,61.0,41.55,17.0,2,347.54
p1_N3_S3.4,80.0,22.43,3.0,1,301.97
p1_N2_W2.1,63.0,23.09,7.0,1,289.91
p1_E1_W1.6,87.0,13.77,0.0,0,273.06
p1_S3_E3.2,123.0,25.57,12.0,1,189.83
p1_N3_W1.1,63.0,40.77,23.0,2,329.28
p1_E_W.6,87.0,21.67,1.0,1,290.2
p1_W1_E1.13,78.0,27.19,11.0,1,303.65
p1_N1_S1.4,80.0,30.22,11.0,2,318.71
p1_W1_E1.17,102.0,9.35,0.0,0,246.57
p1_N2_S2.4,80.0,20.8,8.0,1,279.39
p1_E_W.7,101.0,7.54,0.0,0,249.42
p1_W1_E1.16,96.0,17.26,0.0,0,272.98
p1_S1_N1.4,80.0,33.79,11.0,2,333.55
p1_W_E.14,84.0,28.99,12.0,2,309.96
p1_W_E.15,90.0,19.68,3.0,1,300.99
p1_W1_E1.15,90.0,15.31,1.0,1,270.3
p1_W3_E3.14,84.0,34.11,15.0,2,319.0
p1_W3_E3.15,90.0,28.21,10.0,2,318.79
p1_W1_E1.18,108.0,7.65,0.0,0,229.75
p1_W3_E3.16,96.0,24.09,4.0,1,308.04
p1_W3_E3.17,102.0,17.52,3.0,1,275.86
p1_W3_E3.18,108.0,13.87,0.0,0,268.85
