id,depart,timeloss,espera,paradas,co2
p1_S3_E3.0,3.0,18.18,7.0,1,182.49
p1_E1_N3.0,3.0,45.24,31.0,1,230.07
p1_W_E.0,0.0,8.29,0.0,0,242.97
p1_E2_N2.0,3.0,12.12,0.0,0,266.31
p1_N3_S3.0,0.0,15.98,4.0,1,285.24
p1_S2_N2.0,0.0,18.05,4.0,1,293.57
p1_N2_S2.0,0.0,18.67,4.0,1,277.22
p1_S2_E2.0,3.0,16.78,4.0,1,267.37
p1_N2_W2.0,3.0,18.0,4.0,1,270.57
p1_S3_N3.0,0.0,20.32,9.0,1,276.77
p1_W1_E1.1,6.0,21.27,7.0,1,293.72
p1_W3_E3.1,6.0,21.46,7.0,1,290.07
p1_W3_E3.0,0.0,24.47,6.0,1,308.03
p1_W1_E1.2,12.0,16.28,3.0,1,269.94
p1_E_W.1,15.0,16.56,2.0,1,276.84
p1_W3_S3.0,3.0,24.17,5.0,1,314.99
p1_N1_W3.0,3.0,28.22,9.0,1,314.31
p1_N1_S1.0,0.0,25.51,10.0,1,307.62
p1_E1_N3.1,61.0,12.6,0.0,0,177.13
p1_N1_S1.1,20.0,9.98,0.0,0,261.48
p1_W1_S1.0,3.0,32.39,9.0,1,324.53
p1_W1_E1.0,0.0,18.49,4.0,1,283.53
p1_W_E.3,18.0,13.68,0.0,0,275.97
p1_W_E.4,24.0,10.79,0.0,0,256.55
p1_S1_N1.0,0.0,23.73,11.0,1,284.04
p1_W_E.1,6.0,19.22,5.0,1,271.84
p1_W_E.5,30.0,9.06,0.0,0,240.09
p1_W_E.2,12.0,15.62,0.0,0,261.6
p1_S1_N1.1,20.0,8.48,0.0,0,246.24
p1_S3_N3.1,20.0,18.11,6.0,1,278.77
p1_E_W.0,0.0,20.6,5.0,1,277.96
p1_N2_S2.1,20.0,25.57,12.0,1,295.09
p1_E3_W3.0,0.0,41.34,23.0,2,333.93
p1_N3_W1.0,3.0,32.8,11.0,2,329.37
p1_W2_S2.0,3.0,45.17,24.0,2,352.37
p1_E1_W1.1,15.0,35.16,20.0,1,320.56
p1_E1_W1.2,29.0,21.5,6.0,1,275.06
p1_E3_W3.2,29.0,21.92,6.0,1,292.55
p1_W3_E3.3,18.0,34.58,15.0,2,311.59
p1_E3_W3.3,44.0,7.91,0.0,0,243.41
p1_W1_E1.3,18.0,34.11,15.0,2,317.84
p1_W1_E1.5,30.0,22.85,4.0,1,307.47
p1_E1_W1.3,44.0,8.67,0.0,0,254.9
p1_W3_E3.4,24.0,30.36,9.0,2,315.47
p1_W1_E1.6,36.0,19.17,4.0,1,284.62
p1_W3_E3.2,12.0,36.76,17.0,2,322.01
p1_W3_E3.8,48.0,8.28,0.0,0,249.39
p1_E3_W3.1,15.0,34.25,18.0,1,304.17
p1_W1_E1.8,48.0,9.31,0.0,0,247.57
p1_W1_E1.7,42.0,16.81,0.0,0,274.94
p1_S2_N2.2,40.0,21.54,9.0,1,290.58
p1_W1_E1.9,54.0,7.99,0.0,0,251.19
p1_W3_E3.9,54.0,8.16,0.0,0,246.99
p1_W1_E1.4,24.0,20.92,7.0,1,278.76
p1_W3_E3.5,30.0,15.13,1.0,1,269.36
