id,depart,timeloss,espera,paradas,co2
p1_S3_E3.0,3.0,7.01,0.0,0,159.45
p1_E1_N3.0,3.0,20.49,6.0,1,190.65
p1_S3_N3.0,0.0,7.1,0.0,0,239.9
p1_N3_S3.0,0.0,7.77,0.0,0,244.51
p1_N1_W3.0,3.0,9.23,0.0,0,250.63
p1_W_E.0,0.0,8.25,0.0,0,237.39
p1_N1_S1.0,0.0,8.79,0.0,0,240.87
p1_S1_N1.0,0.0,8.76,0.0,0,248.04
p1_E_W.1,15.0,7.73,0.0,0,247.53
p1_W3_E3.1,6.0,18.3,6.0,1,276.97
p1_E1_W1.1,15.0,8.67,0.0,0,249.34
p1_W1_E1.1,6.0,18.62,5.0,1,278.28
p1_W1_E1.2,12.0,13.9,0.0,0,262.54
p1_W3_E3.0,0.0,23.36,9.0,1,285.85
p1_E3_W3.0,0.0,23.59,10.0,1,289.42
p1_E1_N3.1,61.0,8.21,0.0,0,162.3
p1_W_E.1,6.0,9.5,0.0,0,249.5
p1_W1_E1.3,18.0,9.32,0.0,0,253.36
p1_N2_S2.0,0.0,29.69,16.0,1,292.27
p1_S2_N2.0,0.0,30.04,15.0,1,304.41
p1_N3_W1.0,3.0,15.17,1.0,1,280.73
p1_W2_S2.0,3.0,27.09,10.0,1,309.85
p1_E2_N2.0,3.0,26.89,13.0,1,296.66
p1_W3_S3.0,3.0,23.64,9.0,1,300.83
p1_W3_E3.2,12.0,12.67,0.0,0,258.89
p1_E3_W3.1,15.0,9.47,0.0,0,250.81
p1_N2_S2.1,20.0,11.66,0.0,0,270.98
p1_W3_E3.4,24.0,8.44,0.0,0,257.15
p1_W3_E3.3,18.0,16.17,0.0,0,279.64
p1_W1_E1.0,0.0,19.33,5.0,1,270.69
p1_E1_W1.2,29.0,8.48,0.0,0,239.21
p1_E3_W3.2,29.0,8.07,0.0,0,242.84
p1_W1_E1.5,30.0,8.86,0.0,0,243.7
p1_E1_W1.0,0.0,19.68,6.0,1,286.76
p1_W1_E1.6,36.0,8.52,0.0,0,244.66
p1_S2_E2.0,3.0,45.09,21.0,3,348.2
p1_N2_W2.0,3.0,45.36,19.0,3,356.03
p1_E_W.2,29.0,20.44,4.0,1,296.6
p1_W_E.6,36.0,13.54,0.0,0,266.17
p1_W_E.4,24.0,23.99,9.0,1,292.48
p1_N3_S3.2,40.0,10.82,0.0,0,263.31
p1_W1_S1.0,3.0,49.63,25.0,2,336.95
p1_W1_E1.4,24.0,8.72,0.0,0,239.21
p1_E_W.3,44.0,7.77,0.0,0,247.33
p1_W_E.7,42.0,8.5,0.0,0,250.17
p1_E_W.0,0.0,30.63,15.0,1,298.69
p1_W_E.2,12.0,29.93,16.0,1,298.79
p1_N1_S1.1,20.0,30.71,19.0,1,298.81
p1_W_E.5,30.0,24.98,4.0,1,301.21
p1_S3_E3.1,63.0,34.93,23.0,1,218.43
p1_S3_N3.1,20.0,31.02,17.0,1,292.25
p1_W_E.3,18.0,35.02,14.0,1,325.32
p1_N3_S3.1,20.0,29.33,17.0,1,285.31
p1_S1_N1.1,20.0,29.06,15.0,1,294.82
p1_W_E.9,54.0,8.35,0.0,0,244.85
p1_S1_N1.2,40.0,9.2,0.0,0,249.96
p1_N1_S1.2,40.0,8.86,0.0,0,246.45
p1_S3_N3.2,40.0,10.26,0.0,0,259.01
p1_W_E.8,48.0,8.77,0.0,0,242.07
p1_E_W.4,58.0,8.45,0.0,0,248.84
p1_E3_W3.4,58.0,10.24,0.0,0,281.29
p1_W_E.10,60.0,8.16,0.0,0,240.87
p1_E1_W1.4,58.0,11.0,0.0,0,260.79
p1_S1_E1.0,3.0,22.55,6.0,1,370.79
p1_E1_W1.3,44.0,25.72,13.0,1,285.51
p1_E3_W3.3,44.0,25.72,13.0,1,290.96
p1_W1_E1.8,48.0,22.27,7.0,1,282.13
p1_W3_E3.8,48.0,21.94,8.0,1,279.43
p1_W1_E1.7,42.0,30.28,14.0,1,304.2
p1_W3_E3.9,54.0,17.96,3.0,1,271.73
p1_W1_E1.10,60.0,12.24,0.0,0,254.21
p1_W1_E1.9,54.0,19.98,4.0,1,298.29
