id,depart,timeloss,espera,paradas,co2
p1_E1_N3.0,3.0,10.97,0.0,0,175.01
p1_S3_E3.0,3.0,18.38,7.0,1,184.26
p1_N2_S2.0,0.0,7.57,0.0,0,242.28
p1_S2_N2.0,0.0,7.43,0.0,0,249.82
p1_W1_E1.1,6.0,8.8,0.0,0,259.67
p1_W3_E3.1,6.0,9.2,0.0,0,255.96
p1_W3_E3.0,0.0,14.73,2.0,1,278.04
p1_E3_W3.0,0.0,14.65,2.0,1,267.53
p1_W3_S3.0,3.0,14.57,0.0,0,288.61
p1_W_E.0,0.0,19.12,2.0,1,293.73
p1_W1_E1.0,0.0,9.74,0.0,0,247.17
p1_W1_S1.0,3.0,25.72,8.0,1,298.68
p1_E1_W1.0,0.0,9.42,0.0,0,250.32
p1_W_E.1,6.0,9.53,0.0,0,253.1
p1_E_W.1,15.0,15.27,0.0,0,290.03
p1_W_E.3,18.0,8.38,0.0,0,250.61
p1_S3_E3.1,63.0,10.63,0.0,0,175.64
p1_N3_S3.0,0.0,33.7,17.0,2,326.18
p1_S3_N3.0,0.0,34.16,18.0,2,316.54
p1_W2_S2.0,3.0,31.07,6.0,2,336.96
p1_E2_N2.0,3.0,30.59,11.0,2,329.86
p1_W_E.2,12.0,8.51,0.0,0,238.27
p1_S3_N3.1,20.0,9.68,0.0,0,263.61
p1_S2_E2.0,3.0,37.13,20.0,2,316.01
p1_N2_S2.1,20.0,20.86,6.0,1,281.0
p1_E1_N3.1,61.0,21.74,12.0,1,186.95
p1_W1_E1.2,12.0,30.67,12.0,2,320.83
p1_W3_E3.3,18.0,25.23,8.0,2,301.93
p1_W3_E3.4,24.0,19.36,1.0,1,297.42
p1_E3_W3.2,29.0,14.36,1.0,1,269.32
p1_E_W.0,0.0,19.05,5.0,1,282.53
p1_W1_E1.3,18.0,24.53,4.0,2,300.2
p1_E1_W1.1,15.0,29.95,8.0,2,324.77
p1_E1_W1.2,29.0,16.22,1.0,1,271.82
p1_W1_E1.5,30.0,15.68,0.0,0,274.85
p1_E3_W3.1,15.0,25.46,6.0,2,304.82
p1_W1_E1.6,36.0,11.63,0.0,0,252.08
p1_W3_E3.2,12.0,28.79,7.0,2,305.39
p1_N3_W1.0,3.0,34.95,15.0,2,311.23
p1_N1_W3.0,3.0,50.18,28.0,3,363.14
p1_N1_S1.1,20.0,31.52,11.0,3,310.26
p1_W1_E1.4,24.0,12.34,0.0,0,268.32
p1_N2_W2.0,3.0,53.59,29.0,3,365.21
p1_E_W.3,44.0,12.66,0.0,0,270.28
p1_E_W.2,29.0,28.96,12.0,1,319.42
p1_N1_S1.0,0.0,50.88,24.0,3,359.34
p1_W_E.5,30.0,30.42,8.0,2,321.72
p1_W_E.4,24.0,34.49,14.0,2,330.53
p1_W_E.6,36.0,26.95,5.0,2,323.65
p1_S1_N1.0,0.0,49.98,26.0,3,344.21
p1_W_E.7,42.0,18.97,1.0,1,294.09
p1_S2_N2.2,40.0,26.25,9.0,1,300.62
