id,depart,timeloss,espera,paradas,co2
p1_S3_E3.0,3.0,13.71,3.0,1,176.39
p1_E1_N3.0,3.0,26.3,12.0,1,204.41
p1_W3_E3.0,0.0,8.04,0.0,0,246.95
p1_E3_W3.0,0.0,7.57,0.0,0,241.31
p1_W_E.0,0.0,8.21,0.0,0,243.19
p1_N2_S2.0,0.0,23.39,4.0,1,311.58
p1_S2_N2.0,0.0,23.25,3.0,1,312.1
p1_S3_N3.0,0.0,23.11,5.0,1,309.44
p1_N1_W3.0,3.0,19.1,1.0,1,310.32
p1_N1_S1.0,0.0,16.25,1.0,1,288.48
p1_N3_S3.0,0.0,23.78,5.0,1,318.04
p1_W2_S2.0,3.0,21.37,3.0,1,302.2
p1_E2_N2.0,3.0,20.76,5.0,1,287.62
p1_S3_E3.1,63.0,7.12,0.0,0,163.0
p1_S1_N1.0,0.0,14.19,1.0,1,267.42
p1_S2_E2.0,3.0,33.42,12.0,2,323.1
p1_W3_E3.1,6.0,30.49,12.0,1,320.86
p1_W1_E1.2,12.0,23.75,6.0,1,297.31
p1_E_W.1,15.0,21.33,3.0,1,314.03
p1_E1_N3.1,61.0,16.83,4.0,1,186.83
p1_N2_W2.0,3.0,33.81,9.0,2,338.03
p1_W3_S3.0,3.0,28.32,12.0,1,310.03
p1_W1_E1.1,6.0,30.72,11.0,1,330.83
p1_E1_W1.1,15.0,21.76,1.0,1,310.82
p1_E3_W3.1,15.0,14.57,0.0,0,295.41
p1_W1_E1.3,18.0,18.45,2.0,1,294.92
p1_E_W.2,29.0,9.08,0.0,0,261.7
p1_E3_W3.2,29.0,8.88,0.0,0,237.97
p1_N3_W1.0,3.0,24.52,6.0,1,295.36
p1_W3_E3.3,18.0,20.88,0.0,0,301.37
p1_W_E.2,12.0,14.69,2.0,1,262.65
p1_W_E.4,24.0,13.22,0.0,0,254.42
p1_E1_W1.2,29.0,10.69,0.0,0,251.68
p1_W3_E3.2,12.0,20.9,3.0,1,290.78
p1_W3_E3.4,24.0,16.64,0.0,0,291.47
p1_W_E.5,30.0,11.56,0.0,0,262.22
p1_W_E.1,6.0,23.08,6.0,1,289.62
p1_W1_E1.0,0.0,26.34,11.0,1,289.36
p1_W_E.3,18.0,21.62,0.0,0,298.46
p1_E1_W1.0,0.0,25.4,12.0,1,293.1
p1_W1_S1.0,3.0,44.43,19.0,2,335.29
