id,depart,timeloss,espera,paradas,co2
p1_S3_E3.0,3.0,7.01,0.0,0,159.45
p1_E1_N3.0,3.0,26.18,11.0,1,197.36
p1_W1_E1.1,6.0,8.12,0.0,0,247.19
p1_W_E.0,0.0,8.35,0.0,0,245.34
p1_E2_N2.0,3.0,12.04,0.0,0,277.53
p1_N3_S3.0,0.0,15.92,4.0,1,280.8
p1_N2_S2.0,0.0,26.36,8.0,1,301.65
p1_W2_S2.0,3.0,23.92,7.0,1,310.99
p1_W1_E1.0,0.0,9.37,0.0,0,249.13
p1_W3_E3.0,0.0,23.0,9.0,1,287.18
p1_N2_S2.1,20.0,8.44,0.0,0,244.85
p1_E1_N3.1,61.0,8.39,0.0,0,163.18
p1_E1_W1.1,15.0,14.33,0.0,0,276.65
p1_W3_E3.1,6.0,25.24,10.0,1,284.12
p1_E_W.1,15.0,18.02,4.0,1,283.18
p1_N3_W1.0,3.0,18.79,2.0,1,282.7
p1_W1_E1.2,12.0,22.14,8.0,1,274.32
p1_W3_E3.3,18.0,15.71,3.0,1,268.62
p1_N2_W2.0,3.0,32.09,7.0,2,332.63
p1_W3_S3.0,3.0,27.13,12.0,1,305.1
p1_W3_E3.4,24.0,12.34,0.0,0,262.85
p1_W1_S1.0,3.0,34.92,16.0,1,323.99
p1_N1_S1.0,0.0,32.69,13.0,2,306.65
p1_N1_W3.0,3.0,35.93,16.0,2,315.97
p1_W_E.1,6.0,20.84,7.0,1,281.92
p1_W3_E3.2,12.0,20.04,5.0,1,284.59
p1_W_E.2,12.0,15.46,1.0,1,260.62
p1_S3_N3.0,0.0,42.17,23.0,2,327.62
p1_W_E.3,18.0,19.68,0.0,0,294.24
p1_W_E.4,24.0,15.91,0.0,0,270.63
p1_S2_N2.0,0.0,44.39,27.0,1,342.31
p1_E_W.0,0.0,22.01,7.0,1,285.58
p1_S1_N1.0,0.0,32.7,15.0,2,305.29
p1_S3_N3.1,20.0,21.9,7.0,1,281.52
p1_S2_N2.2,40.0,7.23,0.0,0,239.25
p1_E3_W3.0,0.0,47.2,24.0,3,359.81
p1_E3_W3.1,15.0,30.68,12.0,2,309.67
p1_W1_E1.5,30.0,23.3,7.0,1,294.05
p1_E1_W1.3,44.0,9.44,0.0,0,267.08
p1_W1_E1.3,18.0,34.32,15.0,2,327.8
p1_E1_W1.2,29.0,26.29,12.0,1,284.09
p1_W1_E1.6,36.0,19.29,4.0,1,285.25
p1_W1_E1.8,48.0,9.1,0.0,0,247.95
p1_N3_S3.2,40.0,18.33,7.0,1,277.59
p1_E_W.2,29.0,29.75,11.0,1,311.04
p1_W_E.6,36.0,23.22,5.0,1,299.42
p1_W1_E1.7,42.0,17.02,0.0,0,284.28
p1_E_W.3,44.0,15.42,0.0,0,276.58
p1_S3_E3.1,63.0,40.25,28.0,1,225.86
p1_E1_W1.0,0.0,41.19,22.0,2,326.41
p1_S2_E2.0,3.0,58.47,30.0,3,370.57
p1_W_E.5,30.0,31.3,10.0,1,336.46
p1_N3_S3.1,20.0,31.44,13.0,2,309.88
p1_E3_W3.2,29.0,32.92,13.0,2,320.53
p1_E3_W3.3,44.0,18.18,3.0,1,274.84
p1_W_E.7,42.0,18.57,1.0,1,304.86
p1_W1_E1.4,24.0,21.53,8.0,1,290.76
p1_W_E.8,48.0,8.55,0.0,0,251.45
p1_E3_W3.4,58.0,12.72,0.0,0,269.11
p1_S2_N2.3,60.0,11.21,0.0,0,277.37
p1_S1_N1.1,20.0,40.3,20.0,2,327.01
p1_S2_E2.1,63.0,10.56,0.0,0,251.35
p1_W3_E3.5,30.0,25.96,11.0,1,292.23
p1_W3_E3.6,36.0,19.42,4.0,1,278.25
p1_W3_E3.8,48.0,29.08,1.0,1,308.72
p1_W3_E3.9,54.0,22.84,0.0,0,305.11
p1_S1_N1.2,40.0,23.47,11.0,1,275.9
p1_W3_S3.1,63.0,13.55,0.0,0,260.78
p1_S3_N3.2,40.0,23.33,4.0,1,302.14
p1_W3_E3.10,60.0,18.86,0.0,0,297.43
p1_N1_S1.1,20.0,55.96,36.0,2,345.13
p1_E1_W1.4,58.0,21.88,6.0,1,298.27
p1_W1_S1.1,63.0,18.38,0.0,0,289.63
p1_N2_S2.3,60.0,22.53,5.0,1,297.64
p1_N1_S1.2,40.0,27.5,6.0,2,317.76
p1_W3_E3.7,42.0,14.98,0.0,0,272.63
p1_E_W.5,72.0,12.28,0.0,0,286.84
p1_N2_S2.2,40.0,35.61,12.0,3,329.7
p1_S2_N2.1,20.0,25.72,5.0,1,291.53
p1_E_W.4,58.0,28.23,7.0,1,314.87
p1_W1_E1.10,60.0,26.33,6.0,2,311.67
p1_W1_E1.11,66.0,19.0,3.0,1,299.28
p1_W1_E1.12,72.0,16.43,1.0,1,275.1
p1_E1_N3.2,120.0,11.21,0.0,0,176.2
p1_S3_E3.2,123.0,8.36,0.0,0,166.3
p1_S1_E1.0,3.0,41.14,10.0,3,444.11
p1_W1_E1.9,54.0,36.26,12.0,2,347.97
p1_W2_S2.1,63.0,22.92,4.0,1,289.45
p1_W_E.9,54.0,37.75,16.0,3,347.7
p1_W_E.10,60.0,31.93,7.0,2,332.68
p1_E3_W3.5,72.0,20.2,7.0,1,271.82
p1_W_E.13,78.0,15.46,0.0,0,296.26
p1_E3_N1.0,3.0,48.9,21.0,3,455.87
p1_W_E.12,72.0,23.35,0.0,0,310.09
p1_E3_W3.6,87.0,7.73,0.0,0,239.81
p1_S1_N1.3,60.0,35.91,17.0,2,321.04
p1_W_E.11,66.0,23.88,1.0,1,308.17
p1_W3_E3.15,90.0,8.38,0.0,0,249.35
p1_S1_N1.4,80.0,19.35,4.0,1,291.5
p1_E2_N2.1,61.0,39.13,13.0,2,339.12
p1_W3_E3.11,66.0,23.38,9.0,1,283.25
p1_W3_E3.14,84.0,16.22,1.0,1,280.47
p1_W3_E3.13,78.0,15.84,1.0,1,271.73
p1_S3_N3.3,60.0,43.24,29.0,1,312.54
p1_S3_N3.4,80.0,23.88,10.0,1,283.27
p1_N2_W2.1,63.0,25.84,7.0,1,297.57
p1_N3_W1.1,63.0,41.9,22.0,2,330.93
p1_N1_W3.1,63.0,46.09,21.0,3,352.31
p1_N1_S1.4,80.0,29.39,9.0,2,319.7
p1_N3_S3.3,60.0,50.3,25.0,3,360.84
p1_N3_S3.4,80.0,30.73,11.0,2,311.84
p1_W1_E1.16,96.0,14.93,0.0,0,274.84
p1_W1_E1.13,78.0,29.07,11.0,2,318.88
p1_E1_W1.6,87.0,20.03,3.0,1,294.71
p1_N1_S1.3,60.0,44.42,21.0,3,353.21
p1_N2_S2.4,80.0,25.65,8.0,1,298.57
p1_W_E.14,84.0,33.14,8.0,1,337.1
p1_W1_E1.15,90.0,16.75,0.0,0,275.42
p1_W_E.15,90.0,24.64,4.0,2,318.33
p1_W_E.16,96.0,18.86,0.0,0,293.61
p1_W_E.17,102.0,18.84,0.0,0,291.93
p1_W1_E1.14,84.0,15.47,1.0,1,281.79
p1_W3_E3.18,108.0,13.68,0.0,0,285.15
p1_E1_W1.5,72.0,22.68,8.0,1,291.8
p1_E_W.6,87.0,35.69,12.0,2,342.14
p1_E3_W3.7,101.0,22.16,4.0,1,294.65
p1_W3_E3.16,96.0,27.68,10.0,2,301.23
p1_E_W.7,101.0,19.9,6.0,1,285.63
p1_W3_E3.17,102.0,20.71,3.0,1,292.27
p1_E3_W3.8,116.0,7.56,0.0,0,238.88
p1_W3_E3.12,72.0,40.46,19.0,2,328.05
p1_E1_W1.8,116.0,17.06,1.0,1,283.61
p1_W1_S1.2,123.0,10.31,0.0,0,261.15
p1_S2_N2.4,80.0,55.52,38.0,2,345.7
p1_N1_S1.5,100.0,30.65,13.0,2,321.6
p1_S2_N2.6,120.0,11.58,0.0,0,263.1
p1_S3_N3.6,120.0,8.33,0.0,0,246.3
p1_E1_W1.7,101.0,24.79,9.0,1,287.33
p1_N3_S3.5,100.0,35.34,12.0,3,329.92
p1_S3_N3.5,100.0,30.24,11.0,2,298.86
p1_N2_S2.5,100.0,39.55,15.0,2,343.3
p1_S2_N2.5,100.0,27.8,11.0,1,302.62
p1_N1_S1.6,120.0,20.09,5.0,1,277.55
p1_W2_S2.2,123.0,18.99,0.0,0,288.47
p1_E_W.9,130.0,8.55,0.0,0,240.7
p1_N1_W3.2,123.0,20.29,3.0,1,297.64
p1_E3_N1.1,61.0,42.87,16.0,2,448.09
p1_W1_E1.17,102.0,46.52,18.0,3,357.75
p1_W_E.21,126.0,22.51,6.0,1,290.03
p1_W1_E1.18,108.0,39.33,15.0,3,332.84
p1_W_E.19,114.0,34.72,10.0,2,326.76
p1_S1_N1.6,120.0,26.7,8.0,1,299.61
p1_S3_E3.3,183.0,10.03,0.0,0,167.51
p1_E1_N3.3,180.0,14.05,2.0,1,178.68
p1_S1_N1.5,100.0,37.69,13.0,2,336.44
p1_W1_E1.19,114.0,36.63,9.0,3,336.26
p1_W1_E1.20,120.0,31.19,8.0,2,328.75
p1_W3_E3.22,132.0,20.36,4.0,1,294.21
p1_S1_E1.1,63.0,44.09,11.0,3,451.95
p1_W_E.18,108.0,36.37,13.0,2,332.75
p1_W1_E1.22,132.0,20.98,8.0,1,284.51
p1_W3_E3.19,114.0,40.28,17.0,3,355.45
p1_W_E.20,120.0,22.55,4.0,1,300.62
p1_E3_W3.9,130.0,15.74,1.0,1,284.12
p1_W_E.22,132.0,23.41,4.0,1,286.41
p1_W_E.23,138.0,16.74,1.0,1,280.73
p1_W3_S3.2,123.0,32.2,6.0,1,353.22
p1_W3_E3.23,138.0,11.58,0.0,0,261.93
p1_N3_W1.2,122.0,37.58,16.0,2,322.65
p1_S2_E2.2,123.0,36.68,23.0,1,313.74
p1_W3_E3.21,126.0,29.75,6.0,1,325.65
p1_S3_N3.7,140.0,22.19,4.0,1,303.24
p1_W3_E3.20,120.0,24.75,4.0,1,299.58
p1_E_W.8,116.0,26.25,7.0,2,296.07
p1_E2_N2.2,120.0,35.58,9.0,2,324.63
