id,depart,timeloss,espera,paradas,co2
p1_S3_E3.0,3.0,12.7,2.0,1,175.73
p1_E1_N3.0,3.0,26.36,11.0,1,197.8
p1_W3_E3.0,0.0,8.05,0.0,0,251.69
p1_E3_W3.0,0.0,7.96,0.0,0,239.43
p1_W3_E3.1,6.0,7.84,0.0,0,246.69
p1_W_E.0,0.0,8.52,0.0,0,237.63
p1_W3_S3.0,3.0,10.16,0.0,0,258.4
p1_S2_N2.0,0.0,21.98,7.0,1,293.23
p1_N3_S3.0,0.0,21.98,5.0,2,312.24
p1_S2_E2.0,3.0,19.21,5.0,1,284.94
p1_E2_N2.0,3.0,18.49,4.0,1,288.73
p1_N1_S1.0,0.0,19.15,5.0,1,268.52
p1_W1_S1.0,3.0,24.13,3.0,1,302.22
p1_S3_E3.1,63.0,7.51,0.0,0,168.74
p1_S3_N3.0,0.0,27.42,10.0,2,316.6
p1_N1_W3.0,3.0,24.22,4.0,1,305.3
p1_E1_W1.1,15.0,14.52,0.0,0,274.28
p1_W2_S2.0,3.0,28.23,13.0,1,304.93
p1_N3_W1.0,3.0,22.68,7.0,1,292.99
p1_W3_E3.2,12.0,18.11,3.0,1,282.5
p1_W1_E1.1,6.0,34.38,14.0,2,322.09
p1_E_W.1,15.0,24.7,5.0,2,302.32
p1_E1_N3.1,61.0,21.42,10.0,1,196.35
p1_W1_E1.2,12.0,30.41,10.0,2,310.41
p1_W3_E3.3,18.0,23.82,12.0,1,279.7
p1_E3_W3.2,29.0,13.04,0.0,0,268.37
p1_W1_E1.5,30.0,14.53,0.0,0,274.0
p1_W1_E1.0,0.0,28.36,9.0,1,303.72
p1_E_W.0,0.0,21.13,5.0,1,279.94
p1_W_E.3,18.0,23.75,5.0,1,306.31
p1_W1_E1.3,18.0,27.88,2.0,1,315.54
p1_E3_W3.1,15.0,25.07,7.0,1,298.98
p1_W_E.4,24.0,21.06,4.0,1,288.3
p1_W_E.1,6.0,29.5,8.0,2,306.4
p1_W_E.2,12.0,25.04,5.0,2,298.03
p1_E1_W1.2,29.0,26.08,12.0,1,287.31
p1_N3_S3.2,40.0,14.96,1.0,1,270.92
p1_S3_N3.1,20.0,31.86,11.0,2,311.92
p1_E1_W1.3,44.0,12.94,0.0,0,286.42
p1_N2_S2.0,0.0,57.71,36.0,2,378.6
p1_N2_S2.1,20.0,37.78,14.0,2,349.05
