id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,20.28,9.0,1,157.07
p1_N3_S3.0,0.0,21.95,11.0,1,161.85
p1_S3_N3.0,0.0,22.04,10.0,1,165.38
p1_S1_N1.0,0.0,20.6,9.0,1,160.15
p1_N2_S2.0,0.0,20.41,9.0,1,157.4
p1_S2_N2.0,0.0,18.92,8.0,1,149.65
p1_N1_S1.1,24.0,4.67,0.0,0,120.66
p1_S1_N1.1,24.0,4.8,0.0,0,118.21
p1_S2_N2.1,24.0,4.65,0.0,0,120.16
p1_N3_S3.1,24.0,4.93,0.0,0,121.01
p1_S3_N3.1,24.0,4.81,0.0,0,123.97
p1_N2_S2.1,24.0,4.98,0.0,0,120.12
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_S2_N2.2,48.0,5.04,0.0,0,119.27
p1_S1_N1.2,48.0,5.3,0.0,0,126.04
p1_N2_S2.2,48.0,4.96,0.0,0,120.36
p1_N3_S3.2,48.0,4.94,0.0,0,121.02
p1_N1_S1.2,48.0,5.05,0.0,0,116.14
p1_S3_N3.2,48.0,4.68,0.0,0,122.37
p1_W_NR.1,48.0,12.24,0.0,0,159.97
p1_S1_E.0,3.0,22.78,8.0,1,270.95
p1_N1_S1.3,72.0,5.36,0.0,0,125.42
p1_N3_S3.3,72.0,5.6,0.0,0,126.01
p1_S2_N2.3,72.0,6.41,0.0,0,132.62
p1_S1_N1.3,72.0,8.25,0.0,0,139.47
p1_N2_S2.3,72.0,5.83,0.0,0,119.42
p1_S3_N3.3,72.0,5.28,0.0,0,118.78
p1_S3_N3.4,96.0,4.48,0.0,0,124.33
p1_SR_E.0,0.0,21.05,3.0,1,334.11
p1_N3_S3.4,96.0,5.3,0.0,0,124.19
p1_N1_S1.4,96.0,5.9,0.0,0,129.42
p1_N3_W.0,3.0,26.99,8.0,1,333.47
p1_N2_S2.4,96.0,14.49,5.0,1,159.06
p1_S2_N2.4,96.0,14.87,5.0,1,158.33
p1_S1_N1.4,96.0,5.02,0.0,0,125.24
p1_W_NR.2,92.0,10.14,0.0,0,166.77
p1_W_E.1,6.0,35.01,4.0,2,383.83
p1_W_E.4,23.0,18.42,0.0,0,339.08
p1_W_E.5,28.0,17.57,0.0,0,333.74
p1_W_E.2,12.0,33.82,0.0,0,369.91
p1_N1_S1.5,120.0,10.29,0.0,0,146.25
p1_S1_N1.5,120.0,10.31,0.0,0,145.83
p1_W_E.3,17.0,16.36,0.0,0,341.92
p1_E_W.1,15.0,34.13,6.0,3,396.23
p1_W_E.0,0.0,29.86,6.0,2,374.0
p1_S1_E.1,60.0,19.69,8.0,1,262.98
p1_N2_S2.5,120.0,16.6,6.0,1,161.24
p1_S3_N3.5,120.0,16.55,6.0,1,157.18
p1_S2_N2.5,120.0,17.29,6.0,1,162.25
p1_N3_S3.5,120.0,14.71,5.0,1,153.23
p1_E_W.0,0.0,34.23,11.0,1,369.21
p1_W_E.6,34.0,37.65,13.0,2,400.54
p1_W_E.7,39.0,33.71,12.0,2,398.44
p1_SR_E.1,24.0,60.44,33.0,3,415.25
p1_SR_E.2,48.0,36.64,9.0,3,378.03
p1_W_E.9,51.0,25.04,3.0,1,355.98
p1_S1_N1.6,144.0,16.15,6.0,1,155.18
p1_W_E.8,45.0,24.25,2.0,1,356.07
p1_W_NR.3,136.0,8.37,0.0,0,160.54
p1_E_W.2,29.0,34.43,10.0,1,372.56
p1_N2_S2.6,144.0,18.63,9.0,1,161.73
p1_S2_N2.6,144.0,18.62,8.0,1,152.77
p1_N1_S1.6,144.0,12.72,3.0,1,143.93
p1_N3_S3.6,144.0,21.16,10.0,1,163.42
p1_S3_N3.6,144.0,20.2,10.0,1,158.43
p1_E_W.3,44.0,22.48,2.0,1,359.37
p1_S3_N3.7,168.0,5.06,0.0,0,120.21
p1_N3_S3.7,168.0,5.51,0.0,0,118.44
p1_S1_N1.7,168.0,19.4,7.0,1,161.9
p1_E_W.5,72.0,33.89,7.0,1,366.28
p1_S2_N2.7,168.0,20.6,10.0,1,163.43
p1_SR_E.3,72.0,45.7,21.0,3,387.02
p1_N2_S2.7,168.0,19.5,11.0,1,159.08
p1_W_E.11,61.0,43.0,9.0,2,392.67
p1_N1_S1.7,168.0,14.91,4.0,1,153.41
p1_N3_W.1,60.0,33.12,10.0,2,347.75
p1_W_E.12,67.0,42.49,8.0,2,402.42
p1_W_E.13,72.0,37.46,7.0,2,383.23
p1_E_W.4,58.0,40.49,16.0,2,370.0
p1_S1_E.2,123.0,21.59,3.0,1,291.23
p1_S2_N2.8,192.0,4.82,0.0,0,117.96
p1_N2_S2.8,192.0,4.95,0.0,0,118.52
p1_N3_S3.8,192.0,6.58,0.0,0,142.54
p1_S3_N3.8,192.0,5.35,0.0,0,121.63
p1_W_NR.4,181.0,8.99,0.0,0,160.98
p1_E_W.7,101.0,24.14,8.0,1,347.15
p1_W_E.10,56.0,19.28,0.0,0,335.93
p1_E_W.8,116.0,11.96,0.0,0,307.81
p1_N1_S1.8,192.0,22.58,11.0,1,168.4
p1_W_E.16,89.0,45.87,13.0,3,430.6
p1_S1_N1.8,192.0,20.01,9.0,1,155.66
p1_W_E.19,106.0,30.75,1.0,1,379.23
p1_S1_N1.9,216.0,4.72,0.0,0,118.61
p1_N2_S2.9,216.0,5.03,0.0,0,122.03
p1_W_E.17,95.0,23.85,2.0,1,361.49
p1_W_E.20,111.0,27.84,0.0,0,381.94
p1_S2_N2.9,216.0,5.3,0.0,0,121.18
p1_N1_S1.9,216.0,4.94,0.0,0,123.98
p1_E_W.6,87.0,41.52,16.0,3,393.15
p1_W_E.14,78.0,42.91,14.0,2,404.88
p1_N3_S3.9,216.0,7.81,0.0,0,147.61
p1_S3_N3.9,216.0,7.44,0.0,0,138.15
p1_W_E.18,100.0,30.83,2.0,1,376.04
p1_W_E.15,84.0,41.15,9.0,2,407.08
p1_N3_W.2,123.0,36.17,14.0,2,369.11
p1_E_W.9,130.0,24.86,2.0,1,360.45
p1_E_W.10,144.0,13.68,0.0,0,308.94
p1_W_E.21,117.0,45.8,17.0,3,413.48
p1_S1_N1.10,240.0,5.56,0.0,0,127.33
p1_W_E.22,122.0,41.3,13.0,3,418.35
p1_W_E.23,128.0,37.18,6.0,2,399.39
p1_N1_S1.10,240.0,5.52,0.0,0,114.58
p1_W_E.24,133.0,29.39,4.0,2,382.85
p1_W_NR.5,225.0,10.32,0.0,0,168.59
p1_S1_E.3,180.0,18.88,2.0,1,278.57
p1_N3_S3.10,240.0,11.71,1.0,1,151.97
p1_S3_N3.10,240.0,11.22,2.0,1,144.84
p1_N2_S2.10,240.0,8.32,0.0,0,139.35
p1_S2_N2.10,240.0,6.21,0.0,0,128.73
p1_E_W.11,159.0,21.71,5.0,1,333.44
p1_W_E.25,139.0,46.43,18.0,2,414.9
p1_W_E.26,144.0,40.14,13.0,2,403.53
p1_SR_E.4,96.0,106.72,74.0,2,496.89
p1_SR_E.5,120.0,84.41,54.0,3,448.02
p1_W_E.27,150.0,35.71,7.0,2,401.13
p1_SR_E.6,144.0,61.92,31.0,3,416.87
p1_N2_S2.11,264.0,12.18,2.0,1,143.89
p1_S2_N2.11,264.0,13.74,3.0,1,144.63
p1_W_E.28,156.0,26.63,5.0,1,359.83
p1_N1_S1.11,264.0,16.87,7.0,1,161.96
p1_N3_S3.11,264.0,17.09,6.0,1,153.55
p1_S3_N3.11,264.0,16.23,5.0,1,157.18
p1_E_W.12,173.0,13.02,0.0,0,317.15
p1_S1_N1.11,264.0,15.58,5.0,1,146.87
p1_E_W.13,188.0,25.04,4.0,1,367.55
p1_W_E.30,167.0,51.33,14.0,2,427.97
