id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,20.27,10.0,1,158.56
p1_N3_S3.0,0.0,21.99,10.0,1,165.25
p1_S3_N3.0,0.0,21.99,12.0,1,165.25
p1_S1_N1.0,0.0,20.73,8.0,1,158.99
p1_N2_S2.0,0.0,20.43,9.0,1,157.12
p1_S2_N2.0,0.0,18.59,7.0,1,155.11
p1_S1_N1.1,20.0,5.1,0.0,0,130.8
p1_N1_S1.1,20.0,5.1,0.0,0,120.35
p1_N3_S3.1,20.0,5.31,0.0,0,126.34
p1_S3_N3.1,20.0,4.85,0.0,0,124.22
p1_S2_N2.1,20.0,6.53,0.0,0,131.76
p1_N2_S2.1,20.0,5.12,0.0,0,117.79
p1_W_NR.0,3.0,8.95,0.0,0,165.27
p1_S1_N1.2,40.0,5.26,0.0,0,131.19
p1_S2_N2.2,40.0,5.51,0.0,0,130.53
p1_N2_S2.2,40.0,5.28,0.0,0,126.51
p1_N1_S1.2,40.0,4.96,0.0,0,114.44
p1_N3_S3.2,40.0,5.74,0.0,0,133.12
p1_S3_N3.2,40.0,5.16,0.0,0,123.38
p1_W_NR.1,40.0,11.65,0.0,0,175.75
p1_S2_N2.3,60.0,14.85,4.0,1,151.87
p1_N1_S1.3,60.0,17.15,9.0,1,160.06
p1_S1_N1.3,60.0,17.45,7.0,1,155.18
p1_N3_S3.3,60.0,17.4,4.0,1,156.48
p1_N2_S2.3,60.0,10.64,0.0,0,145.12
p1_S3_N3.3,60.0,10.77,0.0,0,145.59
p1_N1_S1.4,80.0,4.85,0.0,0,116.94
p1_S1_E.0,3.0,40.62,17.0,2,328.52
p1_SR_E.0,0.0,16.13,0.0,0,320.02
p1_N2_S2.4,80.0,20.99,9.0,1,162.24
p1_S2_N2.4,80.0,20.44,9.0,1,165.19
p1_W_NR.2,76.0,12.82,0.0,0,168.2
p1_N3_S3.4,80.0,24.38,13.0,1,167.13
p1_S3_N3.4,80.0,24.73,16.0,1,166.85
p1_N1_S1.5,100.0,4.76,0.0,0,119.66
p1_N2_S2.5,100.0,4.71,0.0,0,121.72
p1_S2_N2.5,100.0,5.08,0.0,0,124.61
p1_S3_N3.5,100.0,6.43,0.0,0,134.27
p1_N3_S3.5,100.0,5.3,0.0,0,122.04
p1_S1_N1.4,80.0,19.89,9.0,1,151.09
p1_S1_N1.5,100.0,12.93,0.0,0,141.62
p1_W_E.1,6.0,35.8,6.0,2,375.34
p1_W_E.4,19.0,23.9,1.0,1,340.83
p1_N2_S2.6,120.0,5.56,0.0,0,129.12
p1_S2_N2.6,120.0,5.57,0.0,0,127.42
p1_W_E.5,24.0,19.45,0.0,0,345.55
