id,depart,timeloss,espera,paradas,co2
p1_N3_S3.0,0.0,5.09,0.0,0,120.79
p1_S3_N3.0,0.0,5.01,0.0,0,121.56
p1_N1_S1.0,0.0,5.08,0.0,0,114.91
p1_S1_N1.0,0.0,5.36,0.0,0,118.39
p1_N2_S2.0,0.0,8.25,0.0,0,134.05
p1_S2_N2.0,0.0,6.16,0.0,0,119.98
p1_S1_N1.1,20.0,4.34,0.0,0,122.34
p1_S2_N2.1,20.0,4.84,0.0,0,122.37
p1_N3_S3.1,20.0,5.01,0.0,0,119.74
p1_N1_S1.1,20.0,4.98,0.0,0,120.01
p1_S3_N3.1,20.0,4.91,0.0,0,122.39
p1_N2_S2.1,20.0,5.26,0.0,0,118.08
p1_W_NR.0,3.0,8.95,0.0,0,165.27
p1_S2_N2.2,40.0,4.63,0.0,0,116.53
p1_S1_N1.2,40.0,4.98,0.0,0,121.9
p1_N2_S2.2,40.0,4.68,0.0,0,124.6
p1_N1_S1.2,40.0,4.83,0.0,0,119.43
p1_N3_S3.2,40.0,5.58,0.0,0,118.06
p1_S3_N3.2,40.0,4.53,0.0,0,123.97
p1_W_NR.1,40.0,11.47,0.0,0,172.77
p1_N3_S3.3,60.0,5.57,0.0,0,126.9
p1_S3_N3.3,60.0,5.26,0.0,0,125.41
p1_S2_N2.3,60.0,16.13,6.0,1,156.36
p1_N2_S2.3,60.0,12.73,2.0,1,142.01
p1_S1_E.0,3.0,31.71,15.0,1,307.03
p1_S2_N2.4,80.0,5.09,0.0,0,119.42
p1_N2_S2.4,80.0,5.31,0.0,0,118.23
p1_N1_S1.3,60.0,27.47,18.0,1,179.38
p1_S1_N1.3,60.0,27.35,16.0,1,175.28
p1_N1_S1.4,80.0,9.18,0.0,0,141.68
p1_SR_E.0,0.0,10.76,0.0,0,286.27
p1_N3_S3.4,80.0,12.84,3.0,1,148.84
p1_S3_N3.4,80.0,12.71,3.0,1,153.24
p1_S1_N1.4,80.0,5.45,0.0,0,125.96
p1_W_NR.2,76.0,12.77,0.0,0,169.44
p1_S3_N3.5,100.0,4.72,0.0,0,115.89
p1_N3_S3.5,100.0,5.72,0.0,0,121.94
p1_N2_S2.5,100.0,12.3,2.0,1,150.9
