id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,14.37,4.0,1,145.81
p1_S1_N1.0,0.0,14.48,2.0,1,152.51
p1_N3_S3.0,0.0,16.34,4.0,1,156.33
p1_S3_N3.0,0.0,16.5,6.0,1,156.99
p1_N2_S2.0,0.0,34.18,23.0,1,177.11
p1_S2_N2.0,0.0,32.72,21.0,1,174.48
p1_N2_S2.1,20.0,16.99,5.0,1,156.36
p1_W_NR.0,3.0,8.95,0.0,0,165.27
p1_S2_N2.1,20.0,20.66,6.0,1,171.05
p1_N1_S1.1,20.0,41.28,31.0,1,193.64
p1_S1_N1.1,20.0,41.41,31.0,1,195.29
p1_N3_S3.1,20.0,42.16,31.0,1,194.55
p1_S3_N3.1,20.0,41.47,30.0,1,193.34
p1_S1_N1.2,40.0,23.18,11.0,1,161.69
p1_N1_S1.2,40.0,21.87,12.0,1,158.91
p1_N3_S3.2,40.0,23.14,10.0,1,165.76
p1_W_NR.1,40.0,11.47,0.0,0,178.28
p1_S3_N3.2,40.0,21.05,10.0,1,162.09
p1_N1_S1.3,60.0,6.73,0.0,0,124.79
p1_S1_N1.3,60.0,8.11,0.0,0,137.03
p1_N3_S3.3,60.0,8.98,0.0,0,138.47
p1_S3_N3.3,60.0,5.54,0.0,0,124.59
p1_S1_E.0,3.0,26.1,4.0,2,297.37
p1_S2_N2.2,40.0,41.56,31.0,1,192.8
p1_N2_S2.2,40.0,40.76,31.0,1,189.42
p1_S2_N2.3,60.0,23.61,13.0,1,163.85
p1_S2_N2.4,80.0,5.3,0.0,0,132.1
p1_N2_S2.3,60.0,20.08,8.0,1,152.54
p1_N2_S2.4,80.0,10.04,0.0,0,132.96
p1_SR_E.0,0.0,10.91,0.0,0,288.39
p1_W_NR.2,77.0,12.38,0.0,0,171.58
p1_N1_S1.4,80.0,26.63,16.0,1,173.56
p1_N3_S3.4,80.0,27.91,16.0,1,169.04
p1_S3_N3.4,80.0,27.53,16.0,1,174.97
p1_N3_W.0,3.0,30.56,5.0,2,379.52
p1_N1_S1.5,100.0,9.53,0.0,0,142.63
p1_S3_N3.5,100.0,9.23,0.0,0,143.21
p1_N3_S3.5,100.0,7.81,0.0,0,135.79
p1_E_W.1,12.0,17.76,0.0,0,342.95
p1_S1_N1.4,80.0,22.59,11.0,1,157.91
p1_S1_N1.5,100.0,15.59,0.0,0,151.74
p1_W_E.1,6.0,37.04,10.0,1,371.06
p1_W_E.4,19.0,26.81,6.0,1,344.42
p1_N2_S2.5,100.0,27.7,17.0,1,170.5
p1_S2_N2.5,100.0,27.79,18.0,1,177.04
p1_W_E.5,24.0,22.69,4.0,1,340.54
p1_N2_S2.6,120.0,9.59,0.0,0,137.13
p1_S2_N2.6,120.0,9.55,0.0,0,145.18
p1_E_W.0,0.0,22.56,4.0,1,336.37
p1_W_E.7,33.0,16.11,0.0,0,334.69
p1_W_E.0,0.0,28.41,11.0,1,353.41
p1_W_E.6,28.0,22.45,1.0,1,346.85
p1_W_E.2,10.0,40.33,10.0,1,390.39
p1_S1_E.1,50.0,30.21,5.0,2,314.36
p1_E_W.2,24.0,13.35,0.0,0,321.82
p1_W_E.3,14.0,26.63,7.0,1,352.63
p1_W_E.9,43.0,14.33,0.0,0,301.91
p1_W_NR.3,114.0,8.27,0.0,0,160.96
p1_SR_E.1,20.0,51.1,36.0,1,357.92
p1_W_E.8,37.0,12.86,0.0,0,319.26
p1_SR_E.2,40.0,32.95,19.0,1,326.05
p1_SR_E.3,60.0,14.83,0.0,0,289.78
p1_S1_N1.6,120.0,33.13,23.0,1,178.45
p1_N3_S3.6,120.0,33.74,24.0,1,179.59
p1_S3_N3.6,120.0,32.9,22.0,1,178.49
p1_S1_N1.7,140.0,15.81,4.0,1,154.59
p1_S3_N3.7,140.0,15.35,5.0,1,161.59
p1_N1_S1.6,120.0,29.68,20.0,1,166.66
p1_N3_S3.7,140.0,13.94,5.0,1,147.8
p1_N1_S1.7,140.0,11.99,2.0,1,145.83
p1_E_W.5,60.0,20.16,0.0,0,325.22
p1_E_W.3,36.0,28.23,11.0,1,357.63
p1_S1_E.2,103.0,18.85,2.0,1,293.02
p1_E_W.4,48.0,28.52,6.0,1,348.29
p1_N3_W.1,50.0,23.44,1.0,1,339.17
p1_W_E.12,56.0,34.8,6.0,1,370.74
p1_S2_N2.7,140.0,33.9,23.0,1,181.59
p1_W_E.13,60.0,32.52,4.0,1,373.26
p1_N2_S2.7,140.0,33.0,23.0,1,172.91
p1_W_E.11,51.0,38.0,8.0,1,360.67
p1_S2_N2.8,160.0,15.95,3.0,1,155.97
p1_W_E.16,74.0,21.02,0.0,0,339.84
p1_N2_S2.8,160.0,14.89,4.0,1,147.9
p1_W_NR.4,151.0,11.76,0.0,0,164.3
p1_E_W.6,72.0,12.29,0.0,0,306.97
p1_E_W.7,84.0,12.1,0.0,0,310.39
p1_W_E.14,65.0,22.28,1.0,1,349.49
p1_W_E.15,70.0,20.62,0.0,0,338.85
p1_W_E.19,88.0,22.65,0.0,0,340.19
p1_W_E.20,93.0,17.85,0.0,0,332.52
p1_W_E.21,97.0,15.07,0.0,0,329.97
p1_W_E.18,84.0,18.42,0.0,0,340.28
p1_N1_S1.8,160.0,39.04,29.0,1,191.1
p1_N3_S3.8,160.0,38.67,29.0,1,197.49
p1_W_E.22,102.0,15.21,0.0,0,323.9
p1_W_E.17,80.0,17.08,0.0,0,322.22
p1_N3_W.2,103.0,22.28,1.0,1,354.5
p1_S3_N3.8,160.0,38.22,28.0,1,186.99
p1_S1_N1.8,160.0,36.55,26.0,1,188.77
p1_N1_S1.9,180.0,20.59,9.0,1,159.56
p1_N3_S3.9,180.0,20.86,10.0,1,167.59
p1_S1_N1.9,180.0,22.89,11.0,1,169.49
p1_S3_N3.9,180.0,21.61,11.0,1,167.48
p1_E_W.8,96.0,24.67,7.0,1,351.75
p1_N3_S3.10,200.0,4.93,0.0,0,116.5
p1_E_W.9,108.0,15.76,0.0,0,308.9
p1_S1_N1.10,200.0,5.49,0.0,0,118.53
p1_S3_N3.10,200.0,5.08,0.0,0,121.16
p1_N1_S1.10,200.0,4.61,0.0,0,118.48
p1_W_E.10,47.0,27.45,5.0,1,364.34
p1_W_NR.5,188.0,11.25,0.0,0,171.79
p1_E_W.10,120.0,12.34,0.0,0,307.49
p1_S1_E.3,150.0,16.69,0.0,0,279.14
p1_W_E.23,107.0,29.81,14.0,1,368.49
p1_N2_S2.9,180.0,39.53,29.0,1,197.74
p1_S2_N2.9,180.0,39.65,29.0,1,195.07
p1_W_E.24,111.0,24.08,6.0,1,345.5
p1_W_E.25,117.0,19.82,2.0,1,336.88
p1_N2_S2.10,200.0,18.86,8.0,1,152.65
p1_W_E.26,120.0,15.83,0.0,0,329.14
p1_E_W.11,132.0,11.82,0.0,0,310.37
p1_S2_N2.10,200.0,17.99,7.0,1,149.47
p1_SR_E.4,80.0,74.67,59.0,1,402.66
p1_W_E.27,125.0,11.81,0.0,0,310.57
p1_N2_S2.11,220.0,5.6,0.0,0,118.45
p1_S2_N2.11,220.0,6.88,0.0,0,129.63
p1_SR_E.5,100.0,59.73,42.0,2,375.13
p1_SR_E.6,120.0,42.17,23.0,2,354.0
p1_W_E.28,130.0,12.83,0.0,0,301.83
p1_W_E.30,139.0,20.35,0.0,0,312.63
p1_W_E.31,144.0,17.19,0.0,0,304.07
p1_N1_S1.11,220.0,25.38,15.0,1,170.79
p1_S3_N3.11,220.0,25.28,14.0,1,171.22
p1_N1_S1.12,240.0,7.06,0.0,0,135.4
p1_N3_S3.11,220.0,27.71,16.0,1,174.0
p1_S1_N1.11,220.0,25.68,16.0,1,167.23
p1_S1_N1.12,240.0,11.52,0.0,0,154.01
p1_N3_S3.12,240.0,8.22,0.0,0,138.36
p1_S3_N3.12,240.0,5.61,0.0,0,122.12
p1_W_NR.6,225.0,9.56,0.0,0,163.87
p1_E_W.12,144.0,19.86,1.0,1,342.9
p1_W_E.32,148.0,32.89,10.0,1,377.61
p1_W_E.35,162.0,20.42,1.0,1,344.79
p1_N2_S2.12,240.0,25.62,16.0,1,173.05
p1_S2_N2.12,240.0,23.86,13.0,1,169.34
p1_W_E.37,171.0,13.98,0.0,0,316.69
p1_N2_S2.13,260.0,7.59,0.0,0,129.27
p1_E_W.13,156.0,30.25,4.0,1,342.7
p1_S2_N2.13,260.0,8.53,0.0,0,142.18
p1_N3_W.3,150.0,16.26,0.0,0,315.64
p1_W_E.36,167.0,16.27,0.0,0,344.21
p1_SR_E.7,140.0,61.6,35.0,2,392.58
p1_W_E.34,158.0,28.89,6.0,1,365.17
p1_W_E.29,134.0,25.17,3.0,1,342.78
p1_W_E.33,154.0,40.29,7.0,1,372.19
p1_E_W.14,168.0,12.79,0.0,0,307.65
p1_W_E.39,180.0,14.63,0.0,0,308.77
p1_W_E.41,191.0,13.41,0.0,0,314.37
p1_W_E.38,176.0,13.37,0.0,0,310.59
p1_W_E.42,194.0,12.77,0.0,0,308.08
p1_W_NR.7,263.0,12.14,0.0,0,160.42
p1_W_E.40,185.0,13.16,0.0,0,316.84
p1_E_W.16,192.0,19.58,3.0,1,341.72
p1_N1_S1.13,260.0,30.96,19.0,1,176.29
p1_S1_N1.13,260.0,34.15,22.0,1,180.58
p1_N3_S3.13,260.0,33.87,23.0,1,178.16
p1_S3_N3.13,260.0,28.56,18.0,1,164.49
p1_N1_S1.14,280.0,15.28,4.0,1,150.75
