id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,5.06,0.0,0,114.28
p1_S1_N1.0,0.0,5.36,0.0,0,122.6
p1_N2_S2.0,0.0,5.3,0.0,0,114.57
p1_S2_N2.0,0.0,6.08,0.0,0,119.9
p1_N3_S3.0,0.0,16.34,4.0,1,156.33
p1_S3_N3.0,0.0,16.5,6.0,1,156.99
p1_N1_S1.1,20.0,16.07,5.0,1,156.08
p1_S1_N1.1,20.0,16.55,6.0,1,159.78
p1_S2_N2.1,20.0,17.09,7.0,1,155.7
p1_N2_S2.1,20.0,15.54,4.0,1,149.93
p1_W_NR.0,3.0,8.95,0.0,0,165.27
p1_S3_N3.1,20.0,21.24,10.0,1,164.54
p1_N3_S3.1,20.0,22.39,11.0,1,164.97
p1_S2_N2.2,40.0,4.77,0.0,0,121.6
p1_N3_S3.2,40.0,5.05,0.0,0,120.08
p1_S3_N3.2,40.0,4.94,0.0,0,127.43
p1_W_NR.1,40.0,11.42,0.0,0,179.01
p1_N1_S1.2,40.0,25.87,15.0,1,166.18
p1_S1_N1.2,40.0,27.87,17.0,1,174.56
p1_N1_S1.3,60.0,10.73,0.0,0,154.74
p1_S1_N1.3,60.0,12.5,1.0,1,146.3
p1_S2_N2.3,60.0,17.17,7.0,1,159.17
p1_N2_S2.2,40.0,36.56,26.0,1,189.04
p1_S1_E.0,3.0,26.51,11.0,1,289.04
p1_N3_S3.3,60.0,19.56,6.0,1,163.88
p1_S3_N3.3,60.0,13.53,3.0,1,148.22
p1_N2_S2.3,60.0,14.99,5.0,1,148.53
p1_N2_S2.4,80.0,4.93,0.0,0,118.97
p1_S2_N2.4,80.0,4.94,0.0,0,124.37
p1_S3_N3.4,80.0,4.61,0.0,0,127.49
p1_W_NR.2,77.0,12.39,0.0,0,168.51
p1_E_W.1,12.0,23.44,2.0,1,363.32
p1_N1_S1.4,80.0,37.87,28.0,1,183.7
p1_N3_S3.4,80.0,38.92,27.0,1,193.69
p1_S3_N3.5,100.0,18.67,7.0,1,156.46
p1_N3_W.0,3.0,42.11,9.0,3,408.05
p1_W_E.1,6.0,31.73,7.0,1,357.14
p1_N1_S1.5,100.0,20.79,8.0,1,164.92
p1_N3_S3.5,100.0,18.89,7.0,1,146.42
p1_N2_S2.5,100.0,23.53,12.0,1,166.7
p1_S2_N2.5,100.0,23.48,14.0,1,176.17
p1_S1_N1.4,80.0,33.11,24.0,1,175.87
p1_N2_S2.6,120.0,5.59,0.0,0,121.78
p1_S2_N2.6,120.0,5.7,0.0,0,115.07
p1_N3_S3.6,120.0,5.31,0.0,0,114.54
p1_S3_N3.6,120.0,4.71,0.0,0,115.22
p1_S1_N1.5,100.0,26.29,9.0,1,174.34
p1_S1_N1.6,120.0,7.06,0.0,0,132.46
p1_E_W.0,0.0,23.94,4.0,1,347.78
p1_W_E.2,10.0,44.89,15.0,2,386.77
p1_W_NR.3,114.0,8.33,0.0,0,165.04
p1_SR_E.0,0.0,60.0,35.0,3,410.47
p1_S1_E.1,50.0,37.7,16.0,2,304.55
p1_W_E.6,28.0,33.54,6.0,1,377.92
p1_W_E.0,0.0,40.06,18.0,2,391.57
p1_W_E.4,19.0,46.24,15.0,2,393.68
p1_W_E.5,24.0,39.19,10.0,1,382.6
p1_W_E.3,14.0,37.01,12.0,1,383.59
p1_W_E.8,37.0,19.58,0.0,0,346.88
p1_SR_E.1,20.0,58.94,36.0,1,392.18
p1_W_E.7,33.0,35.34,4.0,1,396.93
p1_W_E.9,43.0,27.06,0.0,0,364.25
p1_SR_E.3,60.0,20.77,0.0,0,335.24
p1_SR_E.2,40.0,42.18,19.0,1,361.49
p1_S3_N3.7,140.0,19.34,8.0,1,167.56
p1_S1_N1.7,140.0,20.44,8.0,1,161.43
p1_N3_S3.7,140.0,17.84,7.0,1,159.79
p1_N1_S1.6,120.0,35.65,25.0,1,178.19
p1_S2_N2.7,140.0,24.83,15.0,1,175.55
p1_N1_S1.7,140.0,17.65,6.0,1,159.95
p1_N3_S3.8,160.0,5.43,0.0,0,122.01
p1_N2_S2.7,140.0,24.2,13.0,1,166.14
p1_N1_S1.8,160.0,7.08,0.0,0,124.11
p1_S2_N2.8,160.0,6.57,0.0,0,134.0
p1_N2_S2.8,160.0,6.08,0.0,0,133.1
p1_S3_N3.8,160.0,5.49,0.0,0,118.3
p1_S1_N1.8,160.0,4.97,0.0,0,117.88
p1_E_W.2,24.0,50.91,23.0,3,416.61
p1_W_NR.4,151.0,10.65,0.0,0,167.47
p1_E_W.3,36.0,42.68,18.0,2,400.96
p1_W_E.12,56.0,41.07,9.0,1,396.77
p1_E_W.4,48.0,36.27,11.0,1,381.69
p1_W_E.11,51.0,43.3,8.0,2,395.07
p1_W_E.13,60.0,39.33,7.0,1,390.83
p1_E_W.5,60.0,40.0,12.0,1,379.94
p1_S1_E.2,103.0,30.27,10.0,2,310.55
p1_N3_W.1,50.0,36.96,14.0,1,357.13
p1_W_E.19,88.0,15.43,0.0,0,331.11
p1_E_W.6,72.0,21.2,0.0,0,336.1
p1_W_E.16,74.0,31.89,5.0,1,362.35
p1_N1_S1.9,180.0,14.64,4.0,1,154.7
p1_S1_N1.9,180.0,15.69,6.0,1,161.97
p1_W_E.10,47.0,16.46,0.0,0,335.2
p1_W_E.14,65.0,28.85,9.0,1,346.13
p1_N2_S2.9,180.0,25.77,14.0,1,169.33
p1_S2_N2.9,180.0,25.47,16.0,1,172.22
p1_E_W.7,84.0,41.88,18.0,2,394.93
p1_N2_S2.10,200.0,5.42,0.0,0,128.4
p1_E_W.8,96.0,32.66,8.0,1,375.8
p1_W_E.21,97.0,32.42,11.0,1,368.9
p1_W_E.18,84.0,33.74,12.0,1,372.45
p1_W_NR.5,188.0,10.97,0.0,0,167.33
p1_S2_N2.10,200.0,5.04,0.0,0,126.19
p1_W_E.20,93.0,38.44,11.0,1,388.7
p1_N3_W.2,103.0,35.4,7.0,1,364.22
p1_W_E.15,70.0,44.54,18.0,2,386.89
p1_W_E.24,111.0,18.66,0.0,0,338.07
p1_N3_S3.9,180.0,35.27,26.0,1,185.92
p1_E_W.9,108.0,26.25,5.0,1,346.74
p1_S3_N3.9,180.0,35.47,24.0,1,182.78
p1_W_E.17,80.0,35.05,11.0,1,369.09
p1_S1_E.3,150.0,16.9,1.0,1,280.3
p1_N3_S3.10,200.0,17.55,7.0,1,161.07
p1_S3_N3.10,200.0,17.21,6.0,1,151.46
p1_W_E.23,107.0,29.28,5.0,1,374.26
p1_E_W.10,120.0,15.82,0.0,0,326.43
p1_W_E.22,102.0,34.73,9.0,1,369.37
p1_S1_N1.10,200.0,26.27,15.0,1,173.19
p1_N1_S1.10,200.0,25.37,16.0,1,174.38
p1_N1_S1.11,220.0,9.36,0.0,0,147.2
p1_S1_N1.11,220.0,8.31,0.0,0,137.24
p1_W_E.25,117.0,32.53,10.0,2,382.72
p1_W_E.26,120.0,29.75,4.0,2,374.98
p1_SR_E.4,80.0,88.01,60.0,2,437.83
p1_W_E.27,125.0,24.09,3.0,1,354.84
p1_E_W.11,132.0,30.11,6.0,2,371.17
p1_S2_N2.11,220.0,26.43,15.0,1,167.24
p1_N3_S3.11,220.0,26.52,17.0,1,169.16
p1_S3_N3.11,220.0,26.01,16.0,1,176.61
p1_N2_S2.11,220.0,24.91,15.0,1,166.34
p1_SR_E.5,100.0,77.04,56.0,3,419.94
p1_N2_S2.12,240.0,9.09,0.0,0,132.01
p1_S2_N2.12,240.0,7.08,0.0,0,135.79
p1_N3_S3.12,240.0,6.46,0.0,0,130.13
p1_E_W.13,156.0,12.44,0.0,0,314.3
p1_S1_N1.12,240.0,17.16,7.0,1,157.8
p1_S3_N3.12,240.0,5.81,0.0,0,124.0
p1_N1_S1.12,240.0,17.54,7.0,1,158.91
p1_W_NR.6,225.0,10.04,0.0,0,168.38
p1_S1_N1.13,260.0,4.34,0.0,0,120.02
p1_W_E.30,139.0,45.0,14.0,2,394.29
p1_N3_W.3,150.0,16.43,0.0,0,319.44
p1_W_E.33,154.0,30.88,6.0,1,373.43
p1_W_E.28,130.0,42.71,20.0,2,385.63
p1_W_E.37,171.0,17.06,0.0,0,337.63
p1_W_E.31,144.0,44.68,15.0,2,417.3
p1_SR_E.6,120.0,80.36,56.0,3,424.3
p1_W_E.35,162.0,27.99,2.0,1,384.09
p1_W_E.36,167.0,19.15,0.0,0,324.57
p1_W_E.34,157.0,31.05,4.0,1,361.39
p1_W_E.32,148.0,47.24,10.0,1,391.44
p1_E_W.12,144.0,41.38,18.0,2,390.06
p1_W_E.29,134.0,31.2,12.0,1,353.71
p1_N3_S3.13,260.0,24.26,14.0,1,166.97
p1_S3_N3.13,260.0,19.88,11.0,1,158.1
p1_E_W.14,168.0,20.75,2.0,1,336.15
p1_S3_N3.14,280.0,7.7,0.0,0,128.84
p1_E_W.16,192.0,14.72,0.0,0,314.29
p1_E_W.15,180.0,17.51,0.0,0,335.28
p1_W_NR.7,263.0,11.84,0.0,0,158.01
p1_N2_S2.13,260.0,32.51,21.0,1,178.66
p1_S2_N2.13,260.0,32.79,22.0,1,184.94
p1_N1_S1.13,260.0,32.21,22.0,1,175.22
p1_S1_N1.14,280.0,12.87,2.0,1,146.31
p1_N2_S2.14,280.0,14.68,4.0,1,155.86
p1_S2_N2.14,280.0,14.7,3.0,1,149.43
p1_N3_S3.14,280.0,5.37,0.0,0,116.44
p1_N1_S1.14,280.0,16.43,5.0,1,158.18
p1_W_E.41,191.0,29.4,5.0,2,360.03
p1_W_E.43,199.0,22.48,2.0,1,365.54
p1_SR_E.7,140.0,94.66,59.0,4,452.97
p1_S1_E.4,203.0,39.96,16.0,2,328.49
p1_W_E.39,180.0,42.81,12.0,2,394.59
p1_W_E.42,194.0,32.05,2.0,2,377.58
p1_W_E.38,176.0,35.96,11.0,2,379.42
p1_W_E.44,204.0,15.59,0.0,0,334.77
p1_W_E.40,185.0,33.85,7.0,2,378.42
p1_S1_E.5,250.0,13.61,0.0,0,250.95
p1_W_E.45,208.0,23.3,0.0,0,350.06
p1_N3_S3.15,300.0,18.24,8.0,1,158.45
p1_S3_N3.15,300.0,18.92,9.0,1,158.75
p1_S1_N1.15,300.0,18.81,10.0,1,161.38
p1_N3_W.4,203.0,37.93,15.0,2,372.47
p1_N1_S1.15,300.0,18.36,7.0,1,148.34
p1_E_W.17,204.0,28.8,5.0,1,363.75
p1_S1_N1.16,320.0,4.84,0.0,0,125.94
p1_N3_S3.16,320.0,4.79,0.0,0,124.45
p1_E_W.18,216.0,27.34,5.0,1,362.19
p1_S3_N3.16,320.0,4.65,0.0,0,115.22
p1_N1_S1.16,320.0,5.04,0.0,0,118.11
p1_W_NR.8,303.0,17.08,0.0,0,172.3
p1_N2_S2.15,300.0,32.44,22.0,1,175.73
p1_S2_N2.15,300.0,31.65,21.0,1,168.6
p1_SR_E.8,160.0,104.93,72.0,4,485.24
p1_W_E.47,217.0,37.9,12.0,2,404.47
p1_S2_N2.16,320.0,17.31,5.0,1,165.85
p1_W_E.49,228.0,27.96,4.0,1,369.1
p1_N2_S2.16,320.0,11.43,1.0,1,143.38
p1_W_E.51,236.0,19.25,0.0,0,334.26
p1_E_W.20,240.0,18.92,1.0,1,345.05
p1_W_E.46,213.0,35.04,11.0,2,377.9
p1_W_E.48,222.0,37.9,8.0,2,396.34
p1_W_E.50,231.0,21.77,1.0,1,342.24
p1_W_E.52,240.0,12.19,0.0,0,315.36
p1_E_W.19,228.0,34.4,11.0,1,365.49
p1_E_W.21,252.0,16.37,0.0,0,324.87
p1_S1_N1.17,340.0,19.89,9.0,1,160.93
p1_N1_S1.17,340.0,18.82,8.0,1,154.81
p1_S3_N3.17,340.0,24.58,14.0,1,166.64
p1_N3_S3.17,340.0,22.99,11.0,1,162.53
p1_N1_S1.18,360.0,4.78,0.0,0,120.54
p1_E_W.22,264.0,21.5,2.0,1,373.97
p1_N3_S3.18,360.0,8.06,0.0,0,139.39
p1_S3_N3.18,360.0,5.19,0.0,0,115.8
p1_N2_S2.17,340.0,28.15,17.0,1,170.4
p1_S2_N2.17,340.0,28.7,19.0,1,174.55
p1_N3_W.5,250.0,46.04,22.0,1,396.48
p1_S1_N1.18,360.0,5.42,0.0,0,122.32
p1_N2_S2.18,360.0,12.81,2.0,1,156.31
p1_S2_N2.18,360.0,12.22,1.0,1,158.53
p1_E_W.23,276.0,18.04,2.0,1,336.78
p1_W_NR.9,340.0,9.85,0.0,0,165.14
p1_W_E.53,245.0,47.43,20.0,3,406.09
p1_W_E.54,250.0,43.92,17.0,3,405.74
p1_E_W.24,288.0,18.62,0.0,0,330.96
p1_W_E.56,259.0,35.16,8.0,1,370.38
p1_W_E.57,266.0,34.34,8.0,1,382.07
p1_S1_E.6,303.0,37.78,9.0,2,347.46
p1_W_E.61,282.0,28.6,3.0,1,375.17
p1_W_E.55,254.0,32.35,9.0,1,370.71
p1_W_E.63,291.0,21.12,0.0,0,366.54
p1_W_E.60,277.0,31.98,3.0,1,369.92
p1_W_E.64,296.0,17.4,0.0,0,343.53
p1_W_E.58,269.0,28.91,7.0,1,365.58
p1_N1_S1.19,380.0,14.87,4.0,1,148.27
p1_S1_N1.19,380.0,15.41,5.0,1,146.43
p1_W_E.62,287.0,28.42,0.0,0,382.17
p1_W_E.59,273.0,25.33,4.0,1,358.52
p1_N3_S3.19,380.0,19.95,10.0,1,161.6
p1_SR_E.9,180.0,135.73,107.0,4,485.17
p1_S3_N3.19,380.0,20.82,10.0,1,163.44
p1_S3_N3.20,400.0,5.54,0.0,0,125.34
p1_N3_S3.20,400.0,5.81,0.0,0,120.96
p1_N3_W.6,303.0,29.16,6.0,1,369.77
p1_E_W.25,300.0,26.56,6.0,1,371.11
p1_W_NR.10,377.0,19.42,0.0,0,181.52
p1_S2_N2.19,380.0,31.04,21.0,1,175.46
p1_E_W.26,312.0,18.42,1.0,1,338.05
p1_N2_S2.19,380.0,26.93,17.0,1,166.74
p1_S2_N2.20,400.0,10.62,0.0,0,142.88
p1_N2_S2.20,400.0,12.53,1.0,1,144.39
p1_SR_E.10,200.0,127.57,94.0,5,493.01
p1_SR_E.11,220.0,136.17,94.0,5,520.59
p1_S1_N1.20,400.0,27.37,16.0,1,178.72
p1_W_E.65,300.0,16.48,0.0,0,335.3
p1_N1_S1.20,400.0,25.7,16.0,1,163.84
p1_W_E.67,310.0,31.98,7.0,1,363.61
p1_S1_E.7,350.0,19.78,0.0,0,278.27
p1_N1_S1.21,420.0,10.1,0.0,0,148.07
p1_W_E.71,328.0,21.45,0.0,0,343.63
p1_W_E.69,319.0,23.56,3.0,1,347.62
p1_W_E.73,337.0,14.34,0.0,0,320.82
p1_S1_N1.21,420.0,9.39,0.0,0,135.69
p1_SR_E.12,240.0,123.41,96.0,2,478.46
p1_S3_N3.21,420.0,16.15,7.0,1,155.83
p1_W_E.66,306.0,30.99,10.0,1,353.86
p1_W_NR.11,414.0,8.46,0.0,0,161.81
p1_W_E.68,314.0,41.01,8.0,1,366.96
p1_N3_S3.21,420.0,18.97,7.0,1,165.08
p1_W_E.70,324.0,22.73,0.0,0,361.37
p1_W_E.72,333.0,13.54,0.0,0,313.7
p1_N2_S2.21,420.0,26.27,16.0,1,170.83
p1_S2_N2.21,420.0,26.55,15.0,1,172.49
p1_N2_S2.22,440.0,8.12,0.0,0,138.09
