id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,8.38,0.0,0,136.68
p1_S1_N1.0,0.0,8.61,0.0,0,143.4
p1_N3_S3.0,0.0,16.34,4.0,1,156.33
p1_S3_N3.0,0.0,16.5,6.0,1,156.99
p1_N2_S2.0,0.0,29.26,18.0,1,169.45
p1_S2_N2.0,0.0,27.54,16.0,1,169.97
p1_N2_S2.1,20.0,12.09,0.0,0,146.74
p1_S2_N2.1,20.0,15.49,1.0,1,164.74
p1_W_NR.0,3.0,8.95,0.0,0,165.27
p1_N1_S1.1,20.0,31.5,20.0,1,178.34
p1_S1_N1.1,20.0,31.59,22.0,1,178.05
p1_N3_S3.1,20.0,32.11,21.0,1,176.67
p1_S3_N3.1,20.0,31.79,20.0,1,179.33
p1_N1_S1.2,40.0,11.72,1.0,1,141.52
p1_S1_N1.2,40.0,13.63,2.0,1,152.28
p1_N3_S3.2,40.0,12.63,0.0,0,149.7
p1_S3_N3.2,40.0,11.24,0.0,0,146.62
p1_W_NR.1,40.0,11.47,0.0,0,178.28
p1_S2_N2.2,40.0,31.85,21.0,1,179.18
p1_N2_S2.2,40.0,30.93,21.0,1,172.93
p1_S1_E.0,3.0,20.27,3.0,1,278.78
p1_S2_N2.3,60.0,13.74,3.0,1,152.06
p1_N2_S2.3,60.0,9.65,1.0,1,144.73
p1_SR_E.0,0.0,10.94,0.0,0,292.03
p1_N1_S1.3,60.0,32.85,22.0,1,178.6
p1_S1_N1.3,60.0,32.65,22.0,1,180.6
p1_N3_S3.3,60.0,32.48,22.0,1,178.11
p1_N3_S3.4,80.0,14.44,2.0,1,153.42
p1_N1_S1.4,80.0,14.16,3.0,1,153.75
p1_S3_N3.3,60.0,28.13,19.0,1,167.56
p1_S3_N3.4,80.0,18.44,4.0,1,167.38
p1_S1_N1.4,80.0,8.67,0.0,0,140.53
p1_N3_W.0,3.0,21.91,3.0,1,342.27
p1_W_NR.2,77.0,12.19,0.0,0,169.86
p1_E_W.1,12.0,14.77,0.0,0,326.14
p1_N2_S2.4,80.0,33.05,22.0,1,181.1
p1_S2_N2.4,80.0,32.98,20.0,1,185.44
p1_N2_S2.5,100.0,14.89,3.0,1,151.78
p1_S2_N2.5,100.0,14.83,4.0,1,151.6
p1_S1_E.1,50.0,10.11,0.0,0,252.88
p1_W_E.1,6.0,28.41,3.0,1,354.81
p1_W_E.4,19.0,18.4,0.0,0,331.2
p1_W_E.5,24.0,14.19,0.0,0,321.69
p1_W_E.6,28.0,12.65,0.0,0,322.14
p1_W_E.2,10.0,31.0,1.0,1,360.34
p1_W_E.7,33.0,12.23,0.0,0,318.95
p1_W_E.0,0.0,25.65,7.0,1,351.46
p1_E_W.0,0.0,23.28,4.0,1,346.24
p1_W_E.3,14.0,20.25,0.0,0,353.03
p1_S1_N1.5,100.0,33.11,23.0,1,179.47
p1_N1_S1.5,100.0,33.65,22.0,1,185.77
p1_S3_N3.5,100.0,33.23,22.0,1,179.95
p1_N3_S3.5,100.0,31.45,23.0,1,169.11
p1_S3_N3.6,120.0,14.91,5.0,1,152.4
p1_S1_N1.6,120.0,16.44,7.0,1,152.58
p1_N3_S3.6,120.0,17.61,5.0,1,155.55
p1_W_NR.3,114.0,8.39,0.0,0,157.94
p1_N1_S1.6,120.0,11.36,1.0,1,144.56
p1_N2_S2.6,120.0,33.55,24.0,1,185.14
p1_S2_N2.6,120.0,33.62,22.0,1,181.31
p1_W_E.9,43.0,30.62,11.0,1,354.11
p1_S2_N2.7,140.0,15.7,5.0,1,159.63
p1_E_W.2,24.0,33.8,13.0,1,363.67
p1_N2_S2.7,140.0,14.43,5.0,1,149.52
p1_SR_E.2,40.0,45.99,27.0,2,368.91
p1_W_E.8,37.0,30.81,12.0,1,365.18
p1_W_E.11,51.0,24.5,0.0,0,317.08
p1_SR_E.1,20.0,70.28,46.0,2,412.93
p1_N3_W.1,50.0,14.09,0.0,0,317.71
p1_W_E.12,56.0,24.71,0.0,0,331.76
p1_SR_E.3,60.0,32.14,8.0,1,359.65
p1_E_W.3,36.0,28.26,7.0,1,355.97
p1_E_W.4,48.0,22.18,0.0,0,349.52
p1_W_E.13,60.0,22.72,0.0,0,324.73
p1_E_W.5,60.0,23.54,0.0,0,343.7
p1_W_E.16,74.0,15.52,0.0,0,323.74
p1_S3_N3.7,140.0,34.11,25.0,1,184.87
p1_S1_N1.7,140.0,34.68,24.0,1,179.12
