id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,5.06,0.0,0,114.28
p1_S1_N1.0,0.0,5.36,0.0,0,122.6
p1_N2_S2.0,0.0,5.3,0.0,0,114.57
p1_S2_N2.0,0.0,6.08,0.0,0,119.9
p1_N3_S3.0,0.0,20.93,9.0,1,163.8
p1_S3_N3.0,0.0,20.94,11.0,1,163.37
p1_N3_S3.1,20.0,4.79,0.0,0,119.77
p1_S3_N3.1,20.0,4.82,0.0,0,125.12
p1_N1_S1.1,20.0,10.85,0.0,0,146.55
p1_S1_N1.1,20.0,11.39,1.0,1,152.25
p1_W_NR.0,3.0,8.95,0.0,0,165.27
p1_S2_N2.1,20.0,26.59,17.0,1,172.52
p1_N2_S2.1,20.0,25.32,14.0,1,163.95
p1_S2_N2.2,40.0,8.5,0.0,0,139.86
p1_N2_S2.2,40.0,7.82,0.0,0,142.86
p1_S1_E.0,3.0,8.99,0.0,0,246.24
p1_W_NR.1,40.0,11.47,0.0,0,172.77
p1_N3_S3.2,40.0,26.46,17.0,1,165.23
p1_N1_S1.2,40.0,25.76,17.0,1,165.12
p1_S1_N1.2,40.0,27.95,16.0,1,180.14
p1_S3_N3.2,40.0,24.37,12.0,1,160.6
p1_N1_S1.3,60.0,10.63,0.0,0,155.37
p1_N3_S3.3,60.0,11.77,0.0,0,144.52
p1_S1_N1.3,60.0,12.37,1.0,1,150.53
p1_S3_N3.3,60.0,5.4,0.0,0,121.55
p1_S2_N2.3,60.0,27.66,17.0,1,173.08
p1_S2_N2.4,80.0,9.7,0.0,0,150.72
p1_N2_S2.3,60.0,23.57,14.0,1,161.95
p1_N2_S2.4,80.0,13.4,0.0,0,159.69
p1_SR_E.0,0.0,21.85,6.0,1,317.56
p1_W_NR.2,76.0,12.57,0.0,0,170.33
p1_N3_S3.4,80.0,27.89,17.0,1,174.11
p1_S3_N3.4,80.0,27.36,17.0,1,176.04
p1_W_E.1,6.0,19.61,0.0,0,323.37
p1_N1_S1.4,80.0,27.66,18.0,1,172.94
p1_S3_N3.5,100.0,9.44,0.0,0,144.1
p1_N1_S1.5,100.0,10.56,0.0,0,145.31
p1_N3_S3.5,100.0,7.73,0.0,0,136.11
p1_S1_N1.4,80.0,23.06,13.0,1,162.16
p1_S1_N1.5,100.0,16.07,0.0,0,157.23
p1_E_W.1,12.0,22.94,3.0,1,355.87
p1_N3_W.0,3.0,41.14,17.0,2,376.58
p1_W_E.2,10.0,33.82,9.0,1,352.27
p1_N2_S2.5,100.0,28.71,19.0,1,172.64
p1_S2_N2.5,100.0,28.82,19.0,1,180.17
p1_N2_S2.6,120.0,10.61,0.0,0,145.54
p1_S2_N2.6,120.0,10.79,0.0,0,149.87
p1_W_E.0,0.0,27.89,9.0,1,354.67
p1_W_E.4,19.0,32.92,12.0,1,363.94
p1_S1_E.1,50.0,29.65,7.0,1,296.84
p1_W_E.6,28.0,24.63,6.0,1,359.25
p1_E_W.0,0.0,28.24,9.0,1,357.47
p1_W_E.5,24.0,30.05,9.0,1,372.08
p1_E_W.2,24.0,13.83,0.0,0,313.94
p1_W_NR.3,114.0,8.54,0.0,0,166.14
p1_W_E.3,14.0,30.56,10.0,1,352.64
p1_W_E.7,33.0,28.98,3.0,1,376.24
p1_W_E.8,37.0,13.71,0.0,0,316.01
p1_SR_E.1,20.0,54.21,36.0,1,367.46
p1_W_E.9,43.0,19.75,0.0,0,328.63
p1_SR_E.2,40.0,34.84,19.0,1,332.89
p1_SR_E.3,60.0,15.69,0.0,0,299.92
p1_N3_S3.6,120.0,29.05,20.0,1,177.13
p1_S3_N3.6,120.0,27.95,16.0,1,177.8
p1_S1_N1.6,120.0,29.42,20.0,1,171.44
p1_S3_N3.7,140.0,10.39,0.0,0,148.68
p1_S1_N1.7,140.0,12.04,0.0,0,144.92
p1_N3_S3.7,140.0,9.39,0.0,0,135.4
p1_N1_S1.6,120.0,25.55,16.0,1,164.46
p1_N1_S1.7,140.0,7.77,0.0,0,133.76
p1_E_W.5,60.0,21.36,2.0,1,335.69
p1_E_W.3,36.0,28.87,13.0,1,348.49
p1_S2_N2.7,140.0,29.59,18.0,1,175.18
p1_S1_E.2,103.0,17.77,1.0,1,283.21
p1_N2_S2.7,140.0,28.38,19.0,1,170.34
p1_S2_N2.8,160.0,11.46,0.0,0,149.82
p1_N2_S2.8,160.0,10.5,0.0,0,143.76
p1_E_W.4,48.0,31.22,10.0,1,360.57
p1_N3_W.1,50.0,26.06,3.0,1,342.34
p1_W_E.12,56.0,35.85,9.0,1,354.31
p1_W_E.13,60.0,33.47,7.0,1,347.27
p1_W_E.11,51.0,39.23,10.0,1,359.78
p1_W_NR.4,151.0,10.97,0.0,0,172.77
p1_W_E.16,74.0,22.09,0.0,0,331.14
p1_E_W.7,84.0,12.21,0.0,0,296.75
p1_E_W.6,72.0,12.55,0.0,0,317.24
p1_W_E.19,88.0,14.76,0.0,0,309.58
p1_W_E.20,93.0,11.82,0.0,0,304.01
p1_W_E.21,97.0,10.78,0.0,0,308.35
p1_N1_S1.8,160.0,30.78,19.0,1,175.46
p1_S3_N3.8,160.0,28.22,19.0,1,172.44
p1_W_E.15,70.0,19.7,0.0,0,340.8
p1_N3_S3.8,160.0,31.29,20.0,1,178.78
p1_S1_N1.8,160.0,27.58,19.0,1,162.15
p1_N1_S1.9,180.0,11.82,1.0,1,150.01
p1_S3_N3.9,180.0,11.75,1.0,1,149.88
p1_S1_N1.9,180.0,14.05,2.0,1,148.85
p1_N3_S3.9,180.0,13.13,2.0,1,156.85
p1_N3_W.2,103.0,22.3,2.0,1,343.13
p1_E_W.9,108.0,12.04,0.0,0,318.76
p1_E_W.8,96.0,27.02,7.0,1,363.66
p1_N2_S2.9,180.0,30.13,20.0,1,177.17
p1_S2_N2.9,180.0,30.74,20.0,1,180.13
p1_W_E.18,84.0,33.44,11.0,1,366.56
p1_E_W.10,120.0,11.16,0.0,0,301.38
p1_W_NR.5,188.0,11.48,0.0,0,174.45
p1_N2_S2.10,200.0,10.04,0.0,0,146.16
p1_W_E.17,79.0,34.19,10.0,1,366.36
p1_S1_E.3,150.0,16.19,0.0,0,275.6
p1_S2_N2.10,200.0,8.7,0.0,0,141.65
p1_W_E.24,111.0,21.58,3.0,1,348.02
p1_W_E.23,107.0,30.44,8.0,1,347.96
p1_W_E.10,47.0,40.8,16.0,2,387.83
p1_W_E.26,120.0,13.54,0.0,0,316.93
p1_W_E.14,65.0,55.14,11.0,2,395.54
p1_SR_E.4,80.0,73.23,58.0,1,389.69
p1_W_E.22,102.0,40.3,11.0,1,379.42
p1_W_E.25,117.0,22.85,0.0,0,354.56
p1_S1_N1.10,200.0,26.68,16.0,1,173.77
p1_W_E.27,125.0,12.33,0.0,0,314.85
p1_N1_S1.10,200.0,24.97,16.0,1,174.69
p1_N1_S1.11,220.0,8.94,0.0,0,144.96
p1_N3_S3.10,200.0,30.68,20.0,1,176.65
p1_S3_N3.10,200.0,30.21,20.0,1,176.96
p1_S3_N3.11,220.0,12.37,2.0,1,147.25
p1_S1_N1.11,220.0,9.32,0.0,0,142.6
p1_N3_S3.11,220.0,14.86,4.0,1,153.61
p1_E_W.11,132.0,27.59,12.0,1,358.22
p1_N2_S2.11,220.0,25.62,16.0,1,160.07
p1_S2_N2.11,220.0,26.68,16.0,1,172.74
p1_N2_S2.12,240.0,9.74,0.0,0,144.76
p1_S2_N2.12,240.0,6.86,0.0,0,133.65
p1_E_W.13,156.0,15.2,0.0,0,310.08
p1_W_E.28,130.0,27.49,7.0,1,357.63
p1_E_W.12,144.0,12.99,0.0,0,319.68
p1_W_E.30,139.0,34.53,10.0,1,348.37
p1_W_E.31,144.0,29.78,8.0,1,356.98
p1_W_E.32,148.0,26.9,7.0,1,348.29
p1_W_NR.6,225.0,9.1,0.0,0,167.52
p1_W_E.35,162.0,17.61,0.0,0,332.0
p1_W_E.34,157.0,17.73,0.0,0,332.85
p1_W_E.33,154.0,26.54,2.0,1,347.49
p1_W_E.37,171.0,12.41,0.0,0,307.24
p1_N1_S1.12,240.0,27.62,17.0,1,170.4
p1_S1_N1.12,240.0,27.72,17.0,1,173.96
p1_SR_E.5,100.0,96.7,80.0,2,421.94
p1_N3_S3.12,240.0,25.13,16.0,1,168.48
p1_N1_S1.13,260.0,8.09,0.0,0,130.54
p1_N3_S3.13,260.0,10.9,0.0,0,148.62
p1_S3_N3.12,240.0,21.42,13.0,1,157.74
p1_S1_N1.13,260.0,11.78,1.0,1,144.35
p1_S3_N3.13,260.0,7.6,0.0,0,123.55
p1_W_E.36,167.0,31.82,10.0,1,373.66
p1_N2_S2.13,260.0,27.76,17.0,1,168.65
p1_S2_N2.13,260.0,28.07,18.0,1,173.38
p1_W_NR.7,263.0,11.91,0.0,0,164.78
p1_N2_S2.14,280.0,9.77,0.0,0,142.48
p1_S2_N2.14,280.0,10.05,0.0,0,140.76
p1_E_W.14,168.0,25.83,8.0,1,349.87
p1_W_E.41,191.0,20.81,0.0,0,335.02
p1_W_E.29,134.0,42.49,17.0,2,388.43
p1_E_W.15,180.0,21.96,2.0,1,328.8
p1_W_E.43,199.0,14.09,0.0,0,330.58
p1_S1_E.4,203.0,29.9,11.0,1,284.52
p1_SR_E.6,120.0,105.87,83.0,3,446.72
p1_E_W.16,192.0,23.84,0.0,0,325.73
p1_W_E.39,180.0,32.54,8.0,1,357.6
p1_W_E.42,194.0,23.26,1.0,1,355.53
p1_N3_W.3,150.0,49.24,28.0,2,395.61
p1_W_E.38,176.0,27.06,9.0,1,340.75
p1_W_E.40,185.0,24.38,4.0,1,354.64
p1_W_E.45,208.0,12.93,0.0,0,313.64
p1_N1_S1.14,280.0,28.06,17.0,1,173.09
p1_S3_N3.14,280.0,27.82,18.0,1,176.48
p1_W_E.44,204.0,12.54,0.0,0,311.64
p1_S1_N1.14,280.0,28.31,16.0,1,172.81
p1_S3_N3.15,300.0,9.77,0.0,0,148.8
p1_N3_S3.14,280.0,22.47,14.0,1,151.34
p1_N1_S1.15,300.0,8.02,0.0,0,131.13
p1_S1_N1.15,300.0,10.39,0.0,0,142.0
p1_N3_S3.15,300.0,13.61,0.0,0,150.14
p1_N3_W.4,203.0,36.86,19.0,1,364.57
p1_E_W.17,204.0,28.86,11.0,1,353.55
p1_E_W.18,216.0,26.5,10.0,1,354.35
p1_E_W.19,228.0,13.76,0.0,0,325.88
p1_N2_S2.15,300.0,27.71,17.0,1,172.77
p1_W_E.47,217.0,30.74,12.0,1,361.98
p1_S2_N2.15,300.0,26.7,17.0,1,168.45
p1_S1_E.5,250.0,32.06,13.0,2,292.69
p1_S2_N2.16,320.0,12.47,0.0,0,163.28
p1_E_W.20,240.0,11.53,0.0,0,308.14
p1_W_NR.8,303.0,17.85,0.0,0,173.11
p1_W_E.46,213.0,28.2,10.0,1,349.94
p1_W_E.48,222.0,29.93,12.0,1,354.74
p1_N2_S2.16,320.0,7.08,0.0,0,124.79
p1_SR_E.7,140.0,124.61,91.0,5,504.75
p1_W_E.49,228.0,27.98,1.0,1,371.43
p1_W_E.51,236.0,17.29,0.0,0,333.39
p1_W_E.50,231.0,17.7,0.0,0,332.12
p1_W_E.52,240.0,13.05,0.0,0,315.44
p1_N3_S3.16,320.0,28.82,18.0,1,170.46
p1_S1_N1.16,320.0,29.47,20.0,1,185.57
p1_S3_N3.16,320.0,27.53,16.0,1,169.91
p1_SR_E.8,160.0,118.59,91.0,4,457.8
p1_N1_S1.16,320.0,28.36,17.0,1,167.02
p1_S3_N3.17,340.0,11.51,0.0,0,146.33
p1_W_E.53,245.0,12.83,0.0,0,312.81
p1_S1_N1.17,340.0,10.65,1.0,1,144.88
p1_N3_S3.17,340.0,8.81,0.0,0,142.14
p1_N1_S1.17,340.0,10.02,0.0,0,135.74
p1_N3_W.5,250.0,34.31,10.0,2,367.63
p1_E_W.22,264.0,15.74,0.0,0,336.96
p1_E_W.21,252.0,30.85,8.0,1,367.82
p1_E_W.23,276.0,11.69,0.0,0,308.63
p1_N2_S2.17,340.0,28.17,18.0,1,170.54
p1_S2_N2.17,340.0,28.83,19.0,1,173.04
p1_S1_E.6,303.0,18.26,1.0,1,282.57
p1_W_E.54,250.0,28.18,9.0,1,353.57
p1_N2_S2.18,360.0,12.83,0.0,0,146.49
p1_S2_N2.18,360.0,12.39,1.0,1,160.12
p1_W_NR.9,340.0,9.61,0.0,0,165.67
p1_W_E.56,259.0,27.13,8.0,1,346.12
p1_W_E.60,277.0,21.95,0.0,0,354.44
p1_W_E.58,269.0,17.61,0.0,0,330.89
p1_W_E.61,282.0,22.22,0.0,0,343.44
p1_W_E.63,291.0,15.59,0.0,0,332.26
p1_N3_S3.18,360.0,28.69,19.0,1,171.31
p1_W_E.55,254.0,28.43,10.0,1,358.2
p1_W_E.62,287.0,20.6,0.0,0,339.53
p1_W_E.57,266.0,36.74,5.0,1,365.76
p1_N1_S1.18,360.0,29.77,21.0,1,176.59
p1_S3_N3.18,360.0,27.74,17.0,1,171.02
p1_N3_S3.19,380.0,11.98,0.0,0,151.66
p1_W_E.64,296.0,13.44,0.0,0,323.11
p1_W_E.59,273.0,19.2,0.0,0,349.11
p1_S3_N3.19,380.0,13.03,0.0,0,156.88
p1_N1_S1.19,380.0,11.43,1.0,1,143.75
p1_S1_N1.18,360.0,28.73,18.0,1,166.78
p1_S1_N1.19,380.0,15.1,3.0,1,150.27
p1_N3_W.6,303.0,21.67,0.0,0,354.52
p1_E_W.24,288.0,31.9,13.0,1,361.05
p1_E_W.25,300.0,22.28,0.0,0,354.24
p1_E_W.26,312.0,12.89,0.0,0,311.44
p1_S2_N2.19,380.0,30.83,19.0,1,179.84
p1_W_NR.10,377.0,19.96,0.0,0,172.91
p1_N2_S2.19,380.0,26.85,17.0,1,165.78
p1_S2_N2.20,400.0,10.63,0.0,0,137.93
p1_N2_S2.20,400.0,12.36,1.0,1,146.16
p1_SR_E.9,180.0,153.06,118.0,6,534.29
p1_S1_N1.20,400.0,26.86,16.0,1,173.32
p1_N1_S1.20,400.0,25.2,16.0,1,167.25
p1_N3_S3.20,400.0,30.05,21.0,1,175.97
p1_S3_N3.20,400.0,30.57,20.0,1,179.26
p1_N1_S1.21,420.0,9.59,0.0,0,139.9
p1_SR_E.10,200.0,133.93,100.0,5,496.96
p1_S3_N3.21,420.0,12.33,2.0,1,146.27
p1_W_E.65,300.0,20.72,1.0,1,348.03
p1_S1_N1.21,420.0,8.28,0.0,0,137.04
p1_W_E.66,306.0,28.88,0.0,0,374.45
p1_W_E.67,310.0,37.24,0.0,0,371.93
p1_N3_S3.21,420.0,15.6,3.0,1,156.93
p1_W_E.68,314.0,39.6,0.0,0,390.97
p1_W_E.69,319.0,27.94,0.0,0,355.72
p1_W_NR.11,414.0,8.72,0.0,0,168.14
p1_W_E.70,324.0,21.43,0.0,0,368.88
p1_W_E.71,328.0,28.05,0.0,0,349.98
p1_N3_W.7,350.0,16.13,0.0,0,332.36
p1_N2_S2.21,420.0,26.97,17.0,1,172.04
p1_S2_N2.21,420.0,27.0,17.0,1,171.59
p1_N2_S2.22,440.0,8.85,0.0,0,137.87
p1_S2_N2.22,440.0,8.75,0.0,0,144.18
p1_W_E.73,337.0,30.85,12.0,1,349.28
p1_SR_E.11,220.0,161.66,124.0,5,531.62
p1_W_E.72,333.0,26.68,8.0,1,347.01
