id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,14.37,4.0,1,145.81
p1_S1_N1.0,0.0,14.48,2.0,1,152.51
p1_N3_S3.0,0.0,16.34,4.0,1,156.33
p1_S3_N3.0,0.0,16.5,6.0,1,156.99
p1_N2_S2.0,0.0,19.16,8.0,1,154.38
p1_S2_N2.0,0.0,17.72,6.0,1,154.64
p1_S2_N2.1,20.0,5.64,0.0,0,127.14
p1_N2_S2.1,20.0,5.34,0.0,0,120.41
p1_W_NR.0,3.0,8.95,0.0,0,165.27
p1_N1_S1.1,20.0,21.61,11.0,1,161.69
p1_S1_N1.1,20.0,21.74,11.0,1,165.08
p1_S3_N3.1,20.0,21.24,10.0,1,164.54
p1_N3_S3.1,20.0,22.39,11.0,1,164.97
p1_S2_N2.2,40.0,4.99,0.0,0,119.1
p1_S1_N1.2,40.0,5.57,0.0,0,119.88
p1_N2_S2.2,40.0,5.27,0.0,0,121.44
p1_N3_S3.2,40.0,5.05,0.0,0,120.08
p1_N1_S1.2,40.0,5.39,0.0,0,122.06
p1_S3_N3.2,40.0,4.98,0.0,0,125.56
p1_W_NR.1,40.0,11.42,0.0,0,179.01
p1_N3_S3.3,60.0,9.67,0.0,0,145.42
p1_S3_N3.3,60.0,5.34,0.0,0,120.15
p1_N1_S1.3,60.0,17.52,6.0,1,160.29
p1_S2_N2.3,60.0,17.91,8.0,1,154.81
p1_S1_N1.3,60.0,19.48,10.0,1,159.06
p1_N2_S2.3,60.0,13.48,4.0,1,144.5
p1_N2_S2.4,80.0,4.77,0.0,0,122.12
p1_S2_N2.4,80.0,5.2,0.0,0,128.59
p1_S1_E.0,3.0,34.26,14.0,2,306.48
p1_SR_E.0,0.0,11.07,0.0,0,301.78
p1_N3_S3.4,80.0,18.68,7.0,1,158.78
p1_S3_N3.4,80.0,18.58,8.0,1,160.97
p1_N3_W.0,3.0,21.38,3.0,1,329.06
p1_W_NR.2,77.0,12.28,0.0,0,165.25
p1_N1_S1.4,80.0,23.25,12.0,1,166.16
p1_S3_N3.5,100.0,4.57,0.0,0,120.1
p1_N1_S1.5,100.0,6.09,0.0,0,125.11
p1_S1_N1.4,80.0,18.09,9.0,1,148.48
p1_S1_N1.5,100.0,11.2,0.0,0,140.56
p1_N2_S2.5,100.0,13.68,4.0,1,156.29
p1_S2_N2.5,100.0,14.15,4.0,1,152.47
p1_W_E.1,6.0,31.74,6.0,1,360.48
p1_W_E.5,24.0,15.5,0.0,0,328.38
p1_S3_N3.6,120.0,5.11,0.0,0,117.59
p1_W_E.2,10.0,31.69,5.0,1,360.26
p1_N3_S3.5,100.0,22.58,13.0,1,156.51
p1_E_W.1,12.0,31.71,7.0,2,401.56
p1_N3_S3.6,120.0,8.44,0.0,0,138.83
p1_W_E.0,0.0,25.1,6.0,1,360.67
p1_W_NR.3,114.0,8.61,0.0,0,165.96
p1_S1_N1.6,120.0,18.84,8.0,1,154.27
p1_N2_S2.6,120.0,19.78,10.0,1,160.05
p1_S2_N2.6,120.0,19.36,9.0,1,160.0
p1_E_W.0,0.0,32.47,6.0,2,380.57
p1_N1_S1.6,120.0,15.82,7.0,1,150.21
p1_W_E.4,19.0,43.68,13.0,2,403.83
p1_S1_N1.7,140.0,5.15,0.0,0,120.64
p1_S2_N2.7,140.0,5.72,0.0,0,121.16
p1_N2_S2.7,140.0,4.81,0.0,0,117.81
p1_W_E.3,14.0,36.5,13.0,1,369.29
p1_S1_E.1,50.0,42.85,24.0,2,311.13
p1_W_E.6,28.0,39.23,12.0,1,393.18
p1_S3_N3.7,140.0,15.14,5.0,1,161.57
p1_W_E.7,33.0,41.85,20.0,2,397.08
p1_N3_S3.7,140.0,13.92,4.0,1,149.73
p1_E_W.3,36.0,24.18,6.0,1,351.55
p1_E_W.2,24.0,39.38,14.0,2,390.34
p1_E_W.5,60.0,23.74,3.0,1,341.76
p1_N3_W.1,50.0,21.01,4.0,1,328.54
p1_N1_S1.7,140.0,21.64,11.0,1,155.39
p1_S1_N1.8,160.0,5.26,0.0,0,121.45
p1_N1_S1.8,160.0,11.04,0.0,0,143.43
p1_E_W.4,48.0,29.37,13.0,1,363.53
p1_S2_N2.8,160.0,15.11,5.0,1,155.0
p1_W_E.9,43.0,50.21,19.0,2,428.87
p1_N2_S2.8,160.0,14.78,5.0,1,147.54
p1_SR_E.2,40.0,65.91,34.0,3,413.52
p1_W_NR.4,151.0,12.15,0.0,0,173.11
p1_W_E.8,37.0,48.56,21.0,3,421.73
p1_SR_E.1,20.0,88.46,53.0,3,463.08
p1_S1_E.2,103.0,26.73,10.0,1,278.77
p1_SR_E.3,60.0,49.95,16.0,2,395.13
p1_N3_S3.8,160.0,21.58,12.0,1,166.04
p1_S3_N3.8,160.0,19.82,10.0,1,158.55
p1_W_E.11,51.0,46.61,13.0,2,396.09
p1_W_E.12,56.0,45.36,10.0,2,417.32
p1_N3_S3.9,180.0,5.07,0.0,0,122.49
p1_S3_N3.9,180.0,5.42,0.0,0,118.85
p1_E_W.8,96.0,17.29,0.0,0,337.06
p1_E_W.6,72.0,30.08,9.0,1,358.97
p1_S1_N1.9,180.0,16.39,7.0,1,160.19
p1_N1_S1.9,180.0,15.95,6.0,1,159.53
p1_E_W.7,84.0,31.29,9.0,1,371.98
p1_W_E.13,60.0,58.98,21.0,3,445.98
p1_W_E.16,74.0,45.15,12.0,2,401.93
p1_N2_S2.9,180.0,21.3,11.0,1,166.1
p1_S2_N2.9,180.0,21.71,11.0,1,167.32
p1_W_E.14,65.0,40.33,8.0,2,386.04
p1_W_E.15,70.0,36.5,10.0,2,381.18
p1_N2_S2.10,200.0,5.1,0.0,0,118.28
p1_W_E.19,88.0,39.34,5.0,1,400.85
p1_W_E.18,84.0,32.84,5.0,1,384.1
p1_S2_N2.10,200.0,5.36,0.0,0,118.31
p1_W_NR.5,188.0,12.48,0.0,0,171.03
p1_W_E.17,80.0,30.87,4.0,1,362.43
p1_N3_W.2,103.0,36.53,10.0,1,372.89
p1_E_W.10,120.0,15.05,0.0,0,329.27
p1_N3_S3.10,200.0,17.26,8.0,1,159.39
p1_S3_N3.10,200.0,16.83,7.0,1,156.47
p1_W_E.20,93.0,43.46,20.0,2,383.37
p1_W_E.10,47.0,38.3,5.0,2,398.61
p1_E_W.9,108.0,30.24,12.0,1,358.86
p1_W_E.21,97.0,41.03,17.0,2,400.73
p1_S1_N1.10,200.0,22.68,11.0,1,170.78
p1_N1_S1.10,200.0,20.95,11.0,1,156.78
p1_N1_S1.11,220.0,5.03,0.0,0,118.4
p1_N3_S3.11,220.0,5.08,0.0,0,117.09
p1_E_W.11,132.0,13.35,0.0,0,308.67
p1_S1_N1.11,220.0,5.45,0.0,0,130.31
p1_W_E.22,102.0,52.64,23.0,3,430.82
p1_W_E.23,107.0,48.38,16.0,2,421.36
p1_S2_N2.11,220.0,17.35,8.0,1,154.74
p1_N2_S2.11,220.0,16.54,5.0,1,154.58
p1_W_E.24,111.0,42.99,16.0,2,408.46
p1_S1_E.3,150.0,39.53,13.0,2,325.51
p1_N2_S2.12,240.0,5.21,0.0,0,122.52
p1_W_E.25,117.0,42.37,20.0,2,396.81
p1_W_E.26,120.0,38.74,14.0,2,382.79
p1_SR_E.4,80.0,97.16,66.0,3,465.37
p1_W_E.27,125.0,34.33,11.0,2,379.61
p1_SR_E.5,100.0,79.1,48.0,3,439.78
p1_SR_E.6,120.0,60.5,28.0,3,417.28
p1_W_E.28,130.0,27.4,4.0,1,357.14
p1_W_E.30,139.0,32.38,0.0,0,391.55
p1_W_NR.6,225.0,8.86,0.0,0,162.74
p1_S1_N1.12,240.0,18.06,8.0,1,155.53
p1_S3_N3.11,220.0,38.42,27.0,1,189.33
p1_N1_S1.12,240.0,18.92,8.0,1,160.93
p1_N3_S3.12,240.0,16.72,7.0,1,152.89
p1_S2_N2.12,240.0,21.77,12.0,1,160.77
p1_S1_N1.13,260.0,4.58,0.0,0,117.58
p1_N2_S2.13,260.0,4.69,0.0,0,116.98
p1_N3_S3.13,260.0,4.72,0.0,0,124.52
p1_S3_N3.12,240.0,15.25,6.0,1,149.24
p1_S2_N2.13,260.0,6.57,0.0,0,131.9
p1_N1_S1.13,260.0,5.04,0.0,0,119.39
p1_E_W.13,156.0,32.65,5.0,2,351.99
p1_W_E.31,144.0,51.54,23.0,2,398.62
p1_W_E.33,154.0,42.85,17.0,2,400.09
p1_W_E.35,162.0,38.02,13.0,2,374.2
p1_W_E.37,171.0,30.58,8.0,1,356.12
p1_E_W.12,144.0,44.29,10.0,3,404.79
p1_N3_W.3,150.0,33.4,13.0,1,362.47
p1_E_W.15,180.0,15.2,0.0,0,312.7
p1_SR_E.7,140.0,77.38,49.0,3,425.6
p1_W_E.36,167.0,32.77,7.0,1,372.98
p1_E_W.16,192.0,15.85,0.0,0,318.96
p1_W_NR.7,263.0,12.04,0.0,0,172.14
p1_E_W.14,168.0,24.26,5.0,1,340.14
p1_S3_N3.13,260.0,27.11,16.0,1,168.14
p1_N1_S1.14,280.0,14.31,4.0,1,153.05
p1_S1_N1.14,280.0,13.41,3.0,1,147.77
p1_N2_S2.14,280.0,14.61,4.0,1,153.21
p1_S2_N2.14,280.0,15.11,5.0,1,148.18
p1_S3_N3.14,280.0,15.06,0.0,0,149.94
p1_W_E.29,134.0,43.06,18.0,2,388.36
p1_S1_E.4,203.0,29.04,8.0,1,281.11
p1_N3_S3.14,280.0,5.63,0.0,0,123.83
