id,depart,timeloss,espera,paradas,co2
p1_N3_S3.0,0.0,16.34,4.0,1,156.33
p1_S3_N3.0,0.0,16.5,6.0,1,156.99
p1_N1_S1.0,0.0,19.33,9.0,1,157.3
p1_S1_N1.0,0.0,19.46,7.0,1,157.5
p1_N2_S2.0,0.0,19.16,8.0,1,154.38
p1_S2_N2.0,0.0,17.72,6.0,1,154.64
p1_S1_N1.1,20.0,4.51,0.0,0,121.6
p1_N1_S1.1,20.0,5.04,0.0,0,118.47
p1_S2_N2.1,20.0,5.64,0.0,0,127.14
p1_N2_S2.1,20.0,5.34,0.0,0,120.41
p1_W_NR.0,3.0,8.95,0.0,0,165.27
p1_S3_N3.1,20.0,21.24,10.0,1,164.54
p1_N3_S3.1,20.0,22.39,11.0,1,164.97
p1_S2_N2.2,40.0,4.98,0.0,0,117.47
p1_S1_N1.2,40.0,4.87,0.0,0,125.15
p1_N2_S2.2,40.0,5.16,0.0,0,122.66
p1_N3_S3.2,40.0,5.05,0.0,0,120.08
p1_N1_S1.2,40.0,5.29,0.0,0,118.66
p1_S3_N3.2,40.0,4.94,0.0,0,127.43
p1_W_NR.1,40.0,11.6,0.0,0,183.62
p1_N1_S1.3,60.0,17.38,8.0,1,163.04
p1_S2_N2.3,60.0,17.54,8.0,1,154.68
p1_S1_N1.3,60.0,19.86,10.0,1,158.46
p1_N2_S2.3,60.0,13.59,4.0,1,141.74
p1_N2_S2.4,80.0,4.77,0.0,0,122.64
p1_S2_N2.4,80.0,5.12,0.0,0,122.92
p1_N1_S1.4,80.0,4.91,0.0,0,114.02
p1_N3_S3.3,60.0,29.92,16.0,1,176.04
p1_SR_E.0,0.0,10.84,0.0,0,292.2
p1_S3_N3.3,60.0,23.25,13.0,1,159.68
p1_N3_S3.4,80.0,11.85,0.0,0,148.33
p1_S3_N3.4,80.0,13.39,0.0,0,155.95
p1_N3_W.0,3.0,21.48,3.0,1,334.08
p1_W_NR.2,77.0,12.42,0.0,0,168.27
p1_S1_E.0,3.0,53.97,27.0,3,352.58
p1_N2_S2.5,100.0,13.54,4.0,1,152.06
p1_S2_N2.5,100.0,13.73,4.0,1,157.27
p1_N1_S1.5,100.0,18.71,7.0,1,160.85
p1_W_E.1,6.0,31.78,4.0,1,371.63
p1_W_E.2,10.0,26.47,1.0,1,345.96
p1_W_E.4,19.0,21.86,0.0,0,344.4
p1_S1_N1.4,80.0,32.47,22.0,1,174.69
p1_S3_N3.5,100.0,23.41,12.0,1,164.7
p1_W_E.5,24.0,17.55,0.0,0,333.43
p1_S1_N1.5,100.0,25.54,10.0,1,177.84
p1_N3_S3.5,100.0,21.53,11.0,1,156.96
p1_S3_N3.6,120.0,5.0,0.0,0,113.89
p1_E_W.1,12.0,32.65,6.0,2,396.49
p1_S1_N1.6,120.0,6.35,0.0,0,130.79
p1_N3_S3.6,120.0,7.58,0.0,0,138.58
p1_W_E.0,0.0,25.97,3.0,2,374.69
p1_W_NR.3,114.0,8.36,0.0,0,167.67
p1_N2_S2.6,120.0,19.43,10.0,1,160.75
p1_S2_N2.6,120.0,19.42,9.0,1,163.36
p1_E_W.0,0.0,32.41,6.0,2,378.16
p1_S2_N2.7,140.0,5.62,0.0,0,122.96
p1_N2_S2.7,140.0,4.83,0.0,0,118.01
p1_W_E.6,28.0,37.5,16.0,1,376.43
p1_W_E.3,14.0,40.7,16.0,1,385.36
p1_S1_E.1,50.0,47.64,28.0,2,325.3
p1_W_E.7,33.0,41.42,18.0,2,388.57
p1_W_E.9,43.0,33.14,8.0,1,376.72
p1_S1_N1.7,140.0,19.9,8.0,1,161.74
p1_S3_N3.7,140.0,19.51,8.0,1,163.51
p1_W_E.8,37.0,30.66,8.0,2,376.67
p1_SR_E.2,40.0,48.3,25.0,2,382.53
p1_SR_E.1,20.0,70.4,41.0,2,433.0
p1_N3_S3.7,140.0,17.85,8.0,1,162.74
p1_N1_S1.6,120.0,35.54,24.0,1,176.65
p1_N1_S1.7,140.0,17.73,8.0,1,156.79
p1_N3_S3.8,160.0,5.49,0.0,0,123.74
p1_N1_S1.8,160.0,7.27,0.0,0,131.3
p1_S3_N3.8,160.0,4.69,0.0,0,121.96
p1_S1_N1.8,160.0,4.76,0.0,0,118.61
p1_E_W.5,60.0,30.58,5.0,1,351.77
p1_E_W.2,24.0,50.97,25.0,3,412.4
p1_S2_N2.8,160.0,15.9,5.0,1,153.11
p1_N2_S2.8,160.0,14.78,5.0,1,150.0
p1_W_NR.4,151.0,11.99,0.0,0,161.45
p1_SR_E.3,60.0,47.95,19.0,2,390.6
p1_E_W.3,36.0,44.67,17.0,2,407.56
p1_W_E.11,51.0,43.76,12.0,1,378.98
p1_W_E.12,56.0,43.32,13.0,1,387.7
p1_E_W.4,48.0,38.86,10.0,1,398.45
p1_W_E.13,60.0,40.09,11.0,1,386.13
p1_E_W.7,84.0,17.56,0.0,0,357.96
p1_S1_E.2,103.0,30.63,11.0,2,314.25
p1_W_E.19,88.0,14.96,0.0,0,313.09
p1_W_E.16,74.0,31.6,6.0,1,366.9
p1_W_E.18,84.0,15.62,0.0,0,341.82
p1_W_E.20,93.0,19.2,0.0,0,349.49
p1_E_W.6,72.0,28.67,7.0,1,367.6
p1_S1_N1.9,180.0,15.78,4.0,1,159.19
p1_N3_S3.9,180.0,14.96,5.0,1,152.49
p1_S3_N3.9,180.0,15.25,6.0,1,152.09
p1_W_E.21,97.0,17.06,0.0,0,333.84
p1_N1_S1.9,180.0,14.98,5.0,1,152.88
p1_W_E.22,102.0,13.07,0.0,0,310.35
p1_N2_S2.9,180.0,21.46,11.0,1,169.43
p1_S2_N2.9,180.0,21.65,11.0,1,167.56
p1_N3_W.1,50.0,54.08,32.0,2,382.84
p1_W_E.15,70.0,31.26,6.0,1,362.77
p1_W_E.10,47.0,23.84,3.0,1,364.17
p1_W_E.14,65.0,36.07,10.0,1,370.81
p1_E_W.8,96.0,29.58,11.0,1,356.18
p1_N2_S2.10,200.0,5.06,0.0,0,115.45
p1_N3_W.2,103.0,32.27,11.0,1,362.02
p1_W_NR.5,188.0,10.21,0.0,0,167.69
p1_S2_N2.10,200.0,5.67,0.0,0,122.89
p1_W_E.17,80.0,37.82,14.0,1,391.61
p1_W_E.24,111.0,23.33,5.0,1,344.67
p1_S1_E.3,150.0,21.05,0.0,0,294.32
