id,depart,timeloss,espera,paradas,co2
p1_N3_S3.0,0.0,16.34,4.0,1,156.33
p1_S3_N3.0,0.0,16.5,6.0,1,156.99
p1_N1_S1.0,0.0,19.33,9.0,1,157.3
p1_S1_N1.0,0.0,19.46,7.0,1,157.5
p1_N2_S2.0,0.0,19.16,8.0,1,154.38
p1_S2_N2.0,0.0,17.72,6.0,1,154.64
p1_S1_N1.1,20.0,4.51,0.0,0,121.6
p1_N1_S1.1,20.0,5.04,0.0,0,118.47
p1_S2_N2.1,20.0,5.64,0.0,0,127.14
p1_N2_S2.1,20.0,5.34,0.0,0,120.41
p1_W_NR.0,3.0,8.95,0.0,0,165.27
p1_S3_N3.1,20.0,21.24,10.0,1,164.54
p1_N3_S3.1,20.0,22.39,11.0,1,164.97
p1_S2_N2.2,40.0,5.01,0.0,0,114.43
p1_S1_N1.2,40.0,4.86,0.0,0,124.9
p1_N2_S2.2,40.0,5.16,0.0,0,122.66
p1_N3_S3.2,40.0,5.05,0.0,0,120.08
p1_N1_S1.2,40.0,5.29,0.0,0,118.66
p1_S3_N3.2,40.0,4.94,0.0,0,127.43
p1_S2_N2.3,60.0,4.74,0.0,0,119.36
p1_W_NR.1,40.0,11.42,0.0,0,179.01
p1_N2_S2.3,60.0,5.48,0.0,0,122.45
p1_N1_S1.3,60.0,17.38,8.0,1,166.91
p1_S1_N1.3,60.0,19.99,10.0,1,158.8
p1_S1_E.0,3.0,30.25,9.0,2,294.41
p1_N1_S1.4,80.0,4.91,0.0,0,114.02
p1_N3_S3.3,60.0,29.92,16.0,1,176.04
p1_SR_E.0,0.0,10.56,0.0,0,290.72
p1_S3_N3.3,60.0,23.25,13.0,1,159.68
p1_N3_S3.4,80.0,11.85,0.0,0,148.33
p1_S3_N3.4,80.0,13.39,0.0,0,155.95
p1_N2_S2.4,80.0,22.73,13.0,1,168.81
p1_S2_N2.4,80.0,23.27,13.0,1,166.24
p1_W_NR.2,77.0,12.46,0.0,0,169.35
p1_N2_S2.5,100.0,4.71,0.0,0,125.85
p1_S2_N2.5,100.0,5.35,0.0,0,122.51
p1_N1_S1.5,100.0,18.71,7.0,1,161.59
p1_W_E.1,6.0,30.62,3.0,1,372.47
p1_W_E.2,10.0,25.39,1.0,1,347.88
p1_W_E.4,19.0,21.01,0.0,0,331.84
p1_W_E.5,24.0,16.8,0.0,0,326.04
p1_S3_N3.5,100.0,23.41,12.0,1,164.7
p1_S1_N1.4,80.0,32.9,22.0,1,174.24
p1_W_E.6,28.0,14.57,0.0,0,319.27
p1_S1_N1.5,100.0,26.07,10.0,1,172.63
p1_N3_S3.5,100.0,21.53,11.0,1,156.96
p1_S3_N3.6,120.0,5.0,0.0,0,113.89
p1_N3_W.0,3.0,48.64,16.0,3,413.9
p1_S1_N1.6,120.0,6.9,0.0,0,132.52
p1_N3_S3.6,120.0,7.36,0.0,0,136.59
p1_E_W.1,12.0,34.69,12.0,1,405.22
p1_W_E.0,0.0,26.19,2.0,1,370.37
p1_N2_S2.6,120.0,18.29,8.0,1,163.04
p1_S2_N2.6,120.0,18.93,7.0,1,150.29
p1_W_NR.3,114.0,8.8,0.0,0,169.28
p1_E_W.0,0.0,32.43,5.0,2,375.5
p1_W_E.7,33.0,28.38,10.0,1,357.87
p1_S2_N2.7,140.0,4.83,0.0,0,120.36
p1_W_E.3,14.0,35.15,11.0,1,374.99
p1_N2_S2.7,140.0,5.37,0.0,0,116.96
p1_S1_E.1,50.0,43.73,26.0,2,306.66
p1_W_E.8,37.0,20.09,1.0,1,350.32
p1_W_E.9,43.0,25.09,0.0,0,361.57
p1_SR_E.1,20.0,59.52,36.0,1,387.56
p1_SR_E.2,40.0,40.27,19.0,1,375.76
p1_SR_E.3,60.0,21.39,0.0,0,328.27
p1_S1_N1.7,140.0,20.07,8.0,1,156.69
p1_S3_N3.7,140.0,19.51,8.0,1,163.51
p1_W_E.11,51.0,23.77,0.0,0,323.21
p1_W_E.12,56.0,22.13,0.0,0,328.82
p1_N3_S3.7,140.0,17.44,9.0,1,155.92
p1_N1_S1.6,120.0,35.6,26.0,1,180.67
p1_N3_S3.8,160.0,4.97,0.0,0,117.66
p1_N1_S1.7,140.0,17.69,7.0,1,156.23
p1_N1_S1.8,160.0,7.12,0.0,0,118.24
p1_S3_N3.8,160.0,4.69,0.0,0,121.96
p1_S1_N1.8,160.0,4.42,0.0,0,116.38
p1_E_W.5,60.0,30.72,6.0,1,354.88
p1_E_W.2,24.0,50.8,24.0,3,415.31
p1_W_NR.4,151.0,11.89,0.0,0,171.41
p1_W_E.13,60.0,37.17,12.0,1,370.8
p1_S2_N2.8,160.0,19.99,9.0,1,161.86
p1_E_W.3,36.0,44.79,17.0,2,410.57
p1_N2_S2.8,160.0,18.62,7.0,1,162.65
p1_E_W.4,48.0,38.79,11.0,1,388.39
p1_N2_S2.9,180.0,4.73,0.0,0,122.42
p1_S2_N2.9,180.0,5.05,0.0,0,120.81
p1_E_W.7,84.0,19.56,0.0,0,340.67
p1_S1_E.2,103.0,33.17,14.0,2,306.63
p1_W_E.19,88.0,17.75,0.0,0,336.65
p1_N3_W.1,50.0,41.52,24.0,1,351.2
p1_W_E.20,93.0,14.8,0.0,0,322.16
p1_E_W.8,96.0,17.21,1.0,1,320.94
p1_W_E.21,97.0,16.82,0.0,0,319.61
p1_N3_S3.9,180.0,15.24,6.0,1,155.1
p1_S3_N3.9,180.0,15.25,6.0,1,152.09
p1_E_W.6,72.0,29.66,9.0,2,359.48
p1_W_E.18,84.0,18.27,0.0,0,343.83
p1_W_E.16,74.0,42.31,6.0,1,384.39
p1_N1_S1.9,180.0,19.85,8.0,1,159.68
p1_S1_N1.9,180.0,20.91,9.0,1,166.8
p1_S1_N1.10,200.0,4.87,0.0,0,121.96
p1_N1_S1.10,200.0,5.36,0.0,0,120.73
p1_W_E.10,47.0,27.73,6.0,1,362.34
p1_W_NR.5,188.0,11.06,0.0,0,165.58
p1_N3_W.2,103.0,36.15,14.0,2,365.91
p1_E_W.10,120.0,15.44,0.0,0,333.89
p1_E_W.9,108.0,29.58,9.0,1,362.13
p1_W_E.14,65.0,52.19,20.0,2,413.58
p1_W_E.17,80.0,37.61,12.0,1,397.52
p1_N3_S3.10,200.0,21.9,10.0,1,164.2
p1_S3_N3.10,200.0,21.2,11.0,1,162.23
