id,depart,timeloss,espera,paradas,co2
p1_N3_S3.0,0.0,5.0,0.0,0,121.58
p1_S3_N3.0,0.0,4.99,0.0,0,122.23
p1_N1_S1.0,0.0,5.06,0.0,0,114.09
p1_S1_N1.0,0.0,5.25,0.0,0,120.11
p1_N2_S2.0,0.0,5.27,0.0,0,114.93
p1_S2_N2.0,0.0,6.03,0.0,0,122.44
p1_N1_S1.1,24.0,4.64,0.0,0,119.02
p1_S2_N2.1,24.0,4.71,0.0,0,122.63
p1_N3_S3.1,24.0,4.91,0.0,0,122.15
p1_S1_N1.1,24.0,5.26,0.0,0,119.01
p1_S3_N3.1,24.0,4.97,0.0,0,122.71
p1_N2_S2.1,24.0,5.04,0.0,0,120.79
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_N3_S3.2,48.0,5.28,0.0,0,119.02
p1_S3_N3.2,48.0,4.81,0.0,0,122.88
p1_S2_N2.2,48.0,13.64,2.0,1,151.43
p1_N2_S2.2,48.0,13.3,2.0,1,149.88
p1_W_NR.1,48.0,12.27,0.0,0,169.32
p1_N1_S1.2,48.0,26.74,17.0,1,166.66
p1_S1_N1.2,48.0,28.72,18.0,1,182.31
p1_N1_S1.3,72.0,7.61,0.0,0,143.07
p1_S1_E.0,3.0,28.33,8.0,2,309.71
p1_S1_N1.3,72.0,9.34,0.0,0,137.15
p1_N3_S3.3,72.0,18.29,8.0,1,162.03
p1_S3_N3.3,72.0,11.78,1.0,1,147.1
p1_S2_N2.3,72.0,30.91,19.0,1,182.67
p1_N3_W.0,3.0,24.18,4.0,1,342.32
p1_S2_N2.4,96.0,8.91,0.0,0,140.2
p1_N2_S2.3,72.0,26.77,16.0,1,167.38
p1_SR_E.0,0.0,27.55,6.0,2,342.65
p1_N1_S1.4,96.0,10.95,0.0,0,145.5
p1_W_E.1,6.0,20.82,0.0,0,320.69
p1_N2_S2.4,96.0,12.49,0.0,0,154.47
p1_W_E.2,12.0,16.12,0.0,0,299.93
p1_S1_N1.4,96.0,6.01,0.0,0,127.46
p1_W_E.4,23.0,13.44,0.0,0,304.78
p1_W_NR.2,92.0,11.41,0.0,0,178.75
p1_W_E.0,0.0,14.07,0.0,0,319.43
