id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,9.04,0.0,0,137.72
p1_S1_N1.0,0.0,8.79,0.0,0,142.18
p1_N3_S3.0,0.0,10.76,0.0,0,146.35
p1_S3_N3.0,0.0,10.57,0.0,0,148.58
p1_N2_S2.0,0.0,32.05,21.0,1,173.83
p1_S2_N2.0,0.0,30.5,20.0,1,172.92
p1_N2_S2.1,24.0,10.87,1.0,1,147.74
p1_S2_N2.1,24.0,14.45,1.0,1,162.57
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_N1_S1.1,24.0,32.45,22.0,1,184.19
p1_S1_N1.1,24.0,32.3,21.0,1,179.84
p1_N3_S3.1,24.0,33.11,22.0,1,181.27
p1_S3_N3.1,24.0,32.66,22.0,1,181.86
p1_S1_N1.2,48.0,10.1,0.0,0,151.28
p1_N1_S1.2,48.0,8.9,0.0,0,138.56
p1_N3_S3.2,48.0,10.48,0.0,0,142.94
p1_S3_N3.2,48.0,8.29,0.0,0,127.86
p1_W_NR.1,48.0,12.11,0.0,0,177.34
p1_S2_N2.2,48.0,32.0,21.0,1,178.51
p1_N2_S2.2,48.0,31.17,19.0,1,177.77
p1_S1_E.0,3.0,28.7,11.0,1,291.64
p1_S2_N2.3,72.0,9.76,0.0,0,144.21
p1_N2_S2.3,72.0,5.98,0.0,0,123.15
p1_SR_E.0,0.0,10.79,0.0,0,285.37
p1_N1_S1.3,72.0,30.61,20.0,1,178.24
p1_S1_N1.3,72.0,30.39,20.0,1,180.3
p1_N3_S3.3,72.0,30.24,19.0,1,179.21
p1_N3_S3.4,96.0,8.0,0.0,0,137.05
p1_N1_S1.4,96.0,7.84,0.0,0,135.24
p1_S3_N3.3,72.0,26.69,16.0,1,168.08
p1_S3_N3.4,96.0,12.99,0.0,0,156.78
p1_E_W.1,15.0,12.12,0.0,0,317.79
p1_N3_W.0,3.0,35.28,12.0,1,359.59
p1_S1_N1.4,96.0,5.96,0.0,0,127.98
p1_W_NR.2,92.0,10.17,0.0,0,165.9
p1_N2_S2.4,96.0,29.71,19.0,1,180.77
p1_S2_N2.4,96.0,29.64,19.0,1,174.43
p1_W_E.1,6.0,39.22,14.0,1,361.69
p1_N2_S2.5,120.0,7.64,0.0,0,137.25
p1_S2_N2.5,120.0,7.54,0.0,0,137.89
p1_W_E.4,23.0,24.83,6.0,1,337.29
p1_S1_E.1,60.0,14.94,1.0,1,273.09
p1_E_W.0,0.0,23.21,3.0,1,346.77
p1_W_E.5,28.0,20.79,1.0,1,333.78
p1_W_E.7,39.0,12.31,0.0,0,317.19
p1_SR_E.1,24.0,40.46,26.0,1,346.3
p1_SR_E.2,48.0,19.3,4.0,1,312.74
p1_W_E.0,0.0,35.93,17.0,1,368.49
