id,depart,timeloss,espera,paradas,co2
p1_N3_S3.0,0.0,5.0,0.0,0,121.58
p1_S3_N3.0,0.0,4.99,0.0,0,122.23
p1_N1_S1.0,0.0,20.28,9.0,1,157.07
p1_S1_N1.0,0.0,20.6,9.0,1,160.15
p1_N2_S2.0,0.0,20.57,9.0,1,153.25
p1_S2_N2.0,0.0,18.87,8.0,1,151.36
p1_N1_S1.1,24.0,4.67,0.0,0,120.66
p1_S1_N1.1,24.0,4.8,0.0,0,118.21
p1_S2_N2.1,24.0,4.71,0.0,0,120.78
p1_N3_S3.1,24.0,12.99,1.0,1,151.39
p1_S3_N3.1,24.0,12.79,2.0,1,151.69
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_S2_N2.2,48.0,9.45,0.0,0,144.38
p1_N2_S2.1,24.0,32.41,23.0,1,176.26
p1_N2_S2.2,48.0,11.09,0.0,0,141.4
p1_S1_N1.2,48.0,19.15,8.0,1,167.0
p1_N3_S3.2,48.0,19.05,9.0,1,158.34
p1_N1_S1.2,48.0,18.16,7.0,1,153.92
p1_S3_N3.2,48.0,17.06,8.0,1,160.26
p1_W_NR.1,48.0,11.79,0.0,0,171.36
p1_S1_E.0,3.0,34.11,14.0,2,307.64
p1_N3_W.0,3.0,13.91,0.0,0,312.61
p1_SR_E.0,0.0,23.48,7.0,1,323.73
p1_N3_S3.3,72.0,31.59,22.0,1,178.22
p1_N3_S3.4,96.0,9.75,0.0,0,143.65
p1_S3_N3.3,72.0,27.52,17.0,1,164.61
p1_N1_S1.3,72.0,36.29,26.0,1,191.7
p1_S1_N1.3,72.0,36.39,27.0,1,189.11
p1_S2_N2.3,72.0,36.68,26.0,1,182.84
p1_S3_N3.4,96.0,13.61,0.0,0,155.14
p1_N1_S1.4,96.0,13.73,3.0,1,150.2
p1_S2_N2.4,96.0,14.42,4.0,1,159.82
p1_N2_S2.3,72.0,32.48,24.0,1,174.38
p1_N2_S2.4,96.0,18.38,3.0,1,165.0
p1_W_NR.2,91.0,11.13,0.0,0,162.61
p1_S1_N1.4,96.0,9.18,0.0,0,136.44
p1_W_E.1,6.0,35.29,9.0,1,353.68
