id,depart,timeloss,espera,paradas,co2
p1_N1_S1.0,0.0,9.04,0.0,0,137.72
p1_S1_N1.0,0.0,8.79,0.0,0,142.18
p1_N2_S2.0,0.0,29.2,18.0,1,169.17
p1_S2_N2.0,0.0,27.81,17.0,1,168.16
p1_N2_S2.1,24.0,8.0,0.0,0,138.67
p1_S2_N2.1,24.0,11.73,0.0,0,155.27
p1_N3_S3.0,0.0,36.32,25.0,1,189.42
p1_S3_N3.0,0.0,36.53,24.0,1,186.5
p1_S3_N3.1,24.0,13.8,3.0,1,157.45
p1_N3_S3.1,24.0,15.7,5.0,1,156.93
p1_W_NR.0,3.0,9.08,0.0,0,165.97
p1_N1_S1.1,24.0,27.07,17.0,1,175.77
p1_S1_N1.1,24.0,27.76,16.0,1,172.49
p1_S1_N1.2,48.0,5.57,0.0,0,127.35
p1_N1_S1.2,48.0,4.84,0.0,0,119.12
p1_S2_N2.2,48.0,23.8,12.0,1,165.59
p1_N2_S2.2,48.0,22.76,13.0,1,162.22
p1_S1_E.0,3.0,20.32,3.0,1,279.34
p1_W_NR.1,48.0,11.79,0.0,0,171.36
p1_S2_N2.3,72.0,4.44,0.0,0,122.09
p1_SR_E.0,0.0,10.82,0.0,0,293.23
p1_N3_S3.2,48.0,43.14,33.0,1,197.92
p1_N1_S1.3,72.0,20.56,10.0,1,162.47
p1_S3_N3.2,48.0,41.16,32.0,1,188.43
p1_S1_N1.3,72.0,22.96,10.0,1,166.87
p1_N3_S3.3,72.0,24.58,14.0,1,160.6
p1_S3_N3.3,72.0,17.88,7.0,1,152.94
p1_S2_N2.4,96.0,16.13,6.0,1,164.36
p1_N2_S2.3,72.0,36.75,27.0,1,184.85
p1_W_E.1,6.0,28.9,1.0,1,342.77
p1_W_NR.2,91.0,11.35,0.0,0,164.09
p1_N2_S2.4,96.0,22.59,8.0,1,171.57
p1_E_W.1,15.0,21.49,0.0,0,327.85
p1_W_E.4,23.0,14.27,0.0,0,323.89
p1_N3_W.0,3.0,42.79,22.0,1,359.24
p1_E_W.0,0.0,14.91,0.0,0,316.49
p1_W_E.3,17.0,15.66,0.0,0,328.36
p1_W_E.0,0.0,26.54,6.0,1,349.42
p1_W_E.5,28.0,21.44,0.0,0,338.15
p1_N3_S3.4,96.0,36.43,25.0,1,185.92
p1_S3_N3.4,96.0,36.55,26.0,1,189.05
p1_W_E.2,12.0,36.41,1.0,1,363.12
p1_W_E.6,34.0,17.37,0.0,0,339.38
p1_N1_S1.4,96.0,36.71,26.0,1,189.98
p1_W_E.7,39.0,13.91,0.0,0,310.68
p1_S3_N3.5,120.0,14.56,3.0,1,151.04
p1_N1_S1.5,120.0,15.73,4.0,1,152.98
p1_N3_S3.5,120.0,12.78,2.0,1,148.42
