caso,escenario,semaforos,carriles,demanda_veh_h,modelo,base_publicada,bases,retraso,retraso_ic95,delta_fijo,ic_fijo,p_fijo,delta_act,ic_act,p_act,recompensa,delta_recompensa,ic_recompensa,p_recompensa,convergio,convergen,plateau,estabilidad,veredicto,rotonda
P1,corredor,2,1,1810,actuado,,,21.074,0.155,-1.1,"[-2.1, 0.1]",0.0571,,,,,,,,,,,,EMPATA,no
P1,corredor,2,1,1810,ql,42,3/3,23.261,0.149,9.2,"[7.8, 10.5]",1.92e-06,10.4,"[9.4, 11.3]",1.73e-06,ret_retraso,-11.6,"[-13.0, -10.0]",1.86e-09,si,1/3,2.8,1.7,FALLA,no
P1,corredor,2,1,1810,sarsa,42,3/3,24.271,0.302,14.0,"[12.1, 15.9]",1.73e-06,15.2,"[13.7, 16.8]",1.73e-06,ret_retraso,-14.6,"[-16.7, -12.6]",1.86e-09,si,3/3,-2.2,0.9,FALLA,no
P1,corredor,2,1,1810,ql_colas,4042,3/3,23.558,0.326,10.6,"[8.9, 12.4]",1.73e-06,11.8,"[10.3, 13.4]",1.73e-06,ret_colas,-10.8,"[-13.1, -8.6]",9.31e-09,si,1/3,-4.5,0.0,FALLA,no
P1,corredor,2,1,1810,dqn,4042,3/3,20.560,0.160,-3.5,"[-4.8, -2.2]",2.35e-06,-2.4,"[-3.3, -1.6]",1.22e-05,ret_retraso,3.0,"[1.7, 4.5]",4.41e-05,si,3/3,-4.4,0.0,MEJORA,no
P1,corredor,2,1,1810,ippo_local,2042,3/3,21.186,0.136,-0.5,"[-1.7, 0.5]",0.711,0.5,"[-0.4, 1.4]",0.106,ret_retraso,-0.3,"[-1.4, 0.9]",0.309,si,3/3,-5.0,0.0,EMPATA,no
P1,corredor,2,1,1810,ippo_vecinos,4042,3/3,19.845,0.169,-6.8,"[-8.0, -5.8]",1.86e-09,-5.8,"[-6.7, -4.9]",1.92e-06,ret_retraso,7.0,"[5.9, 8.3]",1.86e-09,si,3/3,0.9,0.7,FUNCIONA,no
P1,corredor,2,1,1810,ippo_spill,2042,3/3,20.194,0.148,-5.2,"[-6.2, -4.2]",2.56e-06,-4.2,"[-5.0, -3.4]",2.35e-06,ret_spill,5.3,"[4.2, 6.3]",1.86e-09,si,3/3,0.9,0.0,FUNCIONA,no
P1,corredor,2,1,1810,mappo,42,3/3,19.786,0.176,-7.1,"[-8.4, -5.8]",3.73e-09,-6.1,"[-7.0, -5.2]",1.86e-09,ret_retraso,7.2,"[5.8, 8.6]",5.59e-09,si,3/3,0.6,0.8,FUNCIONA,no
P2,corredor_alta,2,1,3620,actuado,,,124.137,2.479,-19.8,"[-21.3, -18.2]",1.86e-09,,,,,,,,,,,,FUNCIONA,no
P2,corredor_alta,2,1,3620,ql,4042,3/3,141.138,1.801,-8.8,"[-9.9, -7.5]",3.73e-09,13.7,"[11.5, 15.9]",1.86e-09,ret_retraso,6.5,"[5.0, 7.8]",1.64e-07,si,1/3,2.8,0.7,MEJORA,no
P2,corredor_alta,2,1,3620,sarsa,42,3/3,164.912,4.412,6.6,"[3.7, 9.4]",0.000209,32.9,"[29.1, 36.6]",1.86e-09,ret_retraso,-12.4,"[-15.8, -8.9]",4.71e-07,si,1/3,0.9,3.8,FALLA,no
P2,corredor_alta,2,1,3620,ql_colas,4042,3/3,165.245,5.017,6.8,"[3.8, 9.8]",0.000313,33.1,"[28.4, 37.8]",1.86e-09,ret_colas,4.2,"[-1.5, 10.2]",0.309,no,0/3,5.5,4.5,PENDIENTE (no convergió; provisional: FALLA),no
P2,corredor_alta,2,1,3620,dqn,4042,3/3,124.662,1.105,-19.4,"[-20.3, -18.5]",1.86e-09,0.4,"[-1.7, 2.5]",0.44,ret_retraso,17.4,"[16.4, 18.4]",1.86e-09,si,3/3,-0.7,0.0,FUNCIONA,no
P2,corredor_alta,2,1,3620,ippo_local,42,3/3,119.428,0.799,-22.8,"[-23.3, -22.2]",1.86e-09,-3.8,"[-5.8, -1.9]",0.000872,ret_retraso,19.6,"[18.9, 20.2]",1.86e-09,si,2/3,4.8,2.5,FUNCIONA,no
P2,corredor_alta,2,1,3620,ippo_vecinos,2042,3/3,118.659,0.665,-23.3,"[-23.9, -22.7]",1.86e-09,-4.4,"[-6.3, -2.6]",0.000137,ret_retraso,19.9,"[19.1, 20.7]",1.86e-09,si,2/3,4.3,3.5,FUNCIONA,no
P2,corredor_alta,2,1,3620,ippo_spill,4042,3/3,119.616,1.231,-22.7,"[-23.4, -21.9]",1.86e-09,-3.6,"[-5.8, -1.5]",0.00501,ret_spill,17.0,"[16.0, 17.9]",1.86e-09,si,2/3,1.0,0.7,FUNCIONA,no
P2,corredor_alta,2,1,3620,mappo,42,3/3,121.242,1.338,-21.6,"[-22.6, -20.7]",1.86e-09,-2.3,"[-4.5, -0.1]",0.0687,ret_retraso,17.7,"[16.5, 18.8]",1.86e-09,si,3/3,3.3,2.0,FUNCIONA,no
P3,red,3,2,2150,actuado,,,21.480,0.123,-1.1,"[-1.7, -0.5]",0.00306,,,,,,,,,,,,MEJORA,si
P3,red,3,2,2150,ql,42,3/3,24.408,0.244,12.4,"[11.5, 13.6]",1.73e-06,13.6,"[12.5, 14.9]",1.73e-06,ret_retraso,-11.9,"[-13.3, -10.9]",1.86e-09,si,2/3,3.5,3.0,FALLA,si
P3,red,3,2,2150,sarsa,2042,3/3,24.152,0.105,11.2,"[10.6, 11.8]",1.73e-06,12.4,"[11.6, 13.2]",1.73e-06,ret_retraso,-10.6,"[-11.2, -9.9]",1.86e-09,si,3/3,-0.6,1.8,FALLA,si
P3,red,3,2,2150,ql_colas,42,3/3,23.809,0.142,9.6,"[8.9, 10.4]",1.73e-06,10.8,"[10.0, 11.7]",1.73e-06,ret_colas,3.0,"[2.0, 3.9]",5.14e-06,si,3/3,-2.2,1.3,FALLA,si
P3,red,3,2,2150,dqn,4042,3/3,21.322,0.100,-1.8,"[-2.4, -1.3]",1.36e-05,-0.7,"[-1.3, -0.2]",0.00545,ret_retraso,3.8,"[3.2, 4.3]",1.86e-09,si,3/3,-4.1,0.0,MEJORA,si
P3,red,3,2,2150,ippo_local,2042,3/3,22.212,0.162,2.3,"[1.5, 3.0]",4.07e-05,3.4,"[2.8, 4.0]",2.35e-06,ret_retraso,-1.1,"[-1.9, -0.2]",0.0427,si,3/3,-0.9,0.0,FALLA,si
P3,red,3,2,2150,ippo_vecinos,4042,3/3,19.811,0.114,-8.8,"[-9.3, -8.2]",1.73e-06,-7.8,"[-8.4, -7.2]",1.73e-06,ret_retraso,15.6,"[15.2, 16.0]",1.86e-09,si,3/3,-1.3,0.0,FUNCIONA,si
P3,red,3,2,2150,ippo_spill,4042,3/3,19.811,0.114,-8.8,"[-9.3, -8.2]",1.73e-06,-7.8,"[-8.4, -7.2]",1.73e-06,ret_spill,15.6,"[15.2, 16.0]",1.86e-09,si,3/3,-1.3,0.0,= vecinos (término de spill inactivo; FUNCIONA),si
P3,red,3,2,2150,mappo,4042,3/3,20.014,0.210,-7.8,"[-8.8, -6.8]",1.92e-06,-6.8,"[-7.7, -5.8]",2.85e-06,ret_retraso,14.1,"[12.5, 15.4]",1.86e-09,no,2/3,-6.1,0.2,PENDIENTE (no convergió; provisional: FUNCIONA),si
P4,red_alta,3,2,2580,actuado,,,30.038,0.900,-0.1,"[-1.4, 1.4]",0.869,,,,,,,,,,,,EMPATA,si
P4,red_alta,3,2,2580,ql,4042,3/3,33.029,0.992,9.9,"[8.0, 11.9]",1.86e-09,10.0,"[8.3, 11.7]",1.86e-09,ret_retraso,-11.2,"[-12.1, -10.4]",1.86e-09,no,2/3,-23.8,0.0,PENDIENTE (no convergió; provisional: FALLA),si
P4,red_alta,3,2,2580,sarsa,42,3/3,33.189,1.020,10.4,"[8.5, 12.4]",3.73e-09,10.5,"[8.6, 12.5]",1.86e-09,ret_retraso,-12.1,"[-13.3, -11.1]",1.86e-09,si,2/3,0.9,1.2,FALLA,si
P4,red_alta,3,2,2580,ql_colas,2042,3/3,33.002,0.912,9.8,"[8.4, 11.3]",1.86e-09,9.9,"[8.2, 11.5]",3.73e-09,ret_colas,6.4,"[5.3, 7.5]",5.59e-09,si,3/3,3.0,3.2,FALLA,si
P4,red_alta,3,2,2580,dqn,4042,3/3,29.036,1.023,-3.4,"[-4.7, -2.1]",4.41e-05,-3.3,"[-5.0, -1.5]",0.00233,ret_retraso,8.7,"[8.3, 9.1]",1.86e-09,si,2/3,-2.0,0.0,MEJORA,si
P4,red_alta,3,2,2580,ippo_local,2042,3/3,30.913,1.020,2.9,"[1.4, 4.4]",0.00124,2.9,"[1.2, 4.7]",0.00538,ret_retraso,-1.4,"[-2.7, -0.2]",0.0384,si,3/3,-0.2,3.1,FALLA,si
P4,red_alta,3,2,2580,ippo_vecinos,42,3/3,28.968,0.916,-3.6,"[-5.0, -2.3]",3.45e-05,-3.6,"[-4.8, -2.4]",2.6e-05,ret_retraso,9.2,"[8.5, 9.9]",1.86e-09,si,3/3,-3.9,1.4,MEJORA,si
P4,red_alta,3,2,2580,ippo_spill,42,3/3,28.968,0.916,-3.6,"[-5.0, -2.3]",3.45e-05,-3.6,"[-4.8, -2.4]",2.6e-05,ret_spill,9.2,"[8.5, 9.9]",1.86e-09,si,3/3,-3.9,1.4,= vecinos (término de spill inactivo; MEJORA),si
P4,red_alta,3,2,2580,mappo,2042,3/3,29.450,0.880,-2.0,"[-3.1, -0.9]",0.00225,-2.0,"[-3.3, -0.6]",0.0293,ret_retraso,5.5,"[4.7, 6.3]",3.73e-09,no,1/3,-6.7,0.0,PENDIENTE (no convergió; provisional: MEJORA),si
P5,malla3,9,2,4350,actuado,,,25.372,0.100,21.8,"[21.3, 22.3]",1.73e-06,,,,,,,,,,,,FALLA,no
P5,malla3,9,2,4350,ql,4042,3/3,29.690,0.091,42.5,"[42.0, 43.0]",1.73e-06,17.0,"[16.4, 17.6]",1.73e-06,ret_retraso,-34.1,"[-34.6, -33.6]",1.86e-09,si,3/3,0.7,0.8,FALLA,no
P5,malla3,9,2,4350,sarsa,42,3/3,29.182,0.090,40.0,"[39.5, 40.6]",1.73e-06,15.0,"[14.5, 15.5]",1.73e-06,ret_retraso,-31.2,"[-31.7, -30.7]",1.86e-09,si,3/3,-1.0,0.1,FALLA,no
P5,malla3,9,2,4350,ql_colas,,0/3,,,,,,,,,ret_colas,,,,,0/3,,,PENDIENTE (sin datos),no
P5,malla3,9,2,4350,dqn,4042,3/3,23.148,0.095,11.1,"[10.7, 11.4]",1.73e-06,-8.8,"[-9.2, -8.4]",1.73e-06,ret_retraso,-7.8,"[-8.0, -7.5]",1.86e-09,no,2/3,-5.5,0.0,PENDIENTE (no convergió; provisional: FALLA),no
P5,malla3,9,2,4350,ippo_local,4042,3/3,26.229,0.231,25.9,"[24.8, 27.0]",1.73e-06,3.4,"[2.5, 4.3]",6.34e-06,ret_retraso,-15.7,"[-16.8, -14.7]",1.86e-09,si,2/3,-2.2,0.4,FALLA,no
