brazo,metrica,n,media,sd,ic95,delta_pct,delta_ic95,p_wilcoxon,p_mannwhitney,cliff
fijo,timeloss_prom,10,31.857,2.124,1.52,,,,,
fijo,espera_prom,10,14.182,1.273,0.911,,,,,
fijo,cola_prom,10,7.268,0.605,0.433,,,,,
fijo,cola_max,10,24.1,2.885,2.064,,,,,
fijo,paradas_prom,10,1.033,0.06,0.043,,,,,
fijo,throughput,10,1754.9,5.322,3.807,,,,,
fijo,co2_prom,10,241.13,3.367,2.408,,,,,
fijo,nox_prom,10,83.16,1.195,0.855,,,,,
fijo,recompensa_decision,10,-3.825,0.34,0.243,,,,,
fijo,cambios_fase,10,266.2,1.874,1.34,,,,,
fijo,viaje_corredor_prom,10,125.506,3.802,2.72,,,,,
fijo,retraso_corredor_prom,10,42.566,3.777,2.702,,,,,
fijo,spillback_tasa,10,0.0,0.0,0.0,,,,,
fijo,cola_max_enlace,10,16.1,2.644,1.891,,,,,
actuado,timeloss_prom,10,20.911,0.348,0.249,-34.4,"[-36.6, -32.2]",0.00195,0.000183,-1.0
actuado,espera_prom,10,5.903,0.201,0.144,-58.4,"[-60.3, -56.5]",0.00195,0.000183,-1.0
actuado,cola_prom,10,3.316,0.097,0.07,-54.4,"[-56.3, -52.6]",0.00195,0.000182,-1.0
actuado,cola_max,10,16.7,1.418,1.014,-30.7,"[-35.1, -26.2]",0.00195,0.000137,-1.0
actuado,paradas_prom,10,0.829,0.025,0.018,-19.8,"[-21.7, -17.7]",0.00195,0.000183,-1.0
actuado,throughput,10,1766.5,1.78,1.273,0.7,"[0.5, 0.8]",0.00195,0.000164,1.0
actuado,co2_prom,10,221.59,0.824,0.589,-8.1,"[-8.8, -7.4]",0.00195,0.00018,-1.0
actuado,nox_prom,10,75.94,0.259,0.185,-8.7,"[-9.4, -8.0]",0.00195,0.000169,-1.0
actuado,recompensa_decision,10,-1.577,0.052,0.037,-58.8,"[-60.6, -57.0]",0.00195,0.000182,1.0
actuado,cambios_fase,10,459.3,5.832,4.172,72.5,"[70.9, 73.6]",0.00195,0.000168,1.0
actuado,viaje_corredor_prom,10,108.215,0.701,0.501,-13.8,"[-15.3, -12.4]",0.00195,0.000183,-1.0
actuado,retraso_corredor_prom,10,25.268,0.615,0.44,-40.6,"[-43.5, -37.8]",0.00195,0.000181,-1.0
actuado,spillback_tasa,10,0.0,0.0,0.0,,,,,
actuado,cola_max_enlace,10,7.2,0.632,0.452,-55.3,"[-60.1, -50.3]",0.00195,0.000141,-1.0
rl,timeloss_prom,10,33.856,2.322,1.661,6.3,"[1.3, 11.0]",0.0371,0.0757,0.48
rl,espera_prom,10,12.266,0.696,0.498,-13.5,"[-18.1, -9.3]",0.00195,0.000583,-0.92
rl,cola_prom,10,6.384,0.315,0.225,-12.2,"[-16.4, -8.4]",0.00195,0.000504,-0.93
rl,cola_max,10,22.4,2.319,1.659,-7.1,"[-14.8, 1.3]",0.23,0.283,-0.29
rl,paradas_prom,10,1.543,0.111,0.079,49.3,"[43.0, 55.9]",0.00195,0.000183,1.0
rl,throughput,10,1757.5,5.38,3.849,0.1,"[-0.1, 0.4]",0.367,0.21,0.34
rl,co2_prom,10,244.32,3.776,2.701,1.3,"[0.3, 2.2]",0.0371,0.0886,0.46
rl,nox_prom,10,83.81,1.278,0.915,0.8,"[-0.2, 1.7]",0.186,0.184,0.36
rl,recompensa_decision,10,-3.222,0.168,0.12,-15.8,"[-20.1, -11.9]",0.00195,0.000245,0.98
rl,cambios_fase,10,462.7,4.244,3.036,73.8,"[72.4, 75.2]",0.00195,0.000167,1.0
rl,viaje_corredor_prom,10,131.812,4.04,2.89,5.0,"[2.9, 7.0]",0.00391,0.00361,0.78
rl,retraso_corredor_prom,10,48.871,4.045,2.894,14.8,"[8.2, 21.0]",0.00391,0.00361,0.78
rl,spillback_tasa,10,0.0,0.0,0.0,,,,,
rl,cola_max_enlace,10,10.9,1.524,1.09,-32.3,"[-42.0, -21.3]",0.00195,0.000355,-0.95
