modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
train,1,43,1.0,1810,38.34,86.9,17.21,53,-15296.5,-9.304,1372,455,3.499,1695,325.9,113.3,133,4.883,,
train,2,44,0.9,1810,26.7,61.99,12.51,42,-10568.5,-6.638,1321,450,2.605,1714,288.8,99.9,150,4.7397,,
train,3,45,0.81,1810,32.89,85.29,15.33,47,-12931.4,-8.123,1313,464,3.548,1698,321.1,111.2,165,4.3876,,
train,4,46,0.729,1810,21.4,54.3,10.18,44,-8331.5,-5.273,1306,457,2.379,1722,275.5,95.0,172,5.2224,,
train,5,47,0.656,1810,13.08,34.42,6.77,21,-5111.7,-3.431,1223,447,1.516,1755,245.2,84.2,176,2.9265,24.74,8.19
train,6,48,0.59,1810,18.83,47.34,9.33,39,-7400.6,-4.856,1251,455,2.088,1739,266.6,91.8,179,3.9932,,
train,7,49,0.531,1810,16.74,42.04,8.43,28,-6585.2,-4.373,1239,444,1.786,1744,257.9,88.7,183,4.5266,,
train,8,50,0.478,1810,14.26,37.35,7.28,26,-5584.1,-3.723,1230,450,1.677,1754,250.3,86.0,185,3.6427,,
train,9,51,0.43,1810,20.55,55.86,10.19,30,-7999.7,-5.27,1247,452,2.402,1724,278.2,95.7,188,4.7261,,
train,10,52,0.387,1810,14.72,40.19,7.48,24,-5735.8,-3.819,1229,456,1.785,1754,254.4,87.4,192,4.2198,30.09,10.9
train,11,53,0.349,1810,14.05,37.3,7.29,29,-5487.7,-3.708,1206,456,1.655,1768,250.0,85.9,193,3.4998,,
train,12,54,0.314,1810,9.69,26.84,5.15,19,-3823.2,-2.569,1224,442,1.146,1764,231.9,79.6,193,2.5697,,
train,13,55,0.282,1810,11.35,30.7,5.91,19,-4432.2,-2.979,1211,461,1.359,1756,239.6,82.2,194,2.8006,,
train,14,56,0.254,1810,11.55,30.45,6.02,25,-4559.3,-3.06,1212,466,1.33,1757,239.0,82.0,194,2.7875,,
train,15,57,0.229,1810,13.02,35.3,6.75,23,-5042.0,-3.398,1201,472,1.64,1762,247.3,84.8,195,2.7615,30.45,10.74
train,16,58,0.206,1810,11.81,31.78,6.18,23,-4599.6,-3.099,1213,450,1.391,1762,241.1,82.7,196,2.9503,,
train,17,59,0.185,1810,9.41,27.17,5.03,17,-3709.3,-2.503,1205,462,1.215,1765,233.0,79.9,196,2.7383,,
train,18,60,0.167,1810,10.79,29.16,5.7,18,-4199.9,-2.845,1197,465,1.278,1758,236.6,81.2,197,2.5015,,
train,19,61,0.15,1810,9.93,28.32,5.27,20,-3898.8,-2.631,1206,462,1.251,1765,234.8,80.5,197,3.854,,
train,20,62,0.135,1810,10.06,29.06,5.3,25,-3921.6,-2.643,1201,472,1.31,1753,236.0,81.0,197,3.2485,23.89,7.91
train,21,63,0.122,1810,10.94,30.29,5.75,21,-4266.6,-2.879,1207,459,1.373,1753,238.6,81.9,197,2.6435,,
train,22,64,0.109,1810,10.87,27.97,5.75,19,-4338.1,-2.927,1230,420,1.16,1757,233.8,80.4,198,2.6277,,
train,23,65,0.098,1810,10.87,30.6,5.7,21,-4253.4,-2.855,1207,470,1.386,1752,239.1,82.0,201,3.084,,
train,24,66,0.089,1810,13.27,37.55,6.8,21,-5177.1,-3.447,1224,464,1.669,1739,249.9,85.8,201,3.2161,,
train,25,67,0.08,1810,9.9,27.95,5.28,19,-3886.7,-2.63,1213,441,1.219,1766,233.7,80.2,201,3.2401,30.14,12.26
train,26,68,0.072,1810,10.02,27.77,5.29,17,-3920.9,-2.642,1213,452,1.206,1759,233.5,80.2,201,2.8693,,
train,27,69,0.065,1810,9.08,26.39,4.86,18,-3589.6,-2.422,1205,464,1.136,1768,231.8,79.4,201,2.3627,,
train,28,70,0.058,1810,10.55,30.55,5.56,18,-4100.7,-2.771,1202,462,1.424,1761,238.0,81.7,201,2.832,,
train,29,71,0.052,1810,12.95,38.56,6.65,25,-5053.7,-3.378,1228,448,1.749,1741,250.2,85.9,201,4.3092,,
train,30,72,0.05,1810,14.94,42.91,7.62,29,-5794.2,-3.868,1229,448,1.959,1732,257.5,88.5,203,5.2689,27.97,9.69
train,31,73,0.05,1810,9.07,26.17,4.88,19,-3585.7,-2.426,1211,444,1.119,1764,230.3,79.0,203,3.2542,,
train,32,74,0.05,1810,10.78,32.18,5.71,22,-4201.6,-2.843,1203,458,1.448,1767,240.7,82.5,203,3.5712,,
train,33,75,0.05,1810,9.12,26.34,4.89,17,-3591.3,-2.427,1200,466,1.148,1766,232.0,79.5,203,2.6301,,
train,34,76,0.05,1810,9.13,26.81,4.9,18,-3592.5,-2.427,1202,463,1.183,1765,232.3,79.6,203,2.968,,
train,35,77,0.05,1810,9.89,28.43,5.23,19,-3866.7,-2.609,1217,444,1.249,1751,234.9,80.5,203,2.8918,24.34,7.98
train,36,78,0.05,1810,9.43,26.78,5.01,20,-3696.5,-2.488,1215,451,1.173,1763,231.9,79.6,203,3.3801,,
train,37,79,0.05,1810,8.86,26.24,4.76,18,-3466.7,-2.346,1210,447,1.156,1768,230.7,79.1,203,1.8041,,
train,38,80,0.05,1810,9.29,27.02,4.96,18,-3627.9,-2.448,1210,455,1.199,1761,232.6,79.8,204,3.0076,,
train,39,81,0.05,1810,10.25,29.0,5.4,19,-4008.6,-2.698,1212,456,1.291,1755,236.2,81.0,204,3.3954,,
train,40,82,0.05,1810,10.6,29.29,5.59,19,-4165.6,-2.807,1215,448,1.271,1759,236.5,81.1,204,2.6657,30.14,10.81
baseline,0,42,0,1810,14.04,31.39,7.22,27,-5663.5,-3.806,1488,265,1.01,1756,240.2,82.8,,0.0,,
actuado,0,42,0,1810,6.08,21.22,3.42,17,-2438.9,-1.65,1478,454,0.826,1767,222.5,76.2,,0.0,,
baseline,0,42,0,1810,14.04,31.39,7.22,27,-5663.5,-3.806,1488,265,1.01,1756,240.2,82.8,,0.0,,
