modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
baseline,0,42,0,3620,64.97,157.82,46.13,95,-51051.6,-24.758,2062,448,6.477,2931,438.9,153.8,,0.0,,
actuado,0,42,0,3620,84.7,134.72,56.29,161,-78251.5,-35.666,2194,262,3.006,2811,404.7,144.4,,0.0,,
train,1,43,1.0,3529,86.56,212.01,51.37,111,-67183.2,-28.016,2002,660,8.344,2641,504.1,177.8,274,10.9428,,
train,2,44,0.9,3579,80.75,207.79,48.63,119,-63283.2,-26.39,1991,680,8.282,2631,497.2,174.8,364,11.9887,,
train,3,45,0.81,3620,67.82,191.94,41.38,116,-53144.0,-22.162,1992,678,7.859,2695,474.5,166.1,408,13.4766,,
train,4,46,0.729,3602,66.58,184.27,40.42,96,-51877.8,-21.634,1988,685,7.54,2716,464.5,162.5,448,11.2832,,
train,5,47,0.656,3620,65.17,182.31,39.75,109,-51248.9,-21.372,2000,665,7.539,2737,466.3,163.2,474,13.9038,155.54,60.41
train,6,48,0.59,3620,59.52,178.22,36.85,99,-46549.9,-19.658,1975,654,7.215,2775,458.9,159.8,491,14.3711,,
train,7,49,0.531,3620,63.32,186.3,38.64,89,-49368.8,-20.587,1996,672,7.772,2729,468.4,163.7,520,11.4026,,
train,8,50,0.478,3620,55.53,163.34,34.69,87,-43342.4,-18.459,1956,652,6.721,2825,438.6,152.6,530,10.3947,,
train,9,51,0.43,3620,62.44,181.0,38.11,110,-48855.5,-20.373,1988,686,7.5,2754,462.3,161.4,538,14.2451,,
train,10,52,0.387,3620,58.67,176.44,36.16,95,-45905.7,-19.304,1975,671,7.212,2779,455.6,158.9,554,15.5513,169.61,63.92
train,11,53,0.349,3620,60.52,176.23,37.92,118,-47791.6,-20.441,1955,639,6.983,2773,455.2,159.0,562,17.1466,,
train,12,54,0.314,3620,55.01,171.65,35.2,96,-43030.2,-18.774,1922,616,7.023,2807,448.9,156.3,568,16.9803,,
train,13,55,0.282,3620,59.7,178.44,37.34,122,-47122.8,-20.121,1965,630,7.18,2799,458.7,160.1,577,17.2863,,
train,14,56,0.254,3620,51.31,162.07,31.97,91,-40173.2,-17.051,1953,673,6.582,2777,434.1,151.1,585,15.7108,,
train,15,57,0.229,3620,51.47,167.37,32.18,94,-40254.4,-17.13,1956,656,6.728,2794,441.5,153.4,594,17.6866,173.82,54.56
train,16,58,0.206,3620,60.2,183.91,38.6,114,-47190.9,-20.662,1912,620,7.435,2738,466.0,162.5,615,16.7445,,
train,17,59,0.185,3620,55.47,169.89,35.49,106,-43596.9,-19.021,1925,612,6.967,2807,445.9,155.5,621,14.7223,,
train,18,60,0.167,3620,59.86,179.64,37.91,101,-47217.0,-20.423,1940,622,7.177,2776,460.8,160.8,635,16.6312,,
train,19,61,0.15,3620,57.92,175.45,37.78,105,-45180.3,-20.098,1886,602,7.148,2798,455.8,158.7,642,15.11,,
train,20,62,0.135,3620,54.47,167.83,34.49,111,-42789.9,-18.46,1946,619,6.728,2808,441.9,153.8,649,15.5328,156.02,60.51
train,21,63,0.122,3620,50.63,155.72,33.6,94,-39645.6,-17.907,1857,594,6.426,2812,427.5,148.3,656,15.8806,,
train,22,64,0.109,3620,60.49,178.57,38.39,107,-47596.1,-20.622,1936,620,7.243,2779,459.4,160.4,665,15.7768,,
train,23,65,0.098,3620,64.66,185.45,40.25,117,-51023.1,-21.712,1969,636,7.48,2753,469.4,164.4,667,20.0522,,
train,24,66,0.089,3620,66.08,186.79,42.31,124,-52220.4,-22.884,1934,580,7.374,2716,470.4,164.6,672,14.7174,,
train,25,67,0.08,3620,56.11,177.39,35.64,92,-43993.6,-19.061,1935,622,7.165,2748,454.8,158.3,676,18.3131,175.29,61.76
train,26,68,0.072,3620,58.34,175.54,36.01,107,-46103.5,-19.42,1979,658,7.041,2777,453.9,158.3,677,23.8808,,
train,27,69,0.065,3620,63.58,196.62,38.8,107,-49733.2,-20.739,1996,672,7.936,2732,481.3,168.2,680,23.7212,,
train,28,70,0.058,3620,60.53,178.02,39.55,125,-47828.5,-21.333,1883,598,6.99,2767,456.7,159.4,685,20.7961,,
train,29,71,0.052,3620,64.68,183.02,42.81,108,-51133.7,-23.137,1862,580,7.424,2795,468.4,163.8,689,20.0746,,
train,30,72,0.05,3620,58.94,176.79,38.01,100,-46491.5,-20.481,1903,612,6.918,2789,455.8,158.7,692,16.6914,191.77,78.64
train,31,73,0.05,3620,61.49,184.7,39.23,121,-48103.9,-20.988,1946,579,7.49,2744,467.9,163.4,694,20.7585,,
train,32,74,0.05,3620,57.73,169.47,36.29,110,-45586.9,-19.565,1979,586,6.637,2818,446.3,155.4,698,16.3754,,
train,33,75,0.05,3620,58.83,167.19,38.33,109,-46858.2,-20.826,1898,588,6.393,2873,445.7,155.1,705,20.2772,,
train,34,76,0.05,3620,62.31,181.22,40.23,109,-49368.2,-21.767,1899,615,7.245,2783,463.8,162.0,707,16.0558,,
train,35,77,0.05,3620,55.64,170.01,35.87,131,-43801.7,-19.262,1894,635,6.841,2790,447.4,155.7,709,23.7582,170.79,68.51
train,36,78,0.05,3620,57.43,174.51,36.74,106,-44907.8,-19.628,1899,650,7.186,2747,452.9,158.0,710,21.6661,,
train,37,79,0.05,3620,55.79,168.58,36.42,125,-44103.9,-19.637,1886,600,6.683,2787,444.1,154.6,712,23.3247,,
train,38,80,0.05,3620,57.51,178.77,35.94,105,-45477.8,-19.385,1958,645,7.031,2738,457.3,159.3,715,25.6198,,
train,39,81,0.05,3620,52.21,172.35,32.96,103,-40926.8,-17.595,1919,677,6.929,2789,447.9,155.6,715,22.0104,,
train,40,82,0.05,3620,57.17,184.34,36.79,125,-45061.9,-19.781,1894,638,7.344,2741,465.2,162.0,719,21.1966,178.29,57.24
