variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
spill,42,1,43,1.00e-03,18.4,3545,80.12,207.26,47.81,103,-62194.4,-25.936,-75.886,1997,1320,674,8.186,2616,495.0,174.1,130,0.0,1,1,34,37,410.86,332.15,362.67,13.108,0.008,111,431.0,-0.0041,24.1541,0.6807,0.0083,0.0648,,
spill,42,2,44,9.95e-04,16.9,3541,83.62,190.77,49.81,147,-66340.5,-27.665,-69.992,2027,1394,625,7.201,2667,474.1,167.5,133,0.0081,29,2,38,38,391.02,312.4,364.16,11.727,0.032,134,607.4,-0.0126,4.4368,0.6637,0.009,0.1421,,
spill,42,3,45,9.90e-04,18.7,3620,72.36,177.18,44.11,105,-57811.2,-24.108,-64.83,2043,1437,597,6.835,2802,460.3,161.6,40,0.0,8,2,35,38,349.56,267.42,300.35,10.254,0.039,82,267.8,-0.0116,2.317,0.6162,0.0091,0.1327,,
spill,42,4,46,9.85e-04,18.7,3620,84.43,191.39,52.87,144,-69108.8,-29.66,-72.255,2010,1456,538,7.01,2817,483.9,171.0,0,0.0,0,0,30,37,299.24,216.45,244.37,8.381,0.096,82,290.6,-0.0051,1.8529,0.583,0.0043,0.0509,,
spill,42,5,47,9.80e-04,19.6,3620,83.3,183.7,52.72,123,-68717.6,-29.799,-69.5,2015,1502,489,6.442,2811,472.9,167.1,0,0.0,10,1,37,37,288.91,206.28,232.36,7.822,0.116,66,249.0,-0.0054,1.5984,0.5348,0.0064,0.0793,,
spill,42,6,48,9.75e-04,22.1,3620,78.33,182.95,51.93,118,-63679.3,-28.919,-71.885,1914,1410,485,6.72,2842,471.9,166.3,0,0.0,0,0,27,37,284.69,201.64,223.44,7.873,0.118,36,55.0,-0.0129,1.4254,0.5123,0.0062,0.0864,,
spill,42,7,49,9.70e-04,22.6,3620,77.17,175.06,50.15,131,-63142.1,-28.088,-67.929,1959,1456,485,6.123,2863,460.5,161.9,0,0.0033,27,2,37,37,282.25,199.4,229.5,7.286,0.112,75,422.8,-0.0093,1.5293,0.4852,0.0065,0.0876,,
spill,42,8,50,9.65e-04,16.7,3620,89.44,180.88,60.71,150,-73829.9,-34.371,-72.726,1907,1479,404,6.125,2834,471.7,167.4,0,0.0,0,0,31,38,263.77,180.89,203.21,6.719,0.127,84,254.8,-0.0079,1.2116,0.4598,0.0046,0.0737,,
spill,42,9,51,9.60e-04,17.6,3620,92.1,183.06,61.81,155,-77081.5,-35.521,-73.362,1933,1515,401,6.128,2808,475.6,168.9,0,0.0,0,0,33,37,277.67,194.54,215.0,6.99,0.125,103,358.0,-0.0066,1.623,0.4573,0.0054,0.0746,,
spill,42,10,52,9.55e-04,17.1,3620,77.59,159.85,52.52,138,-63854.9,-29.617,-63.497,1930,1524,381,5.447,2830,439.8,155.5,0,0.0,14,2,37,37,269.34,186.23,206.58,6.739,0.176,108,465.2,-0.0082,1.217,0.4221,0.007,0.0916,167.51,98.87
spill,42,11,53,9.50e-04,17.1,3620,80.45,157.6,53.92,155,-67096.0,-30.835,-62.652,1958,1561,367,5.032,2822,437.3,154.9,0,0.0014,11,2,36,37,272.47,189.51,209.48,6.295,0.177,158,772.6,-0.0038,1.8132,0.4057,0.0064,0.0779,,
spill,42,12,54,9.45e-04,16.8,3620,77.85,152.31,52.25,150,-64508.7,-29.673,-60.175,1962,1587,358,4.92,2851,431.2,152.5,0,0.0,8,1,36,37,276.27,193.49,210.88,6.632,0.15,157,688.4,-0.0031,1.4109,0.3653,0.0047,0.0594,,
spill,42,13,55,9.40e-04,17.8,3620,83.26,165.29,54.12,148,-68473.0,-30.541,-63.012,2022,1632,370,5.515,2795,449.7,159.4,0,0.0,0,0,33,38,298.84,215.97,240.46,7.529,0.115,171,669.6,-0.006,1.3673,0.3547,0.0069,0.0807,,
