variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
vecinos,42,1,43,1.00e-03,26.2,3545,80.12,207.26,47.81,103,-62194.4,-25.936,-75.454,1997,1320,674,8.186,2616,495.0,174.1,130,0.0,1,1,34,37,410.86,332.15,362.67,13.108,0.008,0,0.0,-0.0038,23.7002,0.6811,0.008,0.0622,,
vecinos,42,2,44,9.95e-04,21.4,3531,84.21,192.11,50.0,147,-66580.8,-27.765,-69.733,2025,1391,628,7.338,2667,476.4,168.5,128,0.0081,29,2,38,38,394.55,315.73,367.7,11.998,0.037,0,0.0,-0.0154,4.1461,0.6647,0.01,0.1669,,
vecinos,42,3,45,9.90e-04,20.6,3620,75.52,186.6,46.02,129,-60545.7,-25.248,-68.142,2042,1433,599,6.991,2786,473.7,166.2,35,0.0,2,2,34,37,341.59,259.28,301.99,9.787,0.081,0,0.0,-0.0081,2.1049,0.6328,0.0049,0.0572,,
vecinos,42,4,46,9.85e-04,20.1,3620,78.2,180.84,47.62,142,-63095.6,-26.312,-66.093,2052,1463,583,6.669,2775,464.2,163.8,61,0.0033,12,1,38,38,323.28,242.04,277.7,9.181,0.071,0,0.0,-0.0065,1.6155,0.5894,0.008,0.1244,,
vecinos,42,5,47,9.80e-04,18.7,3620,95.34,205.09,60.6,180,-78564.5,-34.278,-78.293,1994,1477,500,7.319,2787,505.6,179.4,0,0.0069,27,5,37,38,297.5,214.85,240.18,8.146,0.121,0,0.0,-0.0103,2.489,0.5574,0.0081,0.0939,,
vecinos,42,6,48,9.75e-04,23.6,3620,84.42,187.28,56.25,158,-69363.6,-31.673,-73.637,1927,1456,442,6.552,2843,477.7,168.8,0,0.0,0,0,31,38,280.89,197.84,220.7,7.334,0.148,0,0.0,-0.0091,1.6703,0.462,0.0108,0.1089,,
vecinos,42,7,49,9.70e-04,20.5,3620,80.65,168.47,54.57,144,-66515.8,-30.851,-66.826,1919,1488,401,5.674,2867,453.1,160.2,0,0.0,10,1,36,37,264.3,181.43,197.89,6.483,0.136,0,0.0,-0.0091,1.2601,0.4259,0.0074,0.0999,,
vecinos,42,8,50,9.65e-04,16.8,3620,75.55,163.04,51.89,122,-62046.0,-29.184,-65.255,1894,1468,391,5.556,2867,443.4,156.5,0,0.0,0,0,32,38,268.48,185.6,207.47,6.788,0.165,0,0.0,-0.0054,1.1802,0.4389,0.0045,0.0617,,
vecinos,42,9,51,9.60e-04,16.8,3620,80.72,165.59,55.6,141,-66932.5,-31.602,-66.538,1902,1496,365,5.399,2855,448.1,158.3,0,0.0,0,0,32,37,268.8,185.67,206.76,6.425,0.15,0,0.0,-0.012,1.3042,0.4503,0.0067,0.0845,,
vecinos,42,10,52,9.55e-04,17.2,3620,78.4,155.95,52.41,152,-65366.2,-29.93,-60.955,1964,1550,369,5.038,2829,433.2,153.3,0,0.0006,2,1,34,37,272.05,188.93,213.8,6.236,0.199,0,0.0,-0.0062,1.3851,0.3802,0.0057,0.0781,153.87,94.62
