variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,4042,1,4043,1.00e-03,8.4,1810,29.29,70.85,13.94,49,-11591.0,-7.421,-19.809,1306,872,431,2.899,1723,301.9,104.4,0,0.0,0,0,23,35,198.22,115.54,148.91,4.775,0.22,0,0.0,-0.007,1.8735,0.6832,0.0065,0.0705,,
local,4042,2,4044,9.95e-04,8.7,1810,27.91,61.59,13.48,47,-11131.8,-7.228,-17.353,1305,904,397,2.479,1731,289.8,100.2,0,0.0,0,0,29,34,179.71,96.66,122.71,3.956,0.176,0,0.0,-0.027,0.6861,0.6487,0.013,0.2318,,
local,4042,3,4045,9.90e-04,8.2,1810,15.06,36.49,7.53,26,-6049.5,-3.959,-10.018,1306,921,376,1.446,1751,247.2,85.2,0,0.0,0,0,19,32,130.54,47.42,57.05,2.0,0.494,0,0.0,-0.0204,0.3418,0.5899,0.0078,0.1561,,
local,4042,4,4046,9.85e-04,7.8,1810,12.31,28.66,6.35,24,-5005.2,-3.355,-7.972,1286,928,349,1.02,1752,233.0,80.4,0,0.0,0,0,15,19,113.85,30.83,33.84,1.171,0.685,0,0.0,-0.0075,0.188,0.5691,0.0045,0.0632,,
local,4042,5,4047,9.80e-04,8.6,1810,9.85,25.18,5.22,17,-3963.2,-2.681,-7.005,1265,902,360,0.923,1765,227.9,78.5,0,0.0,0,0,11,16,109.87,27.11,28.84,1.068,0.742,0,0.0,-0.0073,0.0971,0.5232,0.0071,0.0876,,
local,4042,6,4048,9.75e-04,7.8,1810,10.21,25.63,5.4,21,-4104.4,-2.769,-7.12,1266,900,363,0.95,1767,228.2,78.6,0,0.0,0,0,10,15,109.88,26.88,29.17,1.046,0.739,0,0.0,-0.0056,0.0773,0.4984,0.005,0.0786,,
local,4042,7,4049,9.70e-04,8.2,1810,9.96,25.03,5.24,19,-4003.1,-2.694,-6.863,1278,927,349,0.912,1763,226.4,78.0,0,0.0,0,0,8,14,107.99,25.07,27.17,0.987,0.779,0,0.0,-0.0036,0.0687,0.4877,0.0036,0.0557,,
local,4042,8,4050,9.65e-04,7.3,1810,9.15,24.59,4.89,16,-3675.3,-2.487,-6.793,1257,880,374,0.919,1766,226.5,77.9,0,0.0,0,0,10,15,108.98,26.3,28.65,0.998,0.762,0,0.0,-0.0068,0.0651,0.4528,0.0052,0.0761,,
local,4042,9,4051,9.60e-04,8.5,1810,8.86,23.67,4.74,17,-3560.7,-2.403,-6.501,1263,893,368,0.881,1769,224.5,77.3,0,0.0,0,0,8,13,107.53,24.66,26.25,0.947,0.784,0,0.0,-0.0008,0.0564,0.4126,0.004,0.0471,,
local,4042,10,4052,9.55e-04,7.3,1810,9.02,24.61,4.83,17,-3588.5,-2.428,-6.779,1254,873,379,0.956,1766,226.7,78.0,0,0.0,0,0,11,18,108.9,26.34,29.02,1.085,0.754,0,0.0,-0.0007,0.0813,0.3948,0.0029,0.0362,23.14,8.79
local,4042,11,4053,9.50e-04,7.5,1810,8.95,24.05,4.74,15,-3558.1,-2.394,-6.58,1264,889,373,0.904,1765,225.4,77.5,0,0.0,0,0,7,14,107.71,24.73,26.09,0.96,0.775,0,0.0,-0.0022,0.0537,0.4096,0.0037,0.0512,,
