variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
spill,42,1,43,1.00e-03,11.8,1810,46.09,110.42,20.82,55,-18294.0,-11.237,-30.372,1354,889,462,4.444,1683,360.7,125.8,0,0.0,0,0,30,38,272.0,189.3,246.1,7.612,0.161,44,177.6,-0.0058,3.9589,0.6818,0.0077,0.076,,
spill,42,2,44,9.95e-04,9.1,1810,30.09,70.58,14.2,41,-11941.7,-7.577,-19.701,1316,876,436,2.903,1720,302.3,104.6,0,0.0,0,0,24,34,197.64,114.81,147.21,4.78,0.196,24,48.0,-0.0197,0.8133,0.6572,0.0113,0.2031,,
spill,42,3,45,9.90e-04,7.8,1810,22.45,54.94,10.8,59,-8935.8,-5.728,-15.331,1305,867,429,2.28,1718,276.7,95.5,0,0.0,0,0,20,35,167.5,84.7,108.22,3.575,0.329,1,0.8,-0.0187,0.6557,0.6112,0.0111,0.1943,,
spill,42,4,46,9.85e-04,8.5,1810,15.02,37.87,7.68,27,-5965.6,-3.998,-10.668,1267,878,379,1.538,1755,249.2,85.9,0,0.0,0,0,20,33,133.85,51.01,62.05,2.204,0.456,1,0.4,-0.015,0.3515,0.5532,0.0087,0.1445,,
spill,42,5,47,9.80e-04,8.1,1810,12.39,29.57,6.48,23,-5090.2,-3.439,-8.305,1271,904,355,1.089,1757,235.5,81.2,0,0.0,0,0,14,21,115.2,32.7,37.26,1.311,0.62,0,0.0,-0.0142,0.2055,0.5572,0.0132,0.1561,,
spill,42,6,48,9.75e-04,8.4,1810,10.45,27.56,5.48,21,-4175.3,-2.802,-7.701,1258,862,391,1.104,1764,231.8,79.8,0,0.0,0,0,11,21,114.97,32.14,36.99,1.36,0.64,0,0.0,-0.0115,0.1354,0.525,0.0085,0.1054,,
spill,42,7,49,9.70e-04,8.1,1810,8.94,24.49,4.77,17,-3586.7,-2.417,-6.786,1252,858,391,0.939,1762,226.5,77.9,0,0.0,0,0,8,14,109.85,27.1,29.31,1.068,0.738,0,0.0,-0.0095,0.0922,0.4666,0.0085,0.0972,,
spill,42,8,50,9.65e-04,7.5,1810,8.83,23.8,4.71,18,-3526.2,-2.383,-6.573,1253,866,384,0.902,1764,225.3,77.5,0,0.0,0,0,8,13,108.26,25.29,26.99,0.988,0.784,0,0.0,-0.006,0.0618,0.4526,0.0074,0.099,,
spill,42,9,51,9.60e-04,9.1,1810,8.49,23.29,4.57,18,-3419.8,-2.308,-6.397,1266,900,363,0.829,1764,223.8,77.0,0,0.0,0,0,10,14,107.48,24.37,26.61,0.856,0.832,0,0.0,-0.0064,0.0555,0.4202,0.006,0.07,,
spill,42,10,52,9.55e-04,7.7,1810,8.16,22.78,4.41,17,-3287.7,-2.221,-6.271,1266,901,362,0.796,1762,223.1,76.7,0,0.0,0,0,7,15,106.09,22.87,24.46,0.778,0.864,0,0.0,-0.0044,0.0529,0.3632,0.006,0.0819,21.26,7.52
spill,42,11,53,9.50e-04,8.2,1810,7.63,21.63,4.15,15,-3054.0,-2.072,-5.925,1253,877,374,0.765,1766,220.7,76.0,0,0.0,0,0,8,15,103.78,20.95,21.83,0.702,0.9,0,0.0,-0.0061,0.0465,0.3063,0.0095,0.0773,,
spill,42,12,54,9.45e-04,10.0,1810,6.97,20.74,3.83,14,-2799.5,-1.894,-5.726,1240,837,400,0.744,1767,219.4,75.5,0,0.0,0,0,7,13,104.08,21.27,22.32,0.738,0.924,0,0.0,-0.0035,0.0379,0.263,0.006,0.0584,,
spill,42,13,55,9.40e-04,11.1,1810,7.17,21.04,3.93,13,-2864.9,-1.941,-5.787,1246,853,390,0.754,1764,219.4,75.5,0,0.0,0,0,6,12,103.77,20.89,21.88,0.695,0.927,0,0.0,-0.0013,0.0389,0.2333,0.0031,0.0397,,
spill,42,14,56,9.35e-04,7.6,1810,7.34,21.08,3.97,13,-2922.0,-1.966,-5.73,1264,887,375,0.733,1770,219.1,75.4,0,0.0,0,0,5,12,103.53,20.41,21.43,0.656,0.939,0,0.0,0.0005,0.0369,0.2178,0.0019,0.0234,,
spill,42,15,57,9.30e-04,6.8,1810,7.87,22.11,4.24,15,-3116.0,-2.111,-6.078,1250,864,383,0.814,1767,221.6,76.3,0,0.0,0,0,8,15,104.96,22.23,23.63,0.782,0.878,0,0.0,0.0005,0.0459,0.1913,0.0039,0.0353,,
spill,42,16,58,9.25e-04,9.3,1810,7.9,22.25,4.25,14,-3135.8,-2.122,-6.118,1250,864,384,0.8,1769,221.5,76.2,0,0.0,0,0,7,13,105.08,21.87,23.21,0.728,0.915,0,0.0,0.0008,0.0414,0.1911,0.0027,0.0299,,
spill,42,17,59,9.20e-04,7.9,1810,7.17,20.91,3.93,14,-2856.2,-1.938,-5.739,1248,863,382,0.764,1765,219.2,75.5,0,0.0,0,0,7,14,103.43,20.84,21.96,0.714,0.905,0,0.0,-0.0036,0.0375,0.1879,0.0045,0.0409,,
spill,42,18,60,9.15e-04,7.1,1810,7.31,21.27,4.01,17,-2899.5,-1.967,-5.861,1247,861,384,0.751,1764,220.1,75.7,0,0.0,0,0,8,15,104.25,21.09,22.6,0.701,0.928,0,0.0,-0.0005,0.0413,0.1595,0.0026,0.027,,
spill,42,19,61,9.10e-04,6.8,1810,6.96,20.65,3.81,14,-2774.8,-1.875,-5.623,1253,866,385,0.711,1765,218.6,75.2,0,0.0,0,0,6,12,103.48,20.39,21.56,0.64,0.954,0,0.0,-0.0008,0.0309,0.1261,0.0026,0.0206,,
spill,42,20,62,9.05e-04,6.8,1810,7.61,21.4,4.13,13,-3034.2,-2.053,-5.882,1251,864,384,0.751,1765,219.8,75.7,0,0.0,0,0,7,14,103.55,20.51,21.9,0.669,0.936,0,0.0,-0.0019,0.0388,0.1371,0.0036,0.0287,22.4,8.3
spill,42,21,63,9.00e-04,6.7,1810,7.43,21.2,4.02,13,-2945.8,-1.99,-5.774,1255,872,380,0.741,1762,219.6,75.6,0,0.0,0,0,6,11,103.65,20.83,21.6,0.669,0.933,0,0.0,-0.0035,0.0332,0.1807,0.0055,0.0411,,
spill,42,22,64,8.95e-04,7.0,1810,7.2,21.03,3.92,14,-2885.3,-1.952,-5.717,1258,883,372,0.735,1769,219.3,75.5,0,0.0,0,0,5,12,103.6,20.75,21.78,0.669,0.931,0,0.0,-0.0014,0.0343,0.2291,0.0034,0.0339,,
spill,42,23,65,8.90e-04,6.7,1810,7.44,21.4,4.06,15,-2975.7,-2.016,-5.875,1255,878,374,0.77,1770,220.0,75.7,0,0.0,0,0,7,13,104.35,21.58,23.31,0.712,0.922,0,0.0,0.0021,0.0404,0.2082,0.0054,0.0457,,
spill,42,24,66,8.85e-04,6.9,1810,8.1,22.63,4.37,17,-3207.7,-2.173,-6.189,1261,894,364,0.801,1766,222.1,76.4,0,0.0,0,0,9,14,106.28,23.15,24.48,0.78,0.862,0,0.0,-0.0012,0.0458,0.2309,0.0086,0.0702,,
spill,42,25,67,8.80e-04,6.7,1810,7.97,22.25,4.26,18,-3140.3,-2.119,-6.071,1264,892,370,0.813,1764,221.9,76.4,0,0.0,0,0,8,15,105.14,22.33,23.32,0.775,0.854,0,0.0,-0.0033,0.0416,0.2285,0.0068,0.0612,,
spill,42,26,68,8.75e-04,6.7,1810,7.55,21.59,4.11,14,-3017.8,-2.045,-5.897,1252,874,376,0.765,1770,220.4,75.9,0,0.0,0,0,8,13,103.81,21.2,22.27,0.718,0.906,0,0.0,-0.0009,0.0389,0.2324,0.0057,0.0539,,
spill,42,27,69,8.70e-04,7.4,1810,7.84,22.35,4.23,18,-3120.5,-2.108,-6.104,1255,870,382,0.807,1768,222.5,76.5,0,0.0,0,0,7,15,106.03,22.84,24.1,0.799,0.889,0,0.0,-0.0033,0.039,0.23,0.0044,0.0465,,
spill,42,28,70,8.65e-04,7.3,1810,7.21,20.88,3.95,14,-2884.1,-1.951,-5.75,1251,865,384,0.74,1767,218.9,75.4,0,0.0,0,0,6,14,103.23,20.11,21.42,0.665,0.942,0,0.0,0.002,0.0355,0.2154,0.002,0.0276,,
