variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
vecinos,4042,1,4043,1.00e-03,7.8,1810,34.77,82.44,15.64,55,-13875.3,-8.43,-22.074,1375,918,455,3.331,1687,317.4,110.3,0,0.0,0,0,31,37,219.44,136.78,179.0,5.558,0.215,0,0.0,-0.008,2.7237,0.6798,0.0086,0.0811,,
vecinos,4042,2,4044,9.95e-04,6.0,1810,27.43,58.68,13.0,38,-10974.7,-6.972,-16.213,1335,929,402,2.31,1720,284.8,98.5,0,0.0,0,0,23,33,175.92,92.87,116.69,3.722,0.186,0,0.0,-0.0265,0.5047,0.6598,0.0119,0.233,,
vecinos,4042,3,4045,9.90e-04,5.5,1810,15.27,38.39,7.84,37,-6072.6,-4.092,-10.899,1261,881,374,1.526,1753,250.5,86.2,0,0.0,0,0,26,33,135.55,52.43,63.19,2.158,0.434,0,0.0,-0.0202,0.3314,0.6029,0.0094,0.1729,,
vecinos,4042,4,4046,9.85e-04,5.9,1810,14.56,34.37,7.45,25,-5855.8,-3.925,-9.555,1289,934,341,1.305,1752,243.5,84.0,0,0.0,0,0,18,26,125.43,42.42,50.38,1.725,0.524,0,0.0,-0.0165,0.2373,0.5457,0.0106,0.1178,,
vecinos,4042,5,4047,9.80e-04,5.6,1810,11.0,26.58,5.76,21,-4430.1,-2.989,-7.413,1272,908,356,0.966,1765,230.1,79.3,0,0.0,0,0,12,17,110.59,27.8,30.13,1.089,0.709,0,0.0,-0.0116,0.1184,0.479,0.0156,0.1362,,
vecinos,4042,6,4048,9.75e-04,5.5,1810,9.87,24.87,5.22,17,-3979.4,-2.682,-6.886,1274,914,355,0.897,1766,227.1,78.2,0,0.0,0,0,10,17,107.74,24.76,26.29,0.925,0.802,0,0.0,-0.0065,0.0741,0.4847,0.0051,0.0748,,
vecinos,4042,7,4049,9.70e-04,5.4,1810,9.06,23.85,4.87,19,-3668.1,-2.485,-6.579,1266,911,353,0.821,1764,224.6,77.4,0,0.0,0,0,7,16,106.27,23.37,25.09,0.834,0.828,0,0.0,-0.0077,0.064,0.4439,0.0062,0.0753,,
vecinos,4042,8,4050,9.65e-04,5.9,1810,8.98,23.78,4.83,16,-3653.5,-2.475,-6.562,1262,899,361,0.855,1763,224.9,77.4,0,0.0,0,0,8,14,106.24,23.55,25.52,0.873,0.826,0,0.0,-0.0085,0.0544,0.4041,0.0097,0.0918,,
vecinos,4042,9,4051,9.60e-04,5.3,1810,8.22,22.46,4.45,15,-3313.4,-2.245,-6.189,1259,892,365,0.804,1765,222.3,76.5,0,0.0,0,0,7,11,104.87,21.98,23.5,0.789,0.876,0,0.0,-0.0032,0.0486,0.3901,0.0057,0.0756,,
vecinos,4042,10,4052,9.55e-04,5.5,1810,8.27,22.6,4.43,15,-3305.5,-2.233,-6.171,1259,885,372,0.815,1764,222.4,76.6,0,0.0,0,0,7,12,105.03,22.46,23.2,0.792,0.86,0,0.0,-0.0037,0.047,0.3618,0.0061,0.073,22.51,8.37
vecinos,4042,11,4053,9.50e-04,5.8,1810,8.71,23.02,4.67,16,-3516.6,-2.376,-6.274,1272,919,351,0.809,1765,222.4,76.6,0,0.0,0,0,7,12,104.79,21.8,22.74,0.762,0.881,0,0.0,-0.0018,0.0387,0.3112,0.0075,0.0727,,
vecinos,4042,12,4054,9.45e-04,9.6,1810,8.02,22.18,4.34,15,-3213.1,-2.177,-6.059,1260,894,363,0.77,1771,221.4,76.3,0,0.0,0,0,6,12,103.27,20.6,21.61,0.662,0.932,0,0.0,-0.001,0.0401,0.2858,0.0059,0.0632,,
vecinos,4042,13,4055,9.40e-04,7.2,1810,7.53,21.55,4.11,15,-3007.0,-2.037,-5.896,1260,892,365,0.772,1768,220.4,75.9,0,0.0,0,0,6,13,103.86,21.07,22.36,0.733,0.894,0,0.0,-0.0002,0.0368,0.2793,0.0041,0.0485,,
vecinos,4042,14,4056,9.35e-04,9.6,1810,7.68,21.79,4.15,14,-3053.0,-2.063,-5.923,1265,898,365,0.778,1767,220.6,76.0,0,0.0,0,0,6,11,104.74,21.83,22.18,0.752,0.882,0,0.0,-0.0015,0.0402,0.2698,0.0047,0.045,,
vecinos,4042,15,4057,9.30e-04,7.3,1810,7.93,22.37,4.28,16,-3158.5,-2.137,-6.087,1261,891,367,0.789,1770,222.2,76.4,0,0.0,0,0,7,13,105.07,22.3,23.84,0.759,0.888,0,0.0,-0.005,0.0398,0.2526,0.0056,0.0623,,
vecinos,4042,16,4058,9.25e-04,7.5,1810,7.14,20.86,3.92,13,-2895.1,-1.956,-5.696,1252,868,382,0.719,1767,218.7,75.3,0,0.0,0,0,6,11,102.89,20.06,20.9,0.62,0.951,0,0.0,0.0025,0.035,0.2295,0.0033,0.0422,,
vecinos,4042,17,4059,9.20e-04,8.2,1810,7.8,21.62,4.23,14,-3111.7,-2.105,-5.918,1262,896,364,0.757,1764,220.6,76.0,0,0.0,0,0,5,13,103.01,20.11,21.3,0.656,0.918,0,0.0,0.0006,0.0367,0.2351,0.0028,0.0375,,
vecinos,4042,18,4060,9.15e-04,7.9,1810,8.08,22.02,4.36,16,-3262.0,-2.207,-6.012,1266,906,358,0.764,1764,221.1,76.2,0,0.0,0,0,6,12,103.45,20.5,21.28,0.652,0.924,0,0.0,-0.004,0.0376,0.2229,0.0044,0.0514,,
vecinos,4042,19,4061,9.10e-04,11.0,1810,7.32,21.26,4.02,14,-2969.1,-2.014,-5.765,1263,904,356,0.709,1767,219.9,75.7,0,0.0,0,0,5,13,102.56,19.76,21.06,0.6,0.935,0,0.0,-0.0049,0.0382,0.1767,0.0073,0.0667,,
vecinos,4042,20,4062,9.05e-04,10.0,1810,7.3,20.85,3.97,14,-2918.4,-1.975,-5.671,1261,892,366,0.72,1768,218.4,75.3,0,0.0,0,0,6,12,101.98,19.15,20.1,0.572,0.959,0,0.0,0.0014,0.0306,0.159,0.0019,0.023,20.88,7.29
