modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
train,1,43,1.0,1810,38.83,84.33,17.39,59,-15356.2,-9.296,1652,418,3.296,1686,322.4,112.3,128,4.8721,,
train,2,44,0.9,1810,31.32,69.55,14.62,53,-12346.3,-7.765,1590,405,2.753,1705,301.1,104.4,151,6.6205,,
train,3,45,0.81,1810,30.66,69.73,14.34,45,-11895.4,-7.491,1588,409,2.748,1709,301.1,104.3,161,5.9994,,
train,4,46,0.729,1810,16.54,41.13,8.21,33,-6269.1,-4.097,1530,414,1.715,1744,256.3,88.2,166,4.4351,,
train,5,47,0.656,1810,18.94,46.9,9.46,31,-7210.0,-4.775,1510,392,1.975,1739,265.0,91.3,172,5.0765,28.01,11.0
train,6,48,0.59,1810,20.83,50.52,10.32,42,-7979.3,-5.256,1518,391,2.068,1732,270.3,93.2,172,5.7824,,
train,7,49,0.531,1810,20.0,49.27,9.85,38,-7636.4,-4.998,1528,410,2.08,1742,269.3,92.8,174,6.8085,,
train,8,50,0.478,1810,14.0,35.4,7.18,25,-5267.3,-3.526,1494,396,1.446,1759,246.9,84.8,174,3.5229,,
train,9,51,0.43,1810,13.43,34.07,6.89,23,-5030.0,-3.362,1496,405,1.442,1755,244.2,83.9,176,3.1463,,
train,10,52,0.387,1810,13.56,34.14,6.93,25,-5057.0,-3.367,1502,406,1.431,1756,244.2,83.9,183,3.7205,125.6,61.4
train,11,53,0.349,1810,12.93,34.55,6.66,26,-4816.3,-3.219,1496,418,1.454,1758,245.5,84.3,183,2.8083,,
train,12,54,0.314,1810,11.56,30.85,6.01,20,-4295.1,-2.894,1484,410,1.33,1761,239.2,82.2,183,3.0875,,
train,13,55,0.282,1810,12.94,33.33,6.72,23,-4840.2,-3.266,1482,420,1.411,1757,243.9,83.8,183,3.4076,,
train,14,56,0.254,1810,11.24,29.33,5.87,22,-4223.1,-2.838,1488,419,1.22,1760,236.5,81.2,183,3.053,,
train,15,57,0.229,1810,11.6,30.81,5.95,23,-4306.3,-2.852,1510,408,1.306,1762,239.4,82.2,183,2.8054,51.25,23.68
train,16,58,0.206,1810,10.42,28.13,5.5,18,-3873.9,-2.61,1484,409,1.199,1759,233.9,80.3,183,2.3598,,
train,17,59,0.185,1810,11.43,30.11,5.98,23,-4266.4,-2.871,1486,408,1.288,1754,237.5,81.6,184,2.2164,,
train,18,60,0.167,1810,11.76,31.13,6.14,19,-4382.6,-2.961,1480,401,1.32,1758,239.6,82.3,184,2.761,,
train,19,61,0.15,1810,12.98,33.91,6.69,24,-4827.6,-3.236,1492,408,1.487,1756,244.3,83.9,185,3.9863,,
train,20,62,0.135,1810,9.87,26.55,5.25,24,-3693.1,-2.492,1482,402,1.096,1764,231.5,79.5,185,2.5239,28.54,10.31
train,21,63,0.122,1810,12.18,33.32,6.3,23,-4499.7,-3.016,1492,420,1.439,1760,243.0,83.5,185,2.3084,,
train,22,64,0.109,1810,9.45,26.27,5.03,17,-3470.0,-2.338,1484,407,1.125,1755,230.8,79.3,185,2.2708,,
train,23,65,0.098,1810,13.54,38.53,6.83,28,-5050.3,-3.318,1522,418,1.702,1746,250.4,86.1,186,4.8217,,
train,24,66,0.089,1810,10.74,29.29,5.62,19,-4000.1,-2.685,1490,414,1.247,1763,236.4,81.1,186,2.4278,,
