modo,episodio,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,recompensa,cambios_fase
baseline,0,0,1884,15.96,27.94,7.69,0.0,0
train,1,1.0,1884,132.44,207.74,57.32,-46904.1,280
train,2,0.96,1884,134.95,207.37,57.69,-47855.6,296
train,3,0.922,1884,99.04,154.32,47.59,-35341.5,256
train,4,0.885,1884,67.25,103.72,33.75,-23534.5,248
train,5,0.849,1884,59.52,89.6,28.76,-21333.1,245
train,6,0.815,1884,70.79,111.92,32.27,-24250.7,284
train,7,0.783,1884,73.22,118.04,34.3,-25710.1,260
train,8,0.751,1884,39.21,59.94,18.58,-13299.4,261
train,9,0.721,1884,46.06,69.69,22.02,-15947.9,255
train,10,0.693,1884,67.16,106.36,31.43,-22940.9,280
train,11,0.665,1884,34.99,52.21,17.37,-12045.4,240
train,12,0.638,1884,53.19,83.47,25.56,-18038.4,267
train,13,0.613,1884,26.84,42.01,13.35,-8992.0,231
train,14,0.588,1884,30.37,47.09,15.07,-10063.4,240
train,15,0.565,1884,25.9,40.8,12.7,-8362.2,256
train,16,0.542,1884,24.78,39.46,12.34,-7950.5,258
train,17,0.52,1884,24.51,39.12,12.17,-7899.2,263
train,18,0.5,1884,29.93,47.08,14.8,-9712.6,263
train,19,0.48,1884,21.32,34.93,10.56,-6695.5,260
train,20,0.46,1884,23.88,38.8,11.77,-7475.0,271
train,21,0.442,1884,24.1,38.99,11.61,-7628.4,267
train,22,0.424,1884,18.44,31.3,8.99,-5751.8,249
train,23,0.407,1884,20.72,34.65,10.07,-6317.7,272
train,24,0.391,1884,19.13,32.28,9.39,-5884.7,259
train,25,0.375,1884,19.28,32.77,9.47,-5865.5,265
train,26,0.36,1884,24.12,39.31,12.02,-7473.6,281
train,27,0.346,1884,18.47,31.48,8.93,-5629.0,266
train,28,0.332,1884,16.68,29.16,8.09,-5060.7,257
train,29,0.319,1884,20.13,33.72,9.83,-6208.7,271
train,30,0.306,1884,18.35,31.39,9.02,-5575.6,266
train,31,0.294,1884,19.04,32.1,9.41,-5834.9,264
train,32,0.282,1884,17.91,30.87,8.72,-5394.3,272
train,33,0.271,1884,17.52,30.37,8.58,-5358.3,261
train,34,0.26,1884,17.27,29.81,8.49,-5274.3,248
train,35,0.25,1884,16.68,28.95,8.09,-5082.4,244
train,36,0.24,1884,17.22,29.9,8.47,-5210.5,267
train,37,0.23,1884,16.33,28.73,8.05,-4857.3,259
train,38,0.221,1884,19.83,33.45,9.48,-5979.2,279
train,39,0.212,1884,18.66,31.79,9.25,-5663.9,267
train,40,0.204,1884,15.55,27.71,7.56,-4679.5,255
train,41,0.195,1884,15.01,26.85,7.37,-4535.2,248
train,42,0.188,1884,15.62,27.79,7.64,-4675.9,255
train,43,0.18,1884,17.63,30.56,8.59,-5373.9,264
train,44,0.173,1884,19.21,32.95,9.53,-5815.0,266
train,45,0.166,1884,18.07,31.11,8.84,-5454.1,271
train,46,0.159,1884,15.12,27.1,7.31,-4523.4,255
train,47,0.153,1884,15.86,28.02,7.57,-4850.0,247
train,48,0.147,1884,15.61,27.67,7.58,-4643.8,254
train,49,0.141,1884,16.27,28.56,7.98,-4851.1,254
train,50,0.135,1884,15.66,27.64,7.59,-4723.2,248
train,51,0.13,1884,14.81,26.6,7.2,-4448.4,247
train,52,0.125,1884,16.24,28.53,7.99,-4914.9,246
train,53,0.12,1884,16.29,28.74,8.04,-4911.0,252
train,54,0.115,1884,14.45,26.04,7.12,-4351.3,239
train,55,0.11,1884,15.23,27.12,7.46,-4607.1,248
train,56,0.106,1884,14.46,26.14,7.02,-4369.0,244
train,57,0.102,1884,14.69,26.34,7.17,-4391.2,241
train,58,0.098,1884,16.01,28.5,7.85,-4698.5,267
train,59,0.094,1884,16.18,28.46,7.93,-5007.5,251
train,60,0.09,1884,15.84,28.06,7.75,-4759.0,262
train,61,0.086,1884,15.98,28.28,7.89,-4797.8,259
