modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
train,1,43,1.0,1884,132.44,207.74,57.32,132,-46904.1,-66.815,702,280,6.907,1716,472.1,173.4,106,19.7,,
train,2,44,0.96,1884,134.95,207.37,57.69,114,-47855.6,-67.977,704,296,6.302,1718,472.0,173.3,128,26.5776,,
train,3,45,0.922,1884,99.04,154.32,47.59,133,-35341.5,-56.187,629,256,4.735,1779,394.0,142.9,157,26.3758,,
train,4,46,0.885,1884,67.25,103.72,33.75,84,-23534.5,-39.487,596,248,2.775,1830,319.8,114.1,199,21.4026,,
train,5,47,0.849,1884,59.52,89.6,28.76,80,-21333.1,-34.078,626,245,2.27,1786,297.6,106.0,241,22.35,205.49,156.01
train,6,48,0.815,1884,70.79,111.92,32.27,99,-24250.7,-37.081,654,284,3.662,1730,329.3,118.4,258,20.5109,,
train,7,49,0.783,1884,73.22,118.04,34.3,94,-25710.1,-39.861,645,260,3.521,1770,339.0,121.7,270,19.9286,,
train,8,50,0.751,1884,39.21,59.94,18.58,66,-13299.4,-21.245,626,261,1.658,1819,252.2,88.8,274,18.7984,,
train,9,51,0.721,1884,46.06,69.69,22.02,68,-15947.9,-25.517,625,255,1.818,1807,268.0,94.6,282,19.6273,,
train,10,52,0.693,1884,67.16,106.36,31.43,86,-22940.9,-36.184,634,280,3.007,1795,322.5,115.1,297,19.1998,46.03,29.58
train,11,53,0.665,1884,34.99,52.21,17.37,55,-12045.4,-20.076,600,240,1.389,1839,240.6,84.6,307,15.9056,,
train,12,54,0.638,1884,53.19,83.47,25.56,80,-18038.4,-29.236,617,267,2.413,1755,287.8,102.2,313,17.6635,,
train,13,55,0.613,1884,26.84,42.01,13.35,49,-8992.0,-15.012,599,231,1.183,1846,224.0,78.3,320,16.3499,,
train,14,56,0.588,1884,30.37,47.09,15.07,49,-10063.4,-16.857,597,240,1.311,1825,232.3,81.4,328,13.6571,,
train,15,57,0.565,1884,25.9,40.8,12.7,43,-8362.2,-14.054,595,256,1.192,1840,222.2,77.7,340,14.0204,26.03,14.47
train,16,58,0.542,1884,24.78,39.46,12.34,41,-7950.5,-13.614,584,258,1.183,1835,220.1,76.8,343,10.2576,,
train,17,59,0.52,1884,24.51,39.12,12.17,38,-7899.2,-13.573,582,263,1.173,1844,220.0,76.8,348,9.14,,
train,18,60,0.5,1884,29.93,47.08,14.8,47,-9712.6,-16.434,591,263,1.37,1813,232.1,81.3,351,9.9889,,
train,19,61,0.48,1884,21.32,34.93,10.56,34,-6695.5,-11.465,584,260,1.083,1834,212.6,74.0,355,11.1451,,
train,20,62,0.46,1884,23.88,38.8,11.77,38,-7475.0,-12.778,585,271,1.2,1839,219.0,76.4,359,8.6721,31.94,18.59
train,21,63,0.442,1884,24.1,38.99,11.61,46,-7628.4,-12.63,604,267,1.184,1832,218.8,76.4,361,9.3852,,
train,22,64,0.424,1884,18.44,31.3,8.99,31,-5751.8,-9.651,596,249,0.978,1844,206.2,71.7,362,6.0722,,
train,23,65,0.407,1884,20.72,34.65,10.07,34,-6317.7,-10.69,591,272,1.11,1843,212.3,73.8,362,7.381,,
train,24,66,0.391,1884,19.13,32.28,9.39,34,-5884.7,-10.008,588,259,1.039,1838,208.0,72.3,362,8.8182,,
