variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,42,1,43,1.00e-03,4.0,1844,33.23,89.96,16.26,54,-13583.1,-17.504,-52.161,644,421,222,3.569,1739,299.6,103.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.025,24.0892,0.6785,0.0098,0.0875,,
local,42,2,44,9.83e-04,4.0,1844,41.72,94.52,19.91,77,-17368.0,-21.957,-53.312,673,473,198,3.349,1728,306.4,106.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.002,17.4898,0.6885,0.0039,0.0109,,
local,42,3,45,9.67e-04,3.9,1844,29.84,79.21,14.8,51,-12259.1,-15.962,-45.728,646,439,205,3.023,1735,284.3,97.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0185,4.3925,0.6651,0.0109,0.1538,,
local,42,4,46,9.50e-04,3.4,1844,13.04,29.94,7.04,39,-5604.2,-7.625,-17.306,630,451,177,1.061,1807,207.5,71.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0137,1.4757,0.6392,0.0084,0.1459,,
local,42,5,47,9.33e-04,3.4,1844,17.12,36.54,9.02,51,-7308.5,-9.863,-21.112,642,474,166,1.229,1800,218.3,75.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0325,1.6425,0.6206,0.0077,0.1054,,
local,42,6,48,9.17e-04,3.4,1844,9.51,23.51,5.2,22,-4206.2,-5.646,-12.848,650,484,161,0.732,1808,195.2,67.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.019,0.4489,0.573,0.0091,0.1391,,
local,42,7,49,9.00e-04,3.3,1844,7.18,19.27,4.08,20,-3289.0,-4.451,-10.506,649,487,152,0.561,1808,187.0,64.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0054,0.1744,0.5204,0.006,0.1018,,
local,42,8,50,8.83e-04,3.3,1844,7.07,19.39,4.02,20,-3224.1,-4.357,-10.586,649,489,153,0.575,1808,186.8,64.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0202,0.2181,0.4702,0.0081,0.1339,,
local,42,9,51,8.67e-04,3.3,1844,6.04,17.38,3.52,14,-2845.4,-3.861,-9.347,656,501,137,0.478,1804,182.1,62.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.003,0.0975,0.4386,0.0031,0.045,,
local,42,10,52,8.50e-04,3.3,1844,5.43,16.71,3.23,13,-2574.0,-3.502,-8.949,650,498,143,0.445,1810,181.2,62.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0226,0.0747,0.498,0.018,0.132,17.75,7.37
local,42,11,53,8.33e-04,3.3,1844,4.92,16.38,2.96,15,-2326.0,-3.16,-8.846,634,456,172,0.492,1806,181.2,62.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.006,0.0815,0.4492,0.0041,0.0586,,
local,42,12,54,8.17e-04,3.2,1844,5.15,16.15,3.08,13,-2442.1,-3.318,-8.824,640,476,161,0.467,1807,180.0,61.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0048,0.0737,0.4632,0.0034,0.05,,
local,42,13,55,8.00e-04,3.2,1844,4.75,15.93,2.88,11,-2270.2,-3.089,-8.579,636,462,167,0.466,1807,179.9,61.7,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0013,0.0721,0.4099,0.0025,0.0345,,
local,42,14,56,7.83e-04,3.2,1844,4.96,16.1,2.99,15,-2361.4,-3.208,-8.632,645,483,153,0.465,1806,180.0,61.7,0,0.0,0,0,0,0,,,,,,0,0.0,0.0183,0.062,0.3751,0.0022,0.0291,,
local,42,15,57,7.67e-04,3.3,1844,5.06,15.9,3.05,12,-2405.3,-3.281,-8.587,646,493,147,0.443,1804,179.2,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0189,0.067,0.3731,0.0034,0.0512,,
local,42,16,58,7.50e-04,3.4,1844,4.95,15.98,2.97,11,-2354.6,-3.186,-8.508,651,497,148,0.427,1807,179.3,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,0.0035,0.063,0.3649,0.0059,0.0854,,
local,42,17,59,7.33e-04,3.3,1844,4.72,15.35,2.87,10,-2248.2,-3.063,-8.207,647,496,148,0.424,1809,178.3,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0089,0.0655,0.3308,0.0024,0.034,,
local,42,18,60,7.17e-04,3.3,1844,4.85,15.62,2.93,13,-2299.8,-3.129,-8.385,646,493,149,0.429,1806,178.6,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0109,0.0566,0.3203,0.0048,0.0606,,
local,42,19,61,7.00e-04,3.4,1844,4.76,15.84,2.88,14,-2288.6,-3.101,-8.375,650,499,149,0.426,1811,179.0,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0061,0.0592,0.3033,0.0037,0.0547,,
local,42,20,62,6.83e-04,3.3,1844,4.78,15.53,2.9,11,-2287.1,-3.112,-8.291,649,502,145,0.42,1811,178.6,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.007,0.0569,0.3372,0.0054,0.0777,15.18,4.67
local,42,21,63,6.67e-04,3.2,1844,4.7,15.71,2.85,11,-2237.5,-3.036,-8.338,645,489,154,0.44,1810,179.0,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,0.0038,0.0606,0.3124,0.0035,0.0548,,
local,42,22,64,6.50e-04,3.1,1844,4.64,15.33,2.83,10,-2219.1,-3.019,-8.189,646,495,149,0.427,1806,178.5,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0103,0.0535,0.3293,0.0075,0.089,,
local,42,23,65,6.33e-04,3.2,1844,4.69,15.67,2.85,12,-2247.7,-3.05,-8.334,644,485,157,0.445,1809,179.1,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,0.0116,0.0475,0.3346,0.0064,0.0724,,
local,42,24,66,6.17e-04,3.2,1844,4.21,15.13,2.62,12,-2008.0,-2.736,-7.985,641,482,157,0.433,1808,178.1,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0099,0.0509,0.3001,0.0019,0.021,,
local,42,25,67,6.00e-04,3.2,1844,4.32,15.33,2.67,11,-2097.1,-2.849,-8.197,638,471,165,0.445,1811,179.0,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0014,0.0547,0.3019,0.0035,0.0492,,
local,42,26,68,5.83e-04,3.2,1844,4.33,15.11,2.67,10,-2080.8,-2.827,-8.065,639,473,164,0.433,1808,178.2,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0002,0.0521,0.3333,0.0027,0.0374,,
local,42,27,69,5.67e-04,3.3,1844,4.23,15.26,2.62,10,-2035.5,-2.766,-8.086,638,471,165,0.428,1806,178.9,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0001,0.0452,0.3259,0.0024,0.0303,,
local,42,28,70,5.50e-04,3.3,1844,4.08,15.07,2.55,12,-1954.9,-2.66,-7.992,634,461,171,0.45,1804,178.7,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0009,0.0503,0.2747,0.003,0.0417,,
local,42,29,71,5.33e-04,3.3,1844,4.06,14.83,2.53,10,-1966.1,-2.668,-7.828,641,478,161,0.419,1805,177.6,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0262,0.0396,0.3084,0.0016,0.0179,,
local,42,30,72,5.17e-04,3.2,1844,4.19,14.98,2.6,12,-2029.5,-2.761,-8.005,639,476,162,0.42,1806,177.5,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0034,0.0519,0.2987,0.004,0.0587,15.4,4.69
local,42,31,73,5.00e-04,3.4,1844,4.61,15.61,2.81,11,-2190.4,-2.976,-8.336,642,481,159,0.44,1807,179.0,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0118,0.0562,0.2946,0.0024,0.0314,,
local,42,32,74,4.83e-04,3.2,1844,4.37,15.26,2.68,10,-2087.6,-2.829,-8.211,638,469,167,0.453,1809,178.6,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0021,0.0475,0.2822,0.0018,0.0249,,
local,42,33,75,4.67e-04,3.2,1844,4.25,14.85,2.63,10,-2034.8,-2.772,-8.033,637,471,164,0.427,1808,177.4,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,0.0001,0.0529,0.2811,0.0017,0.0211,,
local,42,34,76,4.50e-04,3.2,1844,4.08,15.12,2.55,12,-1969.5,-2.683,-7.974,636,469,165,0.427,1810,178.5,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0023,0.0507,0.2581,0.0024,0.0344,,
local,42,35,77,4.33e-04,3.2,1844,4.37,15.33,2.68,12,-2083.2,-2.823,-8.182,641,476,163,0.445,1808,178.9,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0327,0.0514,0.2632,0.0039,0.0506,,
local,42,36,78,4.17e-04,3.1,1844,4.4,15.4,2.71,11,-2083.2,-2.842,-8.222,635,468,165,0.451,1805,179.3,61.5,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0012,0.0559,0.2441,0.0037,0.0468,,
local,42,37,79,4.00e-04,3.2,1844,4.43,15.34,2.73,11,-2109.8,-2.874,-8.163,641,482,157,0.444,1811,178.5,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,0.0023,0.0443,0.2537,0.0031,0.0472,,
local,42,38,80,3.83e-04,3.2,1844,4.21,14.87,2.61,12,-2024.7,-2.751,-7.976,638,472,165,0.427,1809,177.5,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0009,0.0512,0.2535,0.0013,0.0158,,
local,42,39,81,3.67e-04,3.1,1844,4.04,14.62,2.53,12,-1952.5,-2.664,-7.779,641,484,155,0.403,1807,177.1,60.8,0,0.0,0,0,0,0,,,,,,0,0.0,0.0067,0.0468,0.2812,0.0055,0.0661,,
local,42,40,82,3.50e-04,3.1,1844,3.98,15.03,2.49,11,-1930.6,-2.623,-7.963,636,467,168,0.436,1808,178.3,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0003,0.0417,0.2769,0.0025,0.0364,14.91,4.05
local,42,41,83,3.33e-04,3.2,1844,4.03,14.97,2.52,12,-1927.9,-2.619,-7.949,635,464,170,0.445,1806,178.4,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,0.0005,0.0394,0.2344,0.002,0.0241,,
local,42,42,84,3.17e-04,3.1,1844,4.07,15.04,2.54,12,-1960.9,-2.664,-7.989,637,468,167,0.448,1803,178.3,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.002,0.0467,0.2334,0.0016,0.0218,,
local,42,43,85,3.00e-04,3.1,1844,4.18,14.88,2.6,13,-1993.7,-2.716,-7.973,636,468,166,0.43,1809,177.9,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0016,0.0475,0.255,0.0021,0.0277,,
local,42,44,86,2.83e-04,3.2,1844,4.3,15.42,2.66,11,-2060.0,-2.803,-8.188,639,475,162,0.445,1810,179.0,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0006,0.0481,0.2446,0.0011,0.0139,,
local,42,45,87,2.67e-04,3.2,1844,4.42,15.46,2.72,11,-2137.2,-2.908,-8.215,641,481,158,0.441,1807,178.9,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0054,0.0539,0.2382,0.004,0.0625,,
local,42,46,88,2.50e-04,3.2,1844,4.28,15.01,2.65,15,-2049.8,-2.793,-7.973,640,479,159,0.43,1808,178.2,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0041,0.0505,0.2552,0.005,0.072,,
local,42,47,89,2.33e-04,3.1,1844,4.37,15.22,2.69,11,-2090.7,-2.841,-8.076,640,476,162,0.435,1809,178.5,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0005,0.0492,0.2427,0.0016,0.0214,,
local,42,48,90,2.17e-04,3.2,1844,4.13,14.98,2.57,10,-1996.8,-2.709,-7.951,641,476,163,0.433,1805,178.0,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0564,0.0501,0.2276,0.0019,0.0264,,
local,42,49,91,2.00e-04,3.2,1844,4.37,14.97,2.7,11,-2091.6,-2.85,-8.023,640,480,158,0.438,1807,177.9,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0012,0.0485,0.2458,0.002,0.03,,
local,42,50,92,1.83e-04,3.3,1844,4.26,15.21,2.64,10,-2045.3,-2.779,-8.076,639,474,163,0.44,1807,178.5,61.2,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0,0.0494,0.2399,0.0015,0.023,14.88,4.08
local,42,51,93,1.67e-04,3.2,1844,4.04,14.77,2.52,12,-1952.4,-2.649,-7.803,639,471,166,0.427,1808,177.8,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.003,0.0499,0.2372,0.0025,0.0452,,
local,42,52,94,1.50e-04,3.2,1844,4.27,15.21,2.64,11,-2047.2,-2.789,-8.143,636,469,166,0.446,1809,178.4,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0007,0.049,0.2205,0.001,0.0105,,
local,42,53,95,1.33e-04,3.2,1844,4.23,14.97,2.63,11,-2030.9,-2.771,-8.024,639,478,159,0.432,1806,178.0,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0003,0.049,0.2292,0.0015,0.0205,,
local,42,54,96,1.17e-04,3.2,1844,4.15,14.85,2.58,11,-2004.4,-2.727,-7.909,639,475,162,0.438,1809,178.1,61.1,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0016,0.0455,0.228,0.0009,0.0081,,
local,42,55,97,1.00e-04,3.2,1844,4.15,14.93,2.58,12,-1995.4,-2.719,-7.952,637,472,163,0.426,1809,177.7,60.9,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0016,0.0475,0.2193,0.0009,0.0085,,
local,42,56,98,8.33e-05,3.3,1844,4.31,15.44,2.67,12,-2058.7,-2.805,-8.107,640,480,159,0.429,1805,179.1,61.4,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0036,0.0546,0.2262,0.0013,0.0125,,
local,42,57,99,6.67e-05,3.2,1844,4.18,14.77,2.6,10,-1991.9,-2.714,-7.877,640,481,157,0.428,1807,177.2,60.8,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0028,0.0479,0.2066,0.002,0.0311,,
local,42,58,100,5.00e-05,3.2,1844,4.15,15.16,2.59,11,-2011.4,-2.74,-7.96,638,474,162,0.428,1806,178.7,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,-0.0007,0.0476,0.2152,0.0006,0.0049,,
local,42,59,101,3.33e-05,3.3,1844,4.43,15.06,2.72,12,-2143.8,-2.917,-8.051,643,486,155,0.426,1809,177.8,61.0,0,0.0,0,0,0,0,,,,,,0,0.0,0.006,0.0449,0.2462,0.0011,0.0122,,
local,42,60,102,1.67e-05,3.3,1844,4.36,15.42,2.69,10,-2103.1,-2.861,-8.121,644,489,153,0.421,1808,178.8,61.3,0,0.0,0,0,0,0,,,,,,0,0.0,0.0083,0.0445,0.2293,0.0001,0.0001,14.93,4.26
