modo,episodio,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,recompensa,cambios_fase
baseline,0,0,1844,9.4,20.58,4.72,0.0,0
train,1,1.0,1844,30.19,77.93,14.15,-9873.3,225
train,2,0.9,1844,27.27,71.5,13.65,-8818.3,213
train,3,0.81,1844,16.54,35.87,8.09,-5342.7,211
train,4,0.729,1844,12.66,29.14,6.34,-4009.3,213
train,5,0.656,1844,12.09,27.57,6.03,-3829.0,215
train,6,0.59,1844,13.34,31.33,6.65,-4200.4,221
train,7,0.531,1844,11.66,27.45,5.82,-3643.1,224
train,8,0.478,1844,10.41,25.32,5.21,-3180.8,215
train,9,0.43,1844,10.88,26.37,5.42,-3315.2,224
train,10,0.387,1844,8.5,21.82,4.25,-2515.7,227
train,11,0.349,1844,8.96,22.43,4.5,-2731.1,220
train,12,0.314,1844,8.24,20.99,4.13,-2469.1,220
train,13,0.282,1844,7.29,19.31,3.65,-2113.0,227
train,14,0.254,1844,8.79,22.6,4.39,-2635.4,221
train,15,0.229,1844,7.57,19.65,3.79,-2214.2,231
train,16,0.206,1844,6.92,18.46,3.47,-2024.5,222
train,17,0.185,1844,8.53,22.37,4.28,-2546.7,226
train,18,0.167,1844,6.62,17.74,3.31,-1947.8,221
train,19,0.15,1844,6.84,18.51,3.41,-2025.0,226
train,20,0.135,1844,6.93,18.41,3.48,-2019.3,229
train,21,0.122,1844,6.13,17.28,3.07,-1762.8,223
train,22,0.109,1844,6.89,18.57,3.44,-2009.4,231
train,23,0.098,1844,5.52,16.11,2.76,-1572.6,223
train,24,0.089,1844,6.78,18.48,3.4,-1974.6,230
train,25,0.08,1844,6.84,18.77,3.42,-1984.1,223
train,26,0.072,1844,7.46,19.58,3.73,-2169.2,229
train,27,0.065,1844,5.77,16.34,2.89,-1650.9,221
train,28,0.058,1844,6.27,17.41,3.13,-1802.6,225
train,29,0.052,1844,6.13,16.93,3.07,-1779.0,215
train,30,0.05,1844,5.72,16.14,2.86,-1647.1,221
train,31,0.05,1844,6.05,16.76,3.03,-1757.5,215
train,32,0.05,1844,8.15,21.1,4.07,-2412.0,224
train,33,0.05,1844,6.73,18.27,3.37,-1925.5,231
train,34,0.05,1844,7.75,20.29,3.88,-2292.8,221
train,35,0.05,1844,6.29,17.75,3.15,-1794.5,227
train,36,0.05,1844,9.2,24.48,4.61,-2749.7,217
train,37,0.05,1844,6.81,18.57,3.42,-1966.1,225
train,38,0.05,1844,6.58,17.92,3.29,-1889.9,233
train,39,0.05,1844,6.22,17.33,3.12,-1785.1,225
train,40,0.05,1844,5.6,16.35,2.8,-1623.0,222
demo,0,0,1844,5.85,16.61,2.93,-1687.4,217
demo,0,0,1844,5.85,16.61,2.93,-1687.4,217
baseline,0,0,1844,9.3,22.83,5.16,0.0,0
demo,0,0,1844,7.08,21.37,4.05,-2353.8,233
demo,0,0,1844,7.08,21.37,4.05,-2353.8,233
train,1,1.0,1844,30.84,80.14,14.82,-10463.9,227
train,2,0.9,1844,21.21,51.59,10.9,-7194.4,219
train,3,0.81,1844,15.46,36.22,7.97,-5281.8,215
train,4,0.729,1844,14.07,33.46,7.51,-4821.9,209
train,5,0.656,1844,12.33,31.21,6.62,-4152.8,222
train,6,0.59,1844,13.32,35.5,7.19,-4466.1,223
train,7,0.531,1844,8.92,24.22,4.96,-3071.7,220
train,8,0.478,1844,11.04,29.17,6.03,-3711.8,219
train,9,0.43,1844,13.05,33.91,6.91,-4351.8,225
train,10,0.387,1844,9.95,27.0,5.45,-3325.3,222
train,11,0.349,1844,9.03,24.91,5.04,-3049.1,215
train,12,0.314,1844,8.1,22.93,4.56,-2708.0,230
train,13,0.282,1844,7.37,21.9,4.2,-2452.3,231
train,14,0.254,1844,7.51,22.11,4.24,-2540.0,222
train,15,0.229,1844,7.45,22.18,4.23,-2446.4,227
train,16,0.206,1844,6.4,20.03,3.71,-2182.9,216
train,17,0.185,1844,7.77,22.28,4.4,-2579.3,215
train,18,0.167,1844,7.36,21.78,4.2,-2444.7,223
train,19,0.15,1844,9.15,26.04,5.08,-3041.1,222
train,20,0.135,1844,7.59,22.1,4.31,-2515.4,229
train,21,0.122,1844,6.07,19.6,3.55,-2049.4,223
train,22,0.109,1844,7.21,21.73,4.11,-2387.9,225
train,23,0.098,1844,6.71,20.76,3.86,-2242.2,225
train,24,0.089,1844,7.42,22.09,4.21,-2513.1,219
train,25,0.08,1844,6.24,19.42,3.62,-2119.3,213
train,26,0.072,1844,9.91,27.84,5.45,-3229.9,230
train,27,0.065,1844,8.57,24.92,4.79,-2859.5,223
train,28,0.058,1844,7.22,21.84,4.12,-2381.1,237
train,29,0.052,1844,8.8,25.07,4.92,-2900.4,229
train,30,0.05,1844,5.31,17.8,3.16,-1877.8,215
train,31,0.05,1844,6.86,20.97,3.93,-2299.3,226
train,32,0.05,1844,6.73,20.66,3.83,-2237.5,229
train,33,0.05,1844,6.73,20.62,3.87,-2274.4,223
train,34,0.05,1844,6.02,19.42,3.52,-2062.6,223
train,35,0.05,1844,6.23,19.66,3.62,-2131.7,219
train,36,0.05,1844,8.57,24.66,4.8,-2779.9,227
train,37,0.05,1844,6.17,19.62,3.6,-2088.7,217
train,38,0.05,1844,7.92,23.06,4.47,-2609.2,225
train,39,0.05,1844,6.33,19.87,3.67,-2067.9,229
train,40,0.05,1844,7.13,21.65,4.07,-2385.6,223
demo,0,0,1844,6.42,20.33,3.72,-2127.6,227
