modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
train,1,43,1.0,2152,12.28,30.94,6.73,34,-5444.2,-2.407,1883,629,1.145,2081,274.7,94.4,88,2.691,,
train,2,44,0.95,2152,12.15,30.71,6.7,28,-5454.4,-2.405,1879,649,1.159,2085,274.9,94.4,108,2.431,,
train,3,45,0.902,2152,12.23,30.71,6.7,34,-5443.6,-2.4,1886,637,1.138,2095,273.5,94.0,124,2.17,,
train,4,46,0.857,2152,11.19,29.33,6.16,28,-4973.1,-2.19,1873,662,1.119,2087,271.7,93.3,128,1.8403,,
train,5,47,0.815,2152,10.97,29.32,6.14,28,-4976.6,-2.183,1884,660,1.126,2089,272.2,93.5,132,1.8343,25.47,8.07
train,6,48,0.774,2152,9.71,27.36,5.31,25,-4238.4,-1.866,1860,683,1.057,2092,267.9,92.0,134,1.4933,,
train,7,49,0.735,2152,9.89,27.81,5.41,20,-4346.7,-1.911,1867,678,1.091,2092,269.4,92.4,136,1.1903,,
train,8,50,0.698,2152,10.89,28.97,5.04,27,-3994.5,-1.768,1850,684,1.125,2090,270.6,93.0,139,1.5124,,
train,9,51,0.663,2152,10.03,28.04,5.33,23,-4218.7,-1.872,1839,690,1.083,2087,269.4,92.4,139,1.1982,,
train,10,52,0.63,2152,10.06,27.96,5.47,24,-4362.1,-1.921,1861,683,1.082,2087,269.3,92.4,140,1.8236,25.32,8.08
train,11,53,0.599,2152,9.61,27.5,5.44,22,-4300.2,-1.904,1848,688,1.092,2087,269.1,92.3,140,1.7174,,
train,12,54,0.569,2152,8.96,26.65,4.82,21,-3799.1,-1.684,1822,724,1.043,2094,267.4,91.7,140,1.4561,,
train,13,55,0.54,2152,9.29,26.96,5.01,30,-3980.2,-1.76,1834,717,1.085,2088,267.6,91.8,140,1.6109,,
train,14,56,0.513,2152,8.76,26.11,4.74,22,-3751.6,-1.663,1834,706,1.034,2093,265.9,91.2,140,1.4507,,
train,15,57,0.488,2152,9.68,27.57,5.3,22,-4227.7,-1.874,1830,708,1.111,2090,269.0,92.3,141,1.3811,24.88,7.67
train,16,58,0.463,2152,9.45,27.36,5.19,23,-4059.7,-1.8,1825,720,1.116,2089,269.0,92.2,141,1.7254,,
train,17,59,0.44,2152,9.22,26.94,5.01,24,-3987.5,-1.756,1844,713,1.103,2088,267.9,91.9,142,1.4001,,
train,18,60,0.418,2152,8.29,25.62,4.48,21,-3537.9,-1.568,1829,714,1.023,2089,264.8,90.8,142,1.3385,,
train,19,61,0.397,2152,8.98,26.69,4.72,25,-3744.1,-1.655,1825,730,1.082,2091,267.1,91.6,142,1.6901,,
train,20,62,0.377,2152,8.38,25.58,4.47,20,-3553.9,-1.565,1830,737,1.041,2093,265.2,91.0,142,1.1667,24.78,7.93
train,21,63,0.358,2152,8.32,25.81,4.72,19,-3721.1,-1.649,1822,725,1.059,2087,266.1,91.2,142,1.428,,
train,22,64,0.341,2152,7.6,24.97,4.17,21,-3254.8,-1.437,1801,775,1.029,2093,264.7,90.7,143,1.5155,,
train,23,65,0.324,2152,8.77,26.29,4.89,25,-3883.2,-1.712,1820,748,1.088,2096,266.5,91.4,143,1.4512,,
train,24,66,0.307,2152,7.9,25.21,4.3,22,-3381.2,-1.493,1814,751,1.019,2092,264.6,90.7,143,1.5212,,
train,25,67,0.292,2152,8.95,26.52,4.92,20,-3878.0,-1.714,1826,724,1.094,2089,266.9,91.5,144,1.8232,24.29,7.19
