variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
local,42,1,43,1.00e-03,8.6,2152,11.95,30.28,6.51,31,-5293.6,-2.334,-5.424,1887,1240,642,1.14,2091,273.6,94.0,0,0.0,0,0,8,12,176.08,44.29,47.17,1.661,0.421,0,0.0,-0.0159,0.0717,0.6809,0.0079,0.124,,
local,42,2,44,9.95e-04,9.2,2152,10.77,29.06,5.95,22,-4777.5,-2.112,-5.218,1855,1162,687,1.142,2083,271.7,93.3,0,0.0,0,0,8,10,174.89,43.05,46.07,1.706,0.408,0,0.0,-0.0184,0.0552,0.652,0.0098,0.1587,,
local,42,3,45,9.90e-04,9.0,2152,9.65,27.25,5.3,21,-4239.3,-1.877,-4.78,1862,1188,670,1.039,2091,267.4,91.8,0,0.0,0,0,7,10,169.63,37.78,39.8,1.456,0.519,0,0.0,-0.0106,0.0414,0.6016,0.0118,0.1173,,
local,42,4,46,9.85e-04,8.8,2152,9.3,26.53,5.12,21,-4096.8,-1.814,-4.577,1880,1241,635,0.979,2092,265.6,91.2,0,0.0,0,0,6,12,166.6,34.95,37.02,1.302,0.601,0,0.0,-0.0094,0.0388,0.595,0.0067,0.0732,,
local,42,5,47,9.80e-04,8.8,2152,8.12,24.77,4.54,19,-3608.9,-1.593,-4.282,1867,1192,671,0.919,2089,262.2,90.0,0,0.0,0,0,5,9,164.98,32.64,33.78,1.201,0.667,0,0.0,-0.0033,0.0328,0.5684,0.0056,0.0592,,
local,42,6,48,9.75e-04,8.8,2152,9.0,25.79,4.99,19,-4026.7,-1.78,-4.49,1880,1230,644,0.954,2089,263.3,90.5,0,0.0,0,0,5,9,165.88,33.29,34.93,1.252,0.649,0,0.0,-0.0015,0.0314,0.5508,0.0035,0.0389,,
local,42,7,49,9.70e-04,8.6,2152,9.09,26.01,4.85,23,-3890.7,-1.713,-4.431,1876,1210,663,0.98,2090,264.5,90.9,0,0.0,0,0,6,9,165.4,33.58,35.5,1.285,0.605,0,0.0,-0.0081,0.0304,0.5143,0.0036,0.0473,,
local,42,8,50,9.65e-04,8.9,2152,8.17,24.59,4.38,19,-3492.8,-1.542,-4.142,1877,1217,655,0.914,2089,261.3,89.8,0,0.0,0,0,5,9,162.79,31.22,32.66,1.174,0.677,0,0.0,-0.0015,0.0281,0.4833,0.0036,0.0418,,
local,42,9,51,9.60e-04,8.7,2152,9.31,25.94,4.64,18,-3693.2,-1.633,-4.253,1891,1262,625,0.945,2089,263.3,90.5,0,0.0,0,0,6,9,163.36,31.01,32.61,1.124,0.685,0,0.0,-0.0013,0.0261,0.4559,0.0044,0.0557,,
local,42,10,52,9.55e-04,8.5,2152,8.63,25.13,4.72,20,-3782.0,-1.674,-4.292,1893,1275,615,0.9,2090,261.8,90.0,0,0.0,0,0,6,9,163.05,30.77,32.15,1.095,0.71,0,0.0,-0.0017,0.0301,0.4299,0.0033,0.043,25.32,9.12
