variante,base,episodio,semilla,lr,segundos,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,recompensa_total_decision,decisiones,decisiones_libres,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,no_terminados,spillback_tasa,spillback_seg,spillback_eventos,cola_max_enlace,veh_max_enlace,viaje_corredor_prom,retraso_corredor_prom,retraso_corredor_punta,paradas_corredor,paradas_corredor_le1,spill_activaciones,spill_suma,perdida_politica,perdida_valor,entropia_libre,kl_aprox,clipfrac,eval_timeloss,eval_espera
vecinos,2042,1,2043,1.00e-03,9.4,2152,12.26,30.73,6.69,33,-5462.2,-2.405,-5.506,1890,1245,640,1.153,2088,274.2,94.3,0,0.0,0,0,8,12,177.55,46.08,48.97,1.754,0.396,0,0.0,-0.0196,0.0632,0.6764,0.0112,0.196,,
vecinos,2042,2,2044,9.95e-04,9.0,2152,11.22,28.92,6.28,29,-5118.5,-2.266,-5.173,1902,1289,603,1.048,2094,270.2,92.9,0,0.0,0,0,8,10,171.83,40.19,42.6,1.49,0.491,0,0.0,-0.0177,0.048,0.642,0.0096,0.1646,,
vecinos,2042,3,2045,9.90e-04,9.0,2152,8.93,25.89,4.88,22,-3968.3,-1.738,-4.445,1899,1247,646,0.963,2085,264.0,90.7,0,0.0,0,0,6,10,166.12,33.93,36.14,1.269,0.624,0,0.0,-0.0138,0.0308,0.5777,0.0127,0.1359,,
vecinos,2042,4,2046,9.85e-04,8.8,2152,8.76,25.38,4.87,20,-3885.3,-1.724,-4.378,1884,1258,622,0.903,2094,262.4,90.2,0,0.0,0,0,6,9,164.66,32.57,33.76,1.141,0.684,0,0.0,-0.0082,0.031,0.5333,0.0089,0.1094,,
vecinos,2042,5,2047,9.80e-04,8.8,2152,8.37,24.55,4.69,19,-3704.8,-1.647,-4.242,1869,1222,641,0.888,2091,260.7,89.7,0,0.0,0,0,5,9,163.2,31.53,32.61,1.123,0.698,0,0.0,-0.0054,0.0292,0.4762,0.0084,0.1107,,
vecinos,2042,6,2048,9.75e-04,8.9,2152,8.58,24.64,4.49,21,-3582.2,-1.586,-4.132,1880,1239,637,0.855,2093,259.8,89.4,0,0.0,0,0,5,9,161.82,29.62,31.38,0.997,0.759,0,0.0,-0.0053,0.0252,0.4559,0.0044,0.0699,,
vecinos,2042,7,2049,9.70e-04,9.1,2152,8.07,23.98,4.42,18,-3579.8,-1.568,-4.054,1906,1268,635,0.85,2093,258.8,89.0,0,0.0,0,0,6,10,160.7,28.54,30.06,0.956,0.776,0,0.0,-0.0035,0.0236,0.4216,0.004,0.0492,,
vecinos,2042,8,2050,9.65e-04,8.7,2152,7.79,23.3,4.39,17,-3496.7,-1.55,-4.001,1885,1254,626,0.817,2090,256.4,88.3,0,0.0,0,0,5,9,160.36,28.24,29.72,0.932,0.789,0,0.0,-0.0027,0.0264,0.3848,0.0034,0.0417,,
vecinos,2042,9,2051,9.60e-04,8.6,2152,8.28,24.08,4.43,19,-3563.8,-1.569,-4.0,1897,1265,629,0.828,2093,258.2,88.9,0,0.0,0,0,5,9,160.34,28.67,30.48,0.93,0.804,0,0.0,-0.0025,0.0252,0.3511,0.0042,0.0593,,
vecinos,2042,10,2052,9.55e-04,8.8,2152,7.71,23.29,4.26,17,-3383.5,-1.5,-3.938,1879,1242,632,0.794,2091,256.3,88.2,0,0.0,0,0,6,9,160.26,28.38,29.99,0.891,0.819,0,0.0,-0.0043,0.0235,0.3519,0.0041,0.0552,21.51,7.19
vecinos,2042,11,2053,9.50e-04,9.1,2152,8.02,23.35,4.28,15,-3401.4,-1.504,-3.855,1897,1279,614,0.776,2092,256.0,88.2,0,0.0,0,0,5,10,158.59,26.94,27.97,0.81,0.871,0,0.0,-0.0032,0.0207,0.3324,0.0038,0.0523,,
vecinos,2042,12,2054,9.45e-04,8.7,2152,7.93,23.28,4.3,18,-3417.6,-1.519,-3.882,1896,1296,597,0.776,2091,255.7,88.1,0,0.0,0,0,5,10,157.9,26.16,27.38,0.775,0.878,0,0.0,-0.0018,0.0205,0.303,0.0032,0.0392,,
vecinos,2042,13,2055,9.40e-04,8.6,2152,7.28,22.29,4.13,18,-3288.4,-1.454,-3.749,1912,1317,590,0.731,2089,253.2,87.2,0,0.0,0,0,5,9,157.88,25.53,26.88,0.707,0.9,0,0.0,-0.0013,0.0169,0.2694,0.0022,0.0285,,
vecinos,2042,14,2056,9.35e-04,8.7,2152,7.76,22.49,4.26,16,-3419.1,-1.52,-3.757,1908,1325,579,0.73,2093,253.5,87.4,0,0.0,0,0,4,9,156.07,24.58,25.43,0.697,0.91,0,0.0,-0.0018,0.0168,0.2672,0.0033,0.0389,,
vecinos,2042,15,2057,9.30e-04,8.8,2152,7.93,22.78,4.45,16,-3607.3,-1.605,-3.882,1917,1355,558,0.728,2097,254.1,87.6,0,0.0,0,0,4,10,156.36,24.22,25.01,0.663,0.917,0,0.0,-0.0032,0.0159,0.2593,0.0037,0.0496,,
vecinos,2042,16,2058,9.25e-04,8.7,2152,7.45,22.42,4.24,17,-3424.7,-1.518,-3.81,1911,1329,579,0.727,2091,253.4,87.3,0,0.0,0,0,5,9,157.71,25.49,26.9,0.741,0.892,0,0.0,-0.0031,0.0164,0.2322,0.0036,0.0387,,
vecinos,2042,17,2059,9.20e-04,8.7,2152,7.85,22.33,4.32,17,-3495.7,-1.547,-3.732,1928,1364,560,0.697,2087,252.3,87.1,0,0.0,0,0,4,9,154.82,22.86,23.76,0.58,0.957,0,0.0,-0.0042,0.0152,0.2023,0.003,0.03,,
