modo,episodio,semilla,epsilon,vehiculos,espera_prom,timeloss_prom,cola_prom,cola_max,recompensa,recompensa_decision,decisiones,cambios_fase,paradas_prom,throughput,co2_prom,nox_prom,estados_q,dq_max,eval_timeloss,eval_espera
train,1,43,1.0,2152,13.38,32.08,7.26,29,-5617.9,-2.467,2277,583,1.15,2086,276.4,95.1,115,2.292,,
train,2,44,0.95,2152,12.48,30.79,6.68,31,-5103.3,-2.238,2280,574,1.093,2086,273.3,94.0,132,1.4939,,
train,3,45,0.902,2152,11.84,30.41,6.41,27,-4827.4,-2.117,2280,601,1.133,2093,273.9,94.1,138,1.743,,
train,4,46,0.857,2152,11.71,29.59,6.39,38,-4821.2,-2.129,2265,589,1.077,2088,271.3,93.3,147,1.5015,,
train,5,47,0.815,2152,11.42,29.77,6.35,28,-4777.5,-2.104,2271,605,1.079,2088,272.1,93.5,153,1.5666,25.83,8.21
train,6,48,0.774,2152,11.54,30.0,6.32,28,-4767.9,-2.097,2274,607,1.101,2088,272.4,93.6,159,1.8319,,
train,7,49,0.735,2152,11.04,29.22,5.95,26,-4430.2,-1.941,2283,633,1.132,2091,272.1,93.5,161,1.8543,,
train,8,50,0.698,2152,11.07,29.07,5.69,30,-4190.2,-1.843,2274,629,1.093,2090,270.7,93.0,161,1.819,,
train,9,51,0.663,2152,10.44,28.62,5.74,25,-4187.0,-1.856,2256,633,1.089,2092,270.8,92.9,164,1.8468,,
train,10,52,0.63,2152,11.21,29.55,6.04,31,-4531.1,-1.987,2280,626,1.085,2088,271.7,93.3,168,2.0839,25.43,7.91
train,11,53,0.599,2152,9.66,27.61,5.37,26,-3890.0,-1.711,2274,640,1.084,2088,268.7,92.2,169,1.4105,,
train,12,54,0.569,2152,10.68,28.76,5.9,25,-4340.8,-1.911,2271,638,1.099,2088,270.7,93.0,172,2.3083,,
train,13,55,0.54,2152,9.81,27.77,5.31,28,-3824.0,-1.688,2265,651,1.068,2092,269.2,92.4,172,1.8068,,
train,14,56,0.513,2152,10.99,28.83,5.92,30,-4368.5,-1.926,2268,640,1.103,2093,270.5,92.9,172,1.813,,
train,15,57,0.488,2152,9.14,26.94,4.98,24,-3540.5,-1.565,2262,650,1.079,2087,267.9,91.9,172,1.0901,26.65,8.77
train,16,58,0.463,2152,10.29,28.5,5.51,22,-4024.6,-1.765,2280,647,1.095,2091,270.6,92.8,172,2.2657,,
train,17,59,0.44,2152,9.66,27.23,5.19,25,-3698.7,-1.635,2262,651,1.072,2095,268.0,92.0,172,1.6337,,
train,18,60,0.418,2152,9.3,26.73,5.16,24,-3698.6,-1.633,2265,646,1.026,2089,266.3,91.4,172,1.3966,,
train,19,61,0.397,2152,10.41,28.42,5.5,28,-3999.4,-1.756,2277,649,1.124,2090,270.0,92.7,172,1.624,,
train,20,62,0.377,2152,9.54,27.76,5.28,28,-3782.2,-1.67,2265,670,1.126,2086,269.5,92.4,173,1.8682,26.8,9.41
train,21,63,0.358,2152,9.74,27.47,5.35,26,-3839.2,-1.699,2259,650,1.087,2092,268.5,92.2,174,2.3206,,
train,22,64,0.341,2152,9.22,26.54,4.98,27,-3555.4,-1.561,2277,650,1.034,2087,266.1,91.4,174,1.7164,,
train,23,65,0.324,2152,8.42,26.18,4.74,23,-3328.2,-1.469,2265,677,1.038,2088,266.8,91.4,175,1.5703,,
train,24,66,0.307,2152,9.01,26.57,4.98,27,-3545.8,-1.563,2268,644,1.041,2095,266.4,91.4,175,1.3733,,
train,25,67,0.292,2152,9.25,26.91,5.01,25,-3581.1,-1.573,2277,656,1.071,2091,267.5,91.8,176,2.0767,25.76,8.28
train,26,68,0.277,2152,9.2,27.13,5.02,23,-3563.0,-1.573,2265,667,1.116,2093,268.7,92.1,176,1.074,,
train,27,69,0.264,2152,9.31,27.41,5.17,25,-3658.9,-1.626,2250,661,1.092,2093,269.1,92.2,176,1.4837,,
train,28,70,0.25,2152,9.98,27.68,5.17,23,-3721.5,-1.643,2265,657,1.081,2091,268.3,92.1,176,2.7666,,
train,29,71,0.238,2152,8.75,25.8,4.76,24,-3372.7,-1.489,2265,652,1.007,2092,264.1,90.7,176,1.1045,,
train,30,72,0.226,2152,8.9,26.11,4.76,25,-3326.1,-1.478,2250,666,1.046,2089,265.8,91.2,176,1.1454,25.75,8.29
train,31,73,0.215,2152,9.52,27.36,5.22,27,-3729.7,-1.647,2265,675,1.103,2088,268.6,92.2,176,1.2301,,
train,32,74,0.204,2152,9.36,26.82,5.01,25,-3524.8,-1.558,2262,661,1.073,2090,267.2,91.7,176,1.2396,,
train,33,75,0.194,2152,9.01,26.51,4.7,22,-3254.3,-1.444,2253,672,1.065,2089,266.5,91.4,176,1.5098,,
train,34,76,0.184,2152,9.04,26.52,5.04,22,-3567.6,-1.575,2265,676,1.069,2090,266.9,91.6,176,1.0711,,
train,35,77,0.175,2152,8.36,25.7,4.61,24,-3249.2,-1.419,2289,674,1.027,2088,265.0,90.9,176,1.1587,26.45,8.78
train,36,78,0.166,2152,9.37,27.19,5.18,27,-3653.9,-1.615,2262,672,1.107,2088,268.2,92.0,176,1.1565,,
train,37,79,0.158,2152,8.72,26.81,4.72,24,-3282.0,-1.449,2265,677,1.144,2087,268.6,92.0,176,1.0219,,
train,38,80,0.15,2152,8.39,25.92,4.69,26,-3282.4,-1.453,2259,687,1.036,2091,266.3,91.3,176,1.4853,,
train,39,81,0.142,2152,9.09,26.47,4.7,21,-3335.9,-1.457,2289,685,1.044,2092,266.4,91.4,176,1.4131,,
train,40,82,0.135,2152,8.73,26.3,4.87,30,-3371.0,-1.496,2253,676,1.064,2085,266.5,91.4,176,1.7143,26.32,8.44
train,41,83,0.129,2152,8.29,25.78,4.57,26,-3194.9,-1.416,2256,664,1.04,2089,265.7,91.1,176,1.2692,,
train,42,84,0.122,2152,8.84,26.3,4.75,20,-3326.0,-1.461,2277,692,1.073,2090,266.6,91.5,176,2.1777,,
train,43,85,0.116,2152,8.82,26.48,4.79,23,-3385.0,-1.493,2268,691,1.073,2089,266.9,91.5,176,1.2238,,
train,44,86,0.11,2152,8.88,26.43,5.01,24,-3523.9,-1.56,2259,656,1.079,2093,266.4,91.4,176,1.0129,,
train,45,87,0.105,2152,8.51,25.99,4.71,24,-3278.5,-1.447,2265,671,1.051,2091,265.9,91.2,176,1.4337,25.96,8.12
train,46,88,0.099,2152,9.26,27.07,5.0,25,-3505.4,-1.546,2268,684,1.124,2093,268.4,92.1,176,1.3124,,
train,47,89,0.094,2152,8.45,26.1,4.62,27,-3212.5,-1.413,2274,683,1.075,2092,266.9,91.5,176,1.1728,,
train,48,90,0.09,2152,8.98,26.84,5.04,24,-3561.1,-1.579,2256,686,1.085,2089,267.6,91.8,176,1.7209,,
train,49,91,0.085,2152,9.02,26.59,4.89,24,-3450.3,-1.523,2265,681,1.086,2092,267.4,91.7,176,1.2773,,
train,50,92,0.081,2152,8.3,25.76,4.55,19,-3163.7,-1.4,2259,689,1.05,2092,265.9,91.1,176,2.4729,26.09,8.2
train,51,93,0.077,2152,8.57,25.95,4.81,20,-3370.9,-1.5,2247,672,1.041,2095,265.7,91.2,176,1.894,,
train,52,94,0.073,2152,8.68,26.16,4.41,25,-3034.7,-1.343,2259,652,1.042,2092,265.7,91.1,176,1.0614,,
train,53,95,0.069,2152,8.18,25.76,4.56,28,-3171.4,-1.411,2247,667,1.019,2094,265.8,91.1,176,1.2462,,
train,54,96,0.066,2152,8.29,25.54,4.57,22,-3166.7,-1.4,2262,682,1.017,2093,264.6,90.7,176,1.4993,,
train,55,97,0.063,2152,9.36,27.33,5.14,25,-3629.8,-1.605,2262,685,1.126,2087,269.2,92.3,176,1.1241,26.88,8.99
train,56,98,0.06,2152,8.69,26.43,4.8,29,-3365.3,-1.484,2268,659,1.104,2092,267.2,91.6,176,1.3725,,
train,57,99,0.057,2152,8.41,25.56,4.55,21,-3148.2,-1.394,2259,676,1.027,2089,264.7,90.8,176,1.2872,,
train,58,100,0.054,2152,7.85,25.04,4.37,20,-3021.9,-1.343,2250,649,1.0,2093,263.9,90.5,177,1.5342,,
train,59,101,0.051,2152,8.66,26.12,4.63,32,-3200.5,-1.421,2253,655,1.078,2092,265.8,91.2,177,1.3482,,
train,60,102,0.05,2152,8.17,25.32,4.68,25,-3251.6,-1.438,2262,658,1.009,2092,264.0,90.6,177,1.026,24.65,7.59
train,61,103,0.05,2152,8.85,25.93,4.66,23,-3222.3,-1.43,2253,664,1.026,2090,265.3,91.1,177,1.3594,,
train,62,104,0.05,2152,8.63,26.18,4.84,22,-3403.8,-1.505,2262,669,1.076,2088,266.2,91.3,177,1.084,,
train,63,105,0.05,2152,8.86,26.51,4.87,22,-3408.7,-1.507,2262,670,1.089,2092,267.1,91.6,177,1.5491,,
train,64,106,0.05,2152,8.61,26.2,4.72,24,-3294.0,-1.456,2262,671,1.047,2090,266.4,91.3,177,1.2254,,
train,65,107,0.05,2152,8.62,26.31,4.72,26,-3268.0,-1.447,2259,683,1.072,2091,267.3,91.6,177,1.0012,25.92,8.68
train,66,108,0.05,2152,8.79,25.85,4.67,23,-3245.5,-1.442,2250,686,1.038,2093,264.8,90.9,177,1.0817,,
train,67,109,0.05,2152,8.51,25.88,4.65,25,-3213.0,-1.426,2253,674,1.053,2090,265.4,91.0,177,1.2424,,
