t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,2,0,0,0,0,0,0,0
120,3,0,0,0,0,0,0,0
180,1,0,0,0,0,0,1,1
240,2,1,0,0,0,0,1,1
300,1,0,0,0,0,0,0,0
360,3,0,0,0,0,1,0,0
420,1,1,0,0,1,0,0,0
480,2,0,0,0,0,0,0,0
540,4,0,0,0,2,0,0,0
600,3,1,0,0,1,0,0,0
660,1,0,0,0,0,0,1,1
720,2,0,0,0,1,1,0,0
780,1,0,0,0,0,0,0,0
840,0,0,1,1,0,0,0,0
900,0,0,1,0,0,0,0,1
960,0,0,1,1,0,0,0,1
1020,0,0,1,1,0,0,1,0
1080,0,0,1,1,0,0,0,0
1140,1,0,0,0,0,1,0,0
1200,1,0,0,0,0,0,0,0
1260,1,0,0,0,1,0,0,0
1320,2,0,0,0,0,0,1,1
1380,0,0,0,0,0,0,1,0
1440,0,0,1,1,0,1,0,0
1500,0,0,1,1,0,0,0,0
1560,0,0,1,1,0,0,1,1
1620,0,0,1,1,5,1,0,0
1680,2,1,0,0,0,0,1,1
1740,0,0,1,1,0,1,0,0
1800,0,0,1,1,0,0,1,1
1860,1,0,1,1,0,0,1,1
1920,0,1,0,0,0,0,0,1
1980,0,3,0,0,0,0,1,1
2040,0,0,2,2,0,2,0,0
2100,0,0,0,1,0,1,0,0
2160,1,1,0,0,1,2,0,0
2220,1,0,0,0,0,0,1,1
2280,0,0,1,1,0,0,1,1
2340,1,0,1,1,0,0,0,1
2400,0,0,1,1,0,0,1,1
2460,0,0,1,1,0,0,1,1
2520,2,0,0,0,0,0,1,1
2580,0,0,1,1,0,0,0,1
2640,1,0,1,1,1,2,0,0
2700,0,0,1,0,0,0,0,0
2760,1,2,0,0,0,1,0,0
2820,2,1,0,0,0,2,0,0
2880,1,0,1,0,0,2,0,0
2940,1,2,0,0,0,1,0,0
3000,1,0,1,1,1,4,0,0
3060,2,0,0,0,1,4,0,0
3120,0,0,3,2,0,0,2,3
3180,1,4,0,0,2,3,0,0
3240,2,2,0,0,0,3,0,0
3300,1,0,0,0,0,1,0,0
3360,0,0,1,1,0,1,0,0
3420,0,0,1,1,0,0,1,2
3480,2,0,1,1,0,0,1,1
3540,0,3,0,0,0,0,1,0
3600,1,1,0,0,0,0,1,1
3660,0,0,0,0,0,0,0,0
