t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,3,4,0,0,4,3
120,0,0,4,6,0,0,5,3
180,0,0,3,5,0,0,3,2
240,0,0,3,4,4,0,2,1
300,3,0,2,3,8,1,1,0
360,10,1,1,2,5,2,0,0
420,12,7,0,0,0,0,8,5
480,8,1,0,0,12,0,5,3
540,1,0,3,6,16,1,3,1
600,10,0,3,6,8,2,0,0
660,14,0,2,3,0,0,8,4
720,11,0,1,1,5,0,6,3
780,8,0,0,0,15,0,3,1
840,8,1,2,5,8,2,0,0
900,6,0,4,7,0,0,9,5
960,9,0,3,6,2,0,6,2
1020,11,0,1,5,13,1,2,0
1080,10,0,2,4,6,2,0,0
1140,13,0,1,4,0,0,9,5
1200,16,3,0,0,9,0,6,3
1260,8,0,0,2,14,1,3,1
1320,11,0,4,5,10,3,0,0
1380,6,0,3,5,0,0,8,5
1440,12,0,2,4,2,0,4,4
1500,12,0,0,3,12,0,1,1
1560,16,5,0,0,8,2,0,0
1620,13,8,0,0,0,0,6,5
1680,9,4,0,0,5,0,6,3
1740,7,1,0,1,10,0,5,2
1800,10,0,4,7,15,2,2,1
1860,13,0,4,3,5,5,0,0
1920,26,13,1,0,0,0,6,10
1980,17,17,0,0,0,0,4,14
2040,18,17,0,0,3,5,2,14
2100,17,15,0,0,3,19,2,25
2160,14,15,0,0,9,27,0,28
2220,18,8,3,0,0,27,4,32
2280,20,8,0,0,0,29,3,20
2340,18,2,6,2,11,31,0,6
2400,19,17,7,2,1,14,0,31
2460,25,25,3,1,0,25,3,30
2520,22,20,1,0,12,42,0,28
2580,18,18,1,0,3,20,0,25
2640,15,15,0,0,0,30,0,14
2700,25,8,0,0,0,31,1,7
2760,29,3,3,0,3,34,0,4
2820,26,1,7,0,5,30,0,0
2880,18,16,7,3,0,23,1,6
2940,22,21,7,2,0,18,2,6
3000,33,26,0,0,0,26,0,6
3060,21,20,0,0,1,30,0,1
3120,21,13,0,0,3,30,0,0
3180,29,5,1,0,0,16,0,3
3240,25,4,2,0,0,17,2,2
3300,30,4,8,3,3,16,0,0
3360,29,8,6,3,3,21,0,0
3420,23,11,6,2,1,24,0,0
3480,16,12,5,1,0,14,1,2
3540,26,18,2,0,0,14,2,2
3600,25,22,0,0,0,17,0,2
3660,26,12,0,0,0,26,0,0
3720,0,21,4,0,0,4,0,1
3780,10,6,0,0,0,12,0,0
3840,12,6,0,0,0,14,0,0
3900,6,21,0,0,0,19,0,0
3960,6,24,0,0,0,21,0,0
4020,1,19,0,0,0,16,0,0
4080,3,9,0,0,0,22,0,0
4140,9,8,0,0,0,19,0,0
4200,7,24,0,0,3,17,0,0
4260,2,22,0,0,0,18,0,0
4320,11,15,0,0,0,22,0,0
4380,4,10,0,0,0,23,0,0
4440,5,12,0,0,1,16,0,0
4500,0,27,0,0,0,15,0,0
4560,0,0,0,0,0,20,0,0
4620,0,0,0,0,0,0,0,0
4680,0,0,0,0,0,0,0,0
4740,0,2,0,0,0,3,0,0
4800,0,6,0,0,0,6,0,0
4860,0,0,0,0,0,1,0,0
4920,0,0,0,0,0,1,0,0
4980,0,0,0,0,0,1,0,0
5040,0,3,0,0,0,0,0,0
5100,0,2,0,0,0,2,0,0
5160,0,0,0,0,0,0,0,0
5220,0,0,0,0,0,0,0,0
