t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,3,4,0,0,4,3
120,0,0,4,6,0,0,6,4
180,0,0,4,7,7,4,0,0
240,0,0,3,6,0,0,8,6
300,1,0,2,7,5,0,5,2
360,5,0,2,7,11,3,0,0
420,15,3,1,3,0,0,13,6
480,13,2,0,0,5,0,6,3
540,1,0,5,8,14,5,0,0
600,13,0,3,6,0,0,11,6
660,10,0,2,5,7,0,6,2
720,15,2,1,2,8,2,0,0
780,11,6,0,0,1,0,6,4
840,3,0,0,1,15,0,2,1
900,8,0,4,6,3,0,6,2
960,13,0,2,3,0,0,8,4
1020,16,0,0,2,19,5,0,0
1080,15,9,0,1,0,0,10,6
1140,11,1,0,0,3,0,7,3
1200,8,0,2,5,15,5,0,0
1260,10,0,4,5,0,0,12,6
1320,9,0,2,3,6,0,7,3
1380,14,0,1,6,10,3,0,0
1440,17,3,1,3,0,0,9,5
1500,11,1,0,0,10,0,6,2
1560,4,0,5,8,8,2,2,0
1620,11,0,3,5,0,0,9,5
1680,11,0,2,3,6,0,6,1
1740,12,2,1,3,4,1,8,1
1800,14,3,0,0,3,0,8,3
1860,5,1,0,0,17,7,1,0
1920,11,11,8,1,0,0,11,10
1980,19,10,10,3,0,2,2,14
2040,12,13,11,2,4,15,0,8
2100,16,19,10,2,9,22,0,8
2160,18,17,9,1,5,25,0,13
2220,12,14,10,2,0,12,5,22
2280,21,18,6,1,0,28,2,16
2340,5,13,8,2,5,23,0,24
2400,15,17,10,2,7,24,0,18
2460,23,21,7,1,0,25,3,30
2520,29,27,2,0,6,41,0,26
2580,20,15,0,0,0,17,4,25
2640,13,15,3,0,9,39,0,0
2700,29,6,2,0,7,28,0,0
2760,20,23,3,0,0,17,2,10
2820,25,17,0,0,0,23,2,15
2880,24,15,0,0,2,30,1,5
2940,24,11,0,0,0,29,2,7
3000,18,23,6,0,2,21,1,6
3060,27,18,0,0,0,23,0,11
3120,24,16,0,0,0,28,2,4
3180,27,8,2,0,0,37,0,6
3240,23,21,3,3,0,29,1,0
3300,11,3,5,0,5,30,0,7
3360,21,15,5,3,3,29,0,0
3420,16,12,9,3,1,24,0,0
3480,34,24,3,0,1,34,0,0
3540,13,16,9,1,1,33,0,0
3600,35,30,0,0,1,38,0,0
3660,1,30,4,2,0,19,3,5
3720,4,12,2,0,0,32,0,3
3780,19,2,0,0,0,27,0,0
3840,11,8,0,0,0,6,0,0
3900,7,28,0,0,5,5,0,0
3960,1,20,0,0,0,5,0,0
4020,4,10,0,0,0,7,0,0
4080,7,6,0,0,0,12,0,0
4140,8,19,0,0,1,7,0,0
4200,5,25,0,0,3,11,0,0
4260,0,11,0,0,0,8,0,0
4320,0,0,0,0,0,1,0,0
4380,0,0,0,0,0,3,0,0
4440,0,4,0,0,0,8,0,0
4500,0,3,0,0,0,3,0,0
4560,0,0,0,0,0,1,0,0
4620,0,0,0,0,0,1,0,0
4680,0,0,0,0,0,1,0,0
4740,0,4,0,0,0,3,0,0
4800,0,0,0,0,0,1,0,0
4860,0,0,0,0,0,1,0,0
4920,0,0,0,0,0,1,0,0
4980,0,0,0,0,0,0,0,0
5040,0,7,0,0,0,1,0,0
5100,0,0,0,0,0,1,0,0
5160,0,0,0,0,0,1,0,0
5220,0,0,0,0,0,1,0,0
5280,0,0,0,0,0,0,0,0
5340,0,0,0,0,0,0,0,0
