t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,3,4,0,0,4,3
120,0,0,3,3,0,0,4,3
180,13,4,0,0,6,0,1,1
240,7,2,0,0,11,2,0,0
300,0,0,5,7,0,0,8,5
360,7,0,3,4,0,0,5,3
420,14,0,1,1,11,0,2,0
480,13,4,0,0,8,1,0,0
540,7,2,2,4,0,0,7,5
600,6,0,4,8,7,0,3,3
660,19,0,2,7,12,2,1,1
720,14,0,2,4,10,3,0,0
780,11,1,0,3,0,0,6,5
840,15,2,0,0,11,0,2,2
900,9,1,0,0,18,4,0,0
960,12,0,4,5,9,2,0,0
1020,8,0,3,4,0,0,6,5
1080,14,0,2,3,0,0,6,3
1140,18,3,0,0,13,0,3,1
1200,8,3,0,0,11,3,0,0
1260,10,0,5,6,0,0,8,5
1320,18,0,2,1,0,0,5,3
1380,20,4,0,0,10,0,2,2
1440,9,3,0,0,17,4,0,0
1500,9,0,5,6,4,1,2,0
1560,8,0,4,5,0,0,7,4
1620,15,0,2,2,2,0,4,1
1680,14,2,0,0,17,4,0,0
1740,10,2,3,5,7,2,0,0
1800,11,0,4,4,0,0,6,4
1860,12,0,2,2,0,0,4,4
1920,18,12,0,0,6,5,1,8
1980,13,12,1,0,14,15,0,0
2040,11,6,1,0,8,20,0,7
2100,17,12,5,4,2,21,0,11
2160,22,24,5,0,6,26,0,11
2220,21,21,0,0,4,17,0,27
2280,12,14,1,0,0,13,5,37
2340,13,11,0,0,0,10,3,22
2400,17,4,3,0,12,29,0,14
2460,23,15,4,3,6,19,0,32
2520,27,28,0,0,1,25,3,52
2580,21,17,0,0,0,35,2,24
2640,28,9,6,0,3,33,0,7
2700,24,5,0,0,8,35,0,1
2760,32,6,8,4,6,28,0,4
2820,29,20,3,2,2,30,0,6
2880,23,25,2,0,0,32,1,16
2940,30,18,0,0,0,40,2,10
3000,19,16,2,0,0,25,1,6
3060,26,7,1,0,1,30,1,7
3120,31,4,2,0,6,31,0,1
3180,19,14,6,3,0,11,2,12
3240,15,4,10,4,1,18,2,17
3300,32,11,3,2,0,36,1,5
3360,23,14,3,1,0,26,1,3
3420,27,20,0,0,0,21,1,3
3480,15,26,0,0,11,19,0,0
3540,19,13,5,0,0,15,0,6
3600,31,6,4,0,3,26,0,0
3660,32,9,5,0,0,10,0,5
3720,7,19,2,0,2,6,0,1
3780,15,21,0,0,3,12,0,0
3840,4,17,0,0,0,4,0,0
3900,13,11,0,0,0,10,0,0
3960,6,8,0,0,0,11,0,0
4020,6,20,0,0,1,6,0,0
4080,2,25,0,0,0,11,0,0
4140,9,16,0,0,0,9,0,0
4200,5,7,0,0,0,8,0,0
4260,13,11,0,0,0,6,0,0
4320,12,27,0,0,3,11,0,0
4380,0,23,0,0,0,8,0,0
4440,0,13,0,0,0,10,0,0
4500,0,3,0,0,0,12,0,0
4560,0,1,0,0,0,5,0,0
4620,0,7,0,0,0,7,0,0
4680,0,0,0,0,0,0,0,0
4740,0,0,0,0,0,1,0,0
4800,0,0,0,0,0,0,0,0
4860,0,3,0,0,0,0,0,0
4920,0,4,0,0,0,1,0,0
4980,0,0,0,0,0,1,0,0
5040,0,0,0,0,0,1,0,0
5100,0,0,0,0,0,0,0,0
5160,0,3,0,0,0,0,0,0
5220,0,3,0,0,0,1,0,0
5280,0,0,0,0,0,0,0,0
5340,0,0,0,0,0,0,0,0
