t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,1,0,0,0,0,0,4,3
120,2,0,3,2,1,0,2,1
180,5,3,0,0,5,0,1,1
240,2,0,3,6,5,0,0,0
300,2,0,2,9,4,0,5,1
360,11,0,0,1,8,1,0,0
420,5,1,0,2,8,0,7,1
480,6,0,2,9,9,0,3,0
540,9,2,1,3,2,0,6,2
600,5,2,0,3,5,0,5,1
660,8,4,0,0,7,2,0,0
720,7,5,0,0,2,0,6,2
780,1,0,3,5,6,0,4,1
840,5,0,5,9,6,0,8,2
900,10,1,0,4,6,0,9,2
960,5,0,4,6,13,1,3,0
1020,9,1,0,7,7,1,7,1
1080,10,2,2,11,9,0,3,0
1140,7,0,9,28,3,1,3,0
1200,3,0,9,28,7,0,4,1
1260,0,0,11,22,6,0,4,0
1320,3,0,13,42,3,0,6,2
1380,2,0,13,33,8,2,0,0
1440,6,0,15,32,8,0,2,0
1500,8,0,11,33,4,0,5,2
1560,7,0,8,38,6,0,1,0
1620,2,0,20,42,8,0,3,0
1680,1,0,26,34,4,0,5,0
1740,5,0,29,32,6,0,1,0
1800,1,0,18,34,4,1,2,0
1860,2,0,23,33,2,0,5,2
1920,8,0,30,39,6,5,2,2
1980,8,7,38,39,0,1,1,3
2040,8,23,34,33,11,12,0,0
2100,3,5,31,36,11,12,0,3
2160,6,11,35,38,4,5,1,6
2220,11,8,37,37,8,12,0,2
2280,3,0,37,39,2,2,3,5
2340,8,15,25,25,2,2,0,5
2400,13,25,33,30,9,12,0,2
2460,7,0,42,42,11,28,0,4
2520,9,9,15,11,5,6,1,6
2580,7,24,39,38,0,0,4,20
2640,3,14,36,36,6,33,0,8
2700,6,5,32,31,8,7,0,6
2760,9,17,33,33,7,6,1,19
2820,5,25,42,39,1,20,5,35
2880,3,12,33,33,3,29,3,26
2940,5,7,30,28,10,16,0,3
3000,15,13,34,30,4,8,1,8
3060,0,32,44,42,3,11,1,39
3120,10,6,28,28,6,46,0,26
3180,11,7,32,33,6,6,0,9
3240,8,15,36,38,0,7,2,22
3300,10,22,41,41,0,14,1,16
3360,14,15,36,35,0,11,1,13
3420,9,6,33,33,0,6,2,11
3480,4,10,36,36,0,9,2,31
3540,11,19,37,39,4,15,0,8
3600,4,20,43,43,1,12,0,20
3660,10,7,29,28,0,15,0,7
3720,12,5,34,34,2,18,0,9
3780,8,18,34,36,1,6,0,13
3840,18,18,40,40,4,13,0,11
3900,4,17,36,37,0,7,0,5
3960,18,9,30,30,1,12,0,8
4020,12,11,35,36,3,12,0,0
4080,14,22,37,38,0,3,0,0
4140,9,18,41,43,0,26,0,0
4200,8,11,31,32,0,3,0,0
4260,13,6,35,34,0,22,0,0
4320,3,17,32,32,0,6,0,0
4380,0,14,41,40,3,13,0,0
4440,0,1,32,30,0,1,0,0
4500,0,0,32,33,0,5,0,0
4560,0,0,33,32,0,4,0,0
4620,0,2,29,27,0,8,0,0
4680,0,0,29,26,0,14,0,0
4740,0,0,31,29,0,0,0,0
4800,0,0,32,25,0,0,0,0
4860,0,0,34,21,0,2,0,0
4920,0,0,30,26,0,7,0,0
4980,0,7,20,14,0,1,0,0
5040,0,8,23,3,0,1,0,0
5100,0,0,42,13,0,1,0,0
5160,0,27,11,0,0,0,0,0
5220,0,2,29,0,0,0,0,0
5280,0,0,27,0,0,0,0,0
5340,0,0,9,0,0,0,0,0
5400,0,0,9,0,0,0,0,0
5460,0,0,19,0,0,0,0,0
5520,0,0,13,0,0,0,0,0
5580,0,0,5,0,0,0,0,0
5640,0,0,0,0,0,0,0,0
