t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,0,0,0,0,0,0,1,1
120,2,0,0,0,0,0,2,1
180,1,1,0,0,0,0,1,1
240,4,0,0,0,0,0,1,1
300,3,0,0,0,0,0,2,1
360,5,0,0,0,0,0,3,2
420,5,1,0,0,0,0,0,0
480,3,0,0,0,0,0,0,0
540,1,0,1,1,0,0,0,0
600,0,0,1,1,0,0,0,0
660,0,0,1,1,2,1,0,0
720,0,0,1,1,1,3,0,0
780,0,0,2,3,2,3,0,0
840,0,0,2,3,1,0,0,0
900,1,0,0,0,0,0,0,1
960,1,0,0,0,0,0,0,1
1020,1,0,0,0,0,0,1,1
1080,4,0,0,0,0,0,1,0
1140,4,0,0,0,0,0,3,1
1200,6,0,0,0,0,0,3,2
1260,7,3,0,0,1,0,0,0
1320,3,0,0,0,0,2,0,0
1380,0,0,0,1,0,1,0,0
1440,0,0,1,1,0,1,0,0
1500,0,0,1,1,3,1,0,0
1560,0,0,1,2,4,3,0,0
1620,0,0,1,3,3,3,0,0
1680,0,0,2,3,1,0,0,1
1740,0,0,0,0,0,0,1,1
1800,1,0,0,0,0,0,1,1
1860,1,0,0,0,0,0,0,1
1920,1,0,0,0,0,0,1,1
1980,1,0,0,0,0,0,1,3
2040,2,0,0,0,0,0,2,3
2100,3,2,0,0,0,0,0,0
2160,2,5,0,0,0,1,0,0
2220,0,2,1,1,0,2,0,0
2280,0,0,1,1,0,6,0,0
2340,0,2,1,1,1,3,0,0
2400,0,2,1,1,1,5,0,0
2460,2,1,2,2,0,5,0,0
2520,0,0,3,2,0,4,0,0
2580,1,1,0,0,0,0,0,0
2640,1,5,0,0,0,0,1,1
2700,1,5,0,0,0,0,1,1
2760,1,6,0,0,0,0,1,1
2820,2,5,0,0,0,0,1,2
2880,3,5,0,0,0,0,2,3
2940,7,8,0,0,0,0,0,0
3000,2,4,1,1,0,2,0,0
3060,0,2,1,1,0,3,0,0
3120,0,0,1,1,0,2,0,0
3180,1,0,1,1,0,4,0,0
3240,2,0,1,1,0,5,0,0
3300,0,4,1,1,0,6,0,0
3360,1,1,3,2,0,4,0,0
3420,1,2,0,0,0,0,1,1
3480,2,4,0,0,0,0,1,1
3540,2,6,0,0,0,0,1,1
3600,2,5,0,0,0,0,1,1
3660,0,4,0,0,0,0,0,0
3720,0,0,0,0,0,0,0,0
