t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,2,0,0,0,0,0,1,1
120,0,0,1,1,0,0,2,1
180,1,2,0,0,2,0,0,0
240,0,0,1,2,0,0,1,1
300,0,0,1,1,1,0,0,0
360,0,0,0,0,0,0,1,1
420,0,0,0,2,0,0,0,0
480,3,0,0,0,0,0,3,1
540,0,0,1,1,1,0,0,0
600,0,0,1,1,1,1,0,0
660,3,2,0,0,2,0,0,0
720,0,0,1,1,0,0,1,1
780,0,0,1,1,0,0,1,0
840,2,1,0,0,0,0,1,0
900,0,0,1,1,0,0,0,0
960,0,0,1,1,0,0,1,1
1020,2,2,0,0,0,0,3,2
1080,0,0,1,2,0,0,1,0
1140,1,0,0,0,0,0,3,0
1200,0,0,2,1,0,0,1,1
1260,0,0,0,0,0,0,3,0
1320,0,0,0,2,0,2,0,0
1380,2,0,0,0,0,0,2,1
1440,4,0,0,0,0,0,1,1
1500,0,0,1,2,0,0,2,0
1560,3,0,0,0,0,0,3,1
1620,0,0,1,2,0,0,1,0
1680,0,0,1,0,0,0,3,1
1740,0,0,1,2,0,0,1,1
1800,2,0,0,0,2,0,0,0
1860,0,0,1,1,0,0,0,1
1920,1,0,2,1,0,4,0,0
1980,0,0,1,1,0,0,1,1
2040,2,0,1,1,0,1,0,0
2100,0,0,0,0,0,0,1,2
2160,0,0,2,1,0,0,1,0
2220,0,1,1,0,1,1,0,0
2280,0,0,1,1,0,0,0,1
2340,1,0,2,1,0,0,0,0
2400,1,0,0,0,0,0,2,2
2460,0,0,1,1,0,0,0,1
2520,0,0,2,1,0,1,0,0
2580,0,0,1,1,1,2,0,0
2640,1,0,1,0,0,0,1,2
2700,1,0,1,1,0,0,1,1
2760,1,3,1,0,0,1,0,0
2820,0,0,1,0,0,0,1,2
2880,2,3,1,0,0,0,1,1
2940,1,0,3,1,0,0,0,0
3000,0,0,1,1,0,0,0,0
3060,0,0,2,1,0,0,1,1
3120,1,4,0,0,1,1,0,0
3180,0,0,1,1,0,0,1,1
3240,0,0,3,2,0,1,0,0
3300,0,0,1,1,0,0,1,2
3360,0,3,0,0,0,0,1,1
3420,1,0,3,1,0,1,0,0
3480,2,1,1,0,0,1,0,0
3540,0,0,2,0,0,0,1,2
3600,1,0,0,0,0,0,1,1
3660,0,0,2,1,0,0,0,0
