t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,2,0,0,0,0,0,0,0
120,1,0,0,0,0,0,1,0
180,0,0,2,3,0,0,1,1
240,1,0,0,0,0,1,0,0
300,0,0,1,1,0,0,1,1
360,2,0,0,0,3,1,0,0
420,2,0,0,0,0,0,0,0
480,0,0,2,3,0,0,0,1
540,0,0,1,2,1,0,0,0
600,0,0,1,1,4,0,0,0
660,0,0,1,1,0,0,1,0
720,0,0,1,1,0,0,0,0
780,0,0,1,2,0,0,0,1
840,0,0,1,1,2,0,1,0
900,0,0,1,1,0,0,0,0
960,2,0,0,0,0,1,0,0
1020,0,0,1,3,0,0,1,1
1080,1,0,0,0,0,0,3,2
1140,0,0,2,1,0,0,1,1
1200,0,0,1,1,0,0,0,0
1260,0,0,0,0,0,0,2,0
1320,0,0,1,1,0,0,1,1
1380,0,0,0,1,1,0,1,1
1440,2,0,0,0,0,1,0,0
1500,0,0,1,0,0,0,1,0
1560,0,0,1,1,3,1,0,0
1620,2,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,2,1
1740,3,1,0,0,0,1,0,0
1800,0,0,1,2,0,0,1,1
1860,0,0,1,1,0,0,2,3
1920,0,0,1,1,0,0,0,0
1980,1,1,0,0,0,3,0,0
2040,0,0,2,1,0,2,0,0
2100,1,2,0,0,1,2,0,0
2160,0,0,2,1,0,3,0,1
2220,0,0,1,1,3,2,0,0
2280,0,0,1,1,0,0,1,1
2340,0,0,3,2,0,0,0,1
2400,0,1,1,0,0,0,1,1
2460,1,0,1,1,0,0,1,1
2520,1,8,1,0,0,0,1,1
2580,1,0,1,1,0,0,0,0
2640,1,0,0,0,0,0,0,0
2700,0,0,1,1,0,0,1,1
2760,0,0,3,2,0,0,1,1
2820,0,0,1,0,0,0,1,1
2880,0,0,1,1,0,1,0,0
2940,0,1,0,0,0,0,1,1
3000,0,0,1,1,0,0,1,1
3060,1,0,0,0,0,1,0,0
3120,1,0,1,1,0,3,0,0
3180,2,2,1,0,0,1,0,0
3240,2,0,0,0,0,0,0,1
3300,1,5,1,0,0,0,0,0
3360,1,0,1,1,0,2,0,1
3420,0,0,1,1,0,0,1,1
3480,2,3,0,0,0,0,1,1
3540,0,0,1,0,0,0,1,1
3600,0,0,3,2,0,0,1,1
3660,0,0,0,0,0,0,0,0
