t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,2,0,0,0,0,0,1,1
120,0,0,1,1,1,1,0,0
180,0,0,0,0,0,0,2,1
240,0,0,1,1,0,0,0,0
300,2,1,0,0,0,0,2,1
360,0,0,1,1,0,0,0,0
420,2,0,1,0,0,0,2,1
480,0,0,1,1,0,1,0,0
540,1,0,0,0,0,0,3,1
600,0,0,1,1,1,0,0,0
660,1,0,0,0,0,0,1,1
720,0,0,1,1,1,1,0,0
780,1,1,0,0,0,0,0,1
840,0,0,1,1,0,1,0,0
900,1,1,0,0,0,0,1,1
960,0,0,1,1,2,1,0,0
1020,1,0,0,0,0,0,1,1
1080,0,0,1,1,1,1,0,0
1140,0,0,0,0,0,0,1,1
1200,0,0,1,1,0,0,3,2
1260,0,0,1,1,1,0,0,0
1320,1,1,0,0,0,0,1,1
1380,0,0,0,1,0,1,0,0
1440,2,0,0,0,0,0,1,1
1500,0,0,1,0,0,0,3,1
1560,0,0,1,1,1,0,0,0
1620,1,1,0,0,0,0,1,1
1680,0,0,1,1,0,1,0,0
1740,1,0,0,0,0,0,3,1
1800,0,0,1,1,1,1,0,0
1860,1,0,1,0,0,0,1,1
1920,0,0,1,1,0,4,0,0
1980,1,0,1,0,0,0,1,1
2040,2,0,0,1,0,1,0,0
2100,1,1,1,0,0,0,1,2
2160,2,0,1,1,0,0,1,0
2220,0,0,1,1,0,1,0,0
2280,1,0,0,0,0,0,1,1
2340,1,0,1,1,0,1,0,0
2400,2,1,1,0,0,0,1,1
2460,0,0,1,1,0,1,0,0
2520,0,0,0,0,0,0,1,1
2580,0,0,1,1,0,2,0,0
2640,1,0,1,0,0,0,1,2
2700,0,0,1,1,0,0,1,1
2760,0,1,0,0,1,1,0,0
2820,2,0,2,0,0,0,1,1
2880,0,0,1,1,2,3,0,1
2940,1,0,0,0,0,0,1,1
3000,1,0,1,1,0,2,0,0
3060,2,0,1,0,0,0,0,0
3120,2,0,3,2,0,0,1,1
3180,0,0,1,1,1,1,0,0
3240,2,0,0,0,0,0,0,1
3300,0,0,1,1,0,3,0,0
3360,1,0,1,0,0,0,1,1
3420,1,0,3,1,0,2,0,0
3480,2,1,0,0,0,0,1,1
3540,0,0,1,0,0,0,0,0
3600,1,0,0,0,0,0,1,2
3660,0,0,0,0,0,0,0,0
