t,W_C1,C2_C1,N1_C1,S1_C1,C1_C2,E_C2,N2_C2,S2_C2
60,3,0,0,0,0,0,1,1
120,0,0,1,1,0,0,0,0
180,0,0,1,1,1,1,0,0
240,5,0,0,0,8,1,0,0
300,0,0,1,1,2,1,0,0
360,3,0,0,0,3,1,0,0
420,1,0,0,1,4,1,0,0
480,0,0,1,1,2,0,0,0
540,2,2,0,0,5,0,1,1
600,0,0,1,1,2,0,0,0
660,3,0,0,0,4,0,0,0
720,0,0,1,1,4,1,0,0
780,2,0,0,0,5,0,0,0
840,0,0,1,1,2,1,0,0
900,0,0,1,1,2,0,0,1
960,4,0,0,0,1,0,1,1
1020,2,0,0,0,0,0,0,1
1080,0,0,1,1,0,0,1,0
1140,1,0,1,1,0,0,1,0
1200,4,2,0,0,0,0,1,1
1260,2,0,0,0,0,0,3,0
1320,6,0,0,0,0,0,1,1
1380,0,0,0,1,2,0,0,0
1440,5,0,0,0,2,0,0,0
1500,0,0,1,1,7,0,0,1
1560,5,1,0,0,3,0,0,1
1620,0,0,1,1,1,0,0,1
1680,1,0,1,1,0,0,1,1
1740,3,1,0,0,2,0,1,0
1800,3,0,0,0,5,1,0,0
1860,0,0,1,1,4,2,0,0
1920,1,0,1,1,2,0,0,0
1980,0,5,1,0,3,4,0,1
2040,1,8,0,0,0,0,1,1
2100,1,5,0,0,0,0,1,1
2160,2,2,0,0,0,0,1,0
2220,1,2,0,0,0,1,0,0
2280,0,3,1,1,0,5,0,0
2340,0,7,1,0,2,4,0,0
2400,2,6,0,0,0,1,1,1
2460,0,0,2,2,0,0,1,0
2520,2,5,0,0,0,0,1,1
2580,1,2,0,0,0,0,1,1
2640,1,1,0,0,0,0,1,1
2700,0,0,1,1,0,0,1,1
2760,0,3,0,0,0,0,0,0
2820,2,6,0,0,0,2,0,0
2880,2,3,0,0,0,3,0,1
2940,1,3,2,1,0,0,0,0
3000,1,5,0,0,1,3,0,0
3060,2,6,0,0,0,4,0,0
3120,2,4,0,0,0,1,0,0
3180,0,4,0,0,0,0,1,1
3240,1,4,1,1,0,0,0,1
3300,0,6,1,0,0,0,1,1
3360,1,3,0,0,0,1,0,0
3420,1,5,0,0,0,5,0,0
3480,2,8,0,0,0,6,0,0
3540,2,2,0,0,0,4,0,0
3600,2,6,1,0,0,1,1,1
3660,0,0,0,0,0,0,0,0
