t,N_C,S_C,E_C,W_C
60,0,0,3,3
120,2,2,0,0
180,7,5,1,1
240,0,2,1,1
300,0,0,1,1
360,0,0,2,2
420,1,1,4,4
480,3,2,0,0
540,2,1,0,0
600,0,0,2,2
660,0,0,1,1
720,0,0,1,3
780,0,0,4,4
840,2,2,0,0
900,4,2,0,0
960,3,4,0,0
1020,3,3,0,0
1080,0,0,1,1
1140,0,0,3,3
1200,2,3,0,0
1260,3,2,0,0
1320,5,6,0,0
1380,0,0,1,1
1440,0,0,2,1
1500,0,0,4,4
1560,2,2,0,0
1620,2,2,0,0
1680,0,0,2,2
1740,0,0,1,1
1800,1,1,1,0
1860,2,2,0,0
1920,3,2,0,0
1980,1,2,0,0
2040,4,4,0,0
2100,0,0,1,1
2160,0,0,5,5
2220,1,1,0,0
2280,1,1,0,0
2340,1,2,0,0
2400,0,0,1,1
2460,0,0,2,2
2520,0,0,3,3
2580,1,1,1,2
2640,1,1,0,0
2700,1,2,0,0
2760,4,4,1,1
2820,0,0,2,2
2880,0,0,5,6
2940,1,1,0,0
3000,1,1,0,0
3060,2,2,0,0
3120,4,4,1,1
3180,3,3,0,0
3240,0,0,0,1
3300,0,0,6,5
3360,1,1,0,0
3420,1,1,0,0
3480,4,4,1,1
3540,0,0,3,2
3600,0,0,6,7
3660,0,0,0,0
