t,N_C,S_C,E_C,W_C
60,6,7,0,0
120,5,7,0,0
180,7,6,0,0
240,4,4,0,0
300,2,3,0,0
360,2,2,0,0
420,3,2,0,0
480,1,1,3,3
540,0,0,3,4
600,0,0,4,4
660,0,0,1,1
720,0,0,1,1
780,0,0,2,2
840,0,0,1,1
900,3,3,0,0
960,8,7,1,1
1020,6,7,0,0
1080,6,7,0,0
1140,4,7,0,0
1200,4,6,0,0
1260,4,4,0,0
1320,3,3,0,0
1380,2,1,0,0
1440,1,1,4,3
1500,0,0,4,4
1560,0,0,3,3
1620,0,0,2,1
1680,1,0,3,2
1740,0,0,1,1
1800,0,0,0,1
1860,2,2,2,2
1920,3,3,1,1
1980,4,4,1,0
2040,4,4,1,1
2100,1,1,0,0
2160,2,1,0,0
2220,2,2,0,0
2280,1,1,0,0
2340,0,0,3,2
2400,1,1,7,6
2460,0,0,6,7
2520,0,1,7,6
2580,0,0,5,5
2640,0,0,5,4
2700,0,0,4,4
2760,0,0,2,2
2820,0,0,1,1
2880,3,3,1,1
2940,5,4,0,1
3000,3,3,0,0
3060,2,1,1,0
3120,3,2,1,1
3180,1,1,0,0
3240,0,1,0,0
3300,1,1,3,3
3360,0,0,7,6
3420,0,0,7,5
3480,0,0,7,7
3540,0,0,5,5
3600,0,0,5,7
3660,0,0,0,0
