t,N_C,S_C,E_C,W_C
60,5,6,0,0
120,0,0,1,1
180,7,6,0,0
240,5,5,1,1
300,0,0,1,1
360,2,2,4,4
420,7,7,0,0
480,1,1,1,1
540,8,7,0,0
600,10,9,0,0
660,4,2,1,1
720,4,3,1,3
780,10,6,0,0
840,7,3,1,1
900,0,0,1,1
960,6,5,0,0
1020,5,2,1,1
1080,0,0,2,2
1140,5,3,2,2
1200,10,9,0,0
1260,0,0,1,1
1320,4,6,0,0
1380,9,11,0,0
1440,0,1,2,1
1500,6,8,4,4
1560,11,15,0,0
1620,10,14,1,0
1680,1,3,3,3
1740,8,7,0,0
1800,16,19,1,1
1860,7,9,2,3
1920,2,4,8,7
1980,1,2,12,10
2040,3,6,4,3
2100,2,4,1,1
2160,0,1,6,4
2220,0,1,12,10
2280,1,1,2,0
2340,2,0,4,3
2400,0,0,2,3
2460,0,0,5,6
2520,0,0,1,1
2580,0,0,3,3
2640,4,4,0,0
2700,0,0,1,1
2760,5,5,1,1
2820,2,2,1,1
2880,3,3,0,0
2940,4,4,0,1
3000,3,3,1,1
3060,4,4,0,0
3120,4,4,0,1
3180,3,3,0,0
3240,3,3,0,0
3300,4,4,0,0
3360,3,3,0,0
3420,0,0,2,2
3480,0,0,4,4
3540,1,1,2,1
3600,0,0,1,1
3660,1,1,0,0
3720,0,0,0,0
