t,N_C,S_C,E_C,W_C
60,0,0,1,1
120,0,0,0,0
180,0,0,0,0
240,1,1,1,1
300,0,0,1,1
360,0,0,1,1
420,1,0,0,0
480,0,0,0,0
540,0,0,0,0
600,1,1,3,2
660,1,0,0,0
720,0,0,1,1
780,0,0,0,1
840,2,1,0,0
900,0,0,0,1
960,1,1,1,1
1020,1,1,0,1
1080,1,0,0,0
1140,2,1,0,0
1200,1,1,0,0
1260,0,0,0,1
1320,1,1,1,1
1380,1,1,0,0
1440,0,0,1,1
1500,0,0,0,0
1560,2,0,0,0
1620,0,0,0,1
1680,2,2,0,0
1740,1,1,0,0
1800,0,0,1,0
1860,0,0,0,0
1920,0,0,0,0
1980,0,0,4,4
2040,0,0,2,2
2100,0,0,0,0
2160,0,0,1,1
2220,1,1,0,0
2280,0,0,0,0
2340,0,0,3,1
2400,0,0,2,2
2460,0,0,0,0
2520,0,0,1,1
2580,3,0,0,0
2640,0,0,0,0
2700,0,0,0,0
2760,0,0,1,1
2820,0,0,2,2
2880,0,0,0,0
2940,0,0,0,0
3000,1,1,0,0
3060,0,0,0,0
3120,1,1,1,1
3180,0,0,1,1
3240,1,1,0,0
3300,0,0,0,0
3360,0,0,1,2
3420,0,0,0,0
3480,1,1,1,1
3540,0,0,1,1
3600,1,1,0,0
3660,0,0,0,0
