t,N_C,S_C,E_C,W_C
60,2,2,1,0
120,0,0,0,0
180,0,0,0,0
240,1,1,1,1
300,0,0,1,1
360,0,0,1,1
420,0,0,2,3
480,0,1,0,0
540,3,2,0,0
600,5,3,0,0
660,4,3,0,0
720,5,5,0,0
780,4,5,0,0
840,6,6,0,0
900,2,4,0,0
960,1,1,0,0
1020,1,1,1,1
1080,0,0,1,1
1140,0,0,1,1
1200,0,0,1,1
1260,0,0,2,2
1320,2,1,0,0
1380,2,3,0,0
1440,2,3,0,0
1500,3,4,0,0
1560,4,3,0,0
1620,6,5,0,0
1680,8,8,0,0
1740,5,5,1,0
1800,2,1,0,0
1860,0,0,3,2
1920,0,0,3,2
1980,0,0,6,5
2040,0,0,7,6
2100,0,0,7,5
2160,0,0,4,4
2220,0,0,0,1
2280,0,1,0,0
2340,0,0,0,0
2400,1,1,1,1
2460,0,1,0,0
2520,1,1,0,1
2580,0,0,0,2
2640,0,0,1,3
2700,0,0,4,3
2760,0,0,4,6
2820,0,0,4,6
2880,0,0,5,7
2940,0,0,5,6
3000,0,0,4,3
3060,0,0,1,1
3120,0,1,1,1
3180,0,0,1,1
3240,1,1,0,0
3300,1,3,0,0
3360,1,1,0,0
3420,0,0,0,1
3480,0,0,2,1
3540,0,0,3,3
3600,0,0,3,4
3660,0,0,0,1
