t,W_C,E_C,N_C,S_C
60,0,0,1,0
120,2,2,0,0
180,0,0,3,2
240,0,0,1,1
300,0,0,0,0
360,1,2,0,0
420,0,0,2,2
480,0,0,1,1
540,0,0,0,0
600,0,0,1,1
660,0,0,0,0
720,1,1,0,0
780,0,0,0,0
840,1,1,0,0
900,2,1,0,0
960,0,0,1,1
1020,0,0,1,1
1080,1,1,0,0
1140,0,0,0,0
1200,1,1,0,0
1260,2,2,0,0
1320,2,2,1,1
1380,1,1,1,1
1440,2,2,0,0
1500,0,0,3,3
1560,1,1,0,0
1620,2,1,0,0
1680,0,0,3,2
1740,0,0,2,2
1800,0,0,0,0
1860,0,0,1,3
1920,0,0,1,1
1980,2,2,0,0
2040,1,1,0,0
2100,0,0,0,0
2160,0,0,1,1
2220,2,0,0,0
2280,2,2,0,0
2340,0,0,0,0
2400,1,1,1,1
2460,0,0,1,1
2520,0,0,1,2
2580,1,1,0,0
2640,3,3,0,0
2700,0,0,1,0
2760,1,1,1,1
2820,1,1,1,0
2880,0,0,0,0
2940,1,0,0,0
3000,0,0,0,1
3060,0,0,1,1
3120,2,1,0,0
3180,1,1,0,0
3240,0,0,1,2
3300,1,2,0,0
3360,0,0,0,0
3420,0,0,0,0
3480,1,1,2,2
3540,2,3,0,0
3600,1,0,0,1
3660,0,0,0,0
