t,N_C,S_C,E_C,W_C
60,0,0,1,0
120,1,1,0,0
180,7,7,0,0
240,3,4,0,0
300,3,3,0,0
360,0,0,0,0
420,1,3,0,0
480,1,2,0,0
540,4,3,0,0
600,2,3,0,0
660,1,1,0,1
720,0,0,0,1
780,0,2,0,0
840,1,1,1,1
900,0,2,0,1
960,1,1,0,0
1020,1,1,0,0
1080,0,0,1,1
1140,1,0,0,0
1200,0,0,0,1
1260,5,2,0,0
1320,1,1,0,0
1380,4,2,0,0
1440,0,1,0,0
1500,0,1,0,0
1560,0,0,0,1
1620,1,0,0,1
1680,1,1,0,0
1740,6,4,0,0
1800,0,0,0,0
1860,0,1,0,0
1920,1,1,0,0
1980,0,0,0,0
2040,0,0,3,3
2100,0,0,0,0
2160,0,0,3,5
2220,0,1,1,1
2280,0,0,0,0
2340,0,0,6,4
2400,1,1,1,1
2460,0,0,1,1
2520,0,0,3,3
2580,0,0,2,1
2640,0,0,0,0
2700,0,0,0,0
2760,0,0,4,7
2820,1,0,1,1
2880,0,0,2,1
2940,0,0,5,5
3000,0,0,0,0
3060,0,0,5,5
3120,1,1,1,1
3180,0,0,2,2
3240,0,0,0,0
3300,0,0,5,4
3360,0,0,0,1
3420,1,0,0,0
3480,0,0,3,2
3540,0,0,1,1
3600,1,1,0,0
3660,0,0,0,0
