id,depart,timeloss,espera,paradas,co2
p1_N2_S2.0,0.0,6.24,0.0,0,154.62
p1_N1_S1.0,0.0,5.26,0.0,0,147.45
p1_S2_N2.0,0.0,6.03,0.0,0,150.75
p1_N1_S1.1,20.0,6.2,0.0,0,146.82
p1_S2_N2.1,20.0,7.56,0.0,0,173.22
p1_N2_S2.1,20.0,7.88,0.0,0,171.66
p1_S1_N1.0,0.0,20.56,9.0,1,183.87
p1_S1_N1.1,20.0,9.49,0.0,0,164.52
p1_N2_W.0,3.0,15.99,2.0,1,239.47
p1_W_S2.0,3.0,18.7,0.0,0,237.77
p1_W_E.0,0.0,10.69,0.0,0,217.81
p1_W_E.1,6.0,20.17,0.0,0,259.71
p1_W_E.2,12.0,15.63,0.0,0,252.08
p1_E_W.0,0.0,12.73,0.0,0,218.25
p1_E_W.1,15.0,15.1,0.0,0,218.56
p1_E_N1.0,3.0,15.95,0.0,0,231.54
p1_N1_S1.2,40.0,15.21,4.0,1,182.29
p1_S1_N1.2,40.0,14.77,4.0,1,182.86
p1_N2_S2.2,40.0,17.92,5.0,1,189.41
p1_S2_N2.2,40.0,14.1,4.0,1,180.69
p1_S2_N2.3,60.0,5.35,0.0,0,150.25
p1_E_W.2,29.0,16.44,2.0,1,250.98
p1_N2_S2.3,60.0,5.81,0.0,0,153.15
p1_E_W.3,44.0,6.58,0.0,0,196.2
p1_S1_E.0,3.0,45.71,24.0,2,293.25
p1_W_E.3,18.0,37.81,18.0,2,278.21
p1_W_E.4,24.0,34.3,13.0,2,269.43
p1_W_E.5,30.0,26.35,7.0,2,255.65
p1_S1_N1.3,60.0,22.11,11.0,1,192.56
p1_W_E.6,36.0,26.53,4.0,1,269.4
p1_W_E.7,42.0,22.14,3.0,1,251.87
p1_N1_S1.3,60.0,20.81,9.0,1,184.56
p1_N1_S1.4,80.0,6.77,0.0,0,146.47
p1_S1_N1.4,80.0,6.27,0.0,0,157.69
p1_S2_N2.4,80.0,11.24,0.0,0,179.96
p1_N2_S2.4,80.0,13.61,2.0,1,180.2
p1_E_W.4,58.0,17.6,4.0,1,222.05
p1_E_N1.1,61.0,15.2,2.0,1,238.11
p1_W_E.8,48.0,27.92,10.0,2,261.26
p1_N1_S1.5,100.0,9.56,0.0,0,173.5
p1_W_E.9,54.0,28.07,6.0,2,265.51
p1_W_S2.1,63.0,26.08,3.0,1,259.33
p1_W_E.10,60.0,29.92,3.0,1,268.75
p1_W_E.11,66.0,20.71,2.0,1,240.39
p1_S1_N1.5,100.0,5.6,0.0,0,154.73
p1_S1_E.1,63.0,29.84,9.0,1,267.3
p1_S2_N2.5,100.0,16.53,6.0,1,182.2
p1_N2_S2.5,100.0,15.9,4.0,1,174.44
p1_S2_N2.6,120.0,6.47,0.0,0,154.03
p1_N2_S2.6,120.0,6.83,0.0,0,157.34
p1_E_W.5,72.0,20.77,8.0,1,232.59
p1_N2_W.1,63.0,20.97,5.0,1,236.92
p1_W_E.12,72.0,39.83,22.0,2,285.57
p1_W_E.13,78.0,37.75,19.0,2,282.54
p1_E_W.6,87.0,30.93,7.0,1,252.96
p1_W_E.14,84.0,35.48,11.0,2,270.31
p1_E_W.7,101.0,11.09,0.0,0,205.37
p1_S1_N1.6,120.0,21.61,10.0,1,186.36
p1_S1_N1.7,140.0,6.16,0.0,0,150.7
p1_W_E.15,90.0,21.12,7.0,1,240.5
p1_W_E.16,96.0,31.74,6.0,1,257.45
p1_N1_S1.6,120.0,14.06,4.0,1,182.62
p1_W_E.17,102.0,27.44,9.0,1,258.65
p1_N1_S1.7,140.0,11.07,0.0,0,167.21
p1_W_E.18,108.0,23.06,6.0,1,259.84
p1_N2_W.2,123.0,8.59,0.0,0,214.64
p1_W_E.19,114.0,10.04,0.0,0,209.09
p1_W_S2.2,123.0,13.5,0.0,0,228.19
p1_E_W.8,116.0,21.68,10.0,1,237.95
p1_W_E.20,120.0,16.23,0.0,0,230.99
p1_W_E.21,126.0,14.43,0.0,0,219.86
p1_N2_S2.7,140.0,25.55,13.0,1,197.64
p1_S2_N2.7,140.0,25.36,14.0,1,201.09
p1_E_W.9,130.0,15.67,0.0,0,239.02
p1_N2_S2.8,160.0,6.46,0.0,0,160.6
p1_S2_N2.8,160.0,6.15,0.0,0,155.22
p1_E_N1.2,120.0,19.55,4.0,1,249.84
p1_S1_N1.8,160.0,12.57,0.0,0,172.64
p1_N1_S1.8,160.0,13.0,1.0,1,182.38
p1_S1_E.2,123.0,33.61,17.0,2,271.81
p1_W_E.22,132.0,26.98,11.0,1,258.04
p1_W_E.23,138.0,22.71,6.0,1,251.3
p1_E_W.10,144.0,19.52,8.0,1,234.2
p1_W_E.24,144.0,13.95,1.0,1,227.46
p1_W_E.25,150.0,17.02,0.0,0,224.56
p1_W_E.26,156.0,12.75,0.0,0,221.0
p1_N2_S2.9,180.0,15.65,4.0,1,183.82
p1_S2_N2.9,180.0,15.58,2.0,1,179.98
p1_S1_N1.9,180.0,20.08,8.0,1,190.17
p1_N1_S1.9,180.0,19.91,10.0,1,191.09
p1_N1_S1.10,200.0,5.56,0.0,0,147.17
p1_S1_N1.10,200.0,5.54,0.0,0,146.37
p1_W_E.27,162.0,23.62,11.0,1,245.69
p1_W_E.28,168.0,19.68,7.0,1,234.29
p1_E_W.11,159.0,33.84,17.0,2,278.75
p1_W_E.29,174.0,19.02,3.0,1,242.13
p1_E_W.12,173.0,21.79,7.0,1,252.33
p1_N2_W.3,183.0,15.46,3.0,1,236.56
p1_E_N1.3,180.0,14.18,0.0,0,219.41
p1_N2_S2.10,200.0,21.43,12.0,1,192.69
p1_S2_N2.10,200.0,18.9,7.0,1,185.5
p1_S2_N2.11,220.0,5.6,0.0,0,149.75
p1_N2_S2.11,220.0,6.14,0.0,0,151.17
p1_N1_S1.11,220.0,11.33,1.0,1,170.55
p1_W_E.30,180.0,23.68,10.0,1,238.8
p1_W_S2.3,183.0,26.82,10.0,1,234.92
p1_S1_N1.11,220.0,6.99,0.0,0,151.99
p1_S1_E.3,183.0,35.73,14.0,2,283.17
p1_E_W.13,188.0,34.91,16.0,2,269.51
